species	BM	log10BM	log10BM-cat
Acrecebus_fraileyi	12000.0	4.08	3
Alouatta_belzebul	6395.0	3.81	3
Alouatta_caraya	5375.0	3.73	3
Alouatta_coibensis	?	?	?
Alouatta_guariba	5362.5	3.73	3
Alouatta_macconnelli	6292.5	3.8	3
Alouatta_nigerrima	?	?	?
Alouatta_palliata	6250.0	3.8	3
Alouatta_pigra	8915.0	3.95	3
Alouatta_sara	6123.0	3.79	3
Alouatta_seniculus	5950.0	3.77	3
Antillothrix_bernensis	1500.0	3.18	2
Aotus_azarae	1205.0	3.08	2
Aotus_dindensis	1054.0	3.02	2
Aotus_griseimembra	966.0	2.98	1
Aotus_infulatus	?	?	?
Aotus_lemurinus	896.0	2.95	1
Aotus_nancymaae	787.0	2.9	1
Aotus_nigriceps	957.5	2.98	1
Aotus_trivirgatus	774.5	2.89	1
Aotus_vociferans	703.0	2.85	1
Ateles_belzebuth	7770.0	3.89	3
Ateles_chamek	9370.0	3.97	3
Ateles_fusciceps	9025.0	3.96	3
Ateles_geoffroyi	7535.0	3.88	3
Ateles_hybridus	8700.5	3.94	3
Ateles_paniscus	8775.0	3.94	3
Brachyteles_arachnoides	8840.0	3.95	3
Brachyteles_hypoxanthus	8874.5	3.95	3
Branisella_boliviana	1000.0	3.0	2
Cacajao_ayresi	?	?	?
Cacajao_calvus	3165.0	3.5	3
Cacajao_hosomi	3800.0	3.58	3
Cacajao_melanocephalus	2935.0	3.47	2
Caipora_bambuiorum	24000.0	4.38	3
Callicebus_brunneus	829.5	2.92	1
Callicebus_caligatus	880.0	2.94	1
Callicebus_coimbrai	?	?	?
Callicebus_cupreus	1070.0	3.03	2
Callicebus_donacophilus	950.0	2.98	1
Callicebus_hoffmansi	1060.0	3.03	2
Callicebus_lugens	1090.0	3.04	2
Callicebus_moloch	988.0	2.99	1
Callicebus_nigrifrons	?	?	?
Callicebus_personatus	1245.0	3.1	2
Callicebus_torquatus	1245.0	3.1	2
Callimico_goeldii	483.5	2.68	0
Callithrix_aurita	429.0	2.63	0
Callithrix_geoffroyi	359.0	2.56	0
Callithrix_jacchus	320.5	2.51	0
Callithrix_kuhlii	375.0	2.57	0
Callithrix_penicillata	325.5	2.51	0
Canaanimico	2000.0	3.3	2
Carlocebus_carmenensis	3500.0	3.54	3
Cartelles_coimbrafilhoi	23500.0	4.37	3
Cebuella_pygmaea	116.0	2.06	0
Cebupithecia_sarmientoi	1602.0	3.2	2
Cebus_albifrons	2735.0	3.44	2
Cebus_capucinus	3110.0	3.49	3
Cebus_olivaceus	2905.0	3.46	2
Chilecebus_carrascoensis	1000.0	3.0	2
Chiropotes_chiropotes	2740.0	3.44	2
Chiropotes_israelita	?	?	?
Chiropotes_utahicki	2740.0	3.44	2
Dolichocebus_gaimanensis	2700.0	3.43	2
Homunculus_patagonicus	2700.0	3.43	2
Insulacebus_toussentiana	4805.0	3.68	3
Killikaike_blakei	2000.0	3.3	2
Lagonimico_conclucatus	595.0	2.77	1
Lagothrix_cana	8571.5	3.93	3
Lagothrix_lagotricha	7150.0	3.85	3
Laventiana_annectens	605.0	2.78	1
Leontopithecus_chrysomelas	577.5	2.76	1
Leontopithecus_chrysopygus	577.5	2.76	1
Leontopithecus_rosalia	609.0	2.78	1
Mazzonicebus_almendrae	1602.0	3.2	2
Mico_argentatus	346.5	2.54	0
Mico_emiliae	321.5	2.51	0
Mico_humeralifer	473.5	2.68	0
Mico_mauesi	371.5	2.57	0
Micodon_kyotensis	400.0	2.6	0
Miocallicebus_villaviejai	1500.0	3.18	2
Mohanamico_hershkovitzi	1000.0	3.0	2
Neosaimiri_fieldsi	768.0	2.89	1
Nuciruptor_rubricae	2000.0	3.3	2
Panamacebus_transitus	2700.0	3.43	2
Paralouatta_varonai	8444.0	3.93	3
Patasola_magdalenae	480.0	2.68	0
Perupithecus_ucayaliensis	400.0	2.6	0
Pithecia_irrorata	2160.0	3.33	2
Pithecia_monachus	2360.0	3.37	2
Pithecia_pithecia	1760.0	3.25	2
Proteropithecia_neuquenensis	1600.0	3.2	2
Saguinus_bicolor	429.0	2.63	0
Saguinus_fuscicollis	350.5	2.54	0
Saguinus_geoffroyi	492.0	2.69	0
Saguinus_graellsi	474.5	2.68	0
Saguinus_imperator	585.0	2.77	1
Saguinus_labiatus	514.5	2.71	1
Saguinus_martinsi	492.0	2.69	0
Saguinus_melanoleucus	?	?	?
Saguinus_midas	545.0	2.74	1
Saguinus_mystax	524.5	2.72	1
Saguinus_nigricollis	476.0	2.68	0
Saguinus_oedipus	411.0	2.61	0
Saguinus_tripartitus	871.5	2.94	1
Saimiri_boliviensis	788.5	2.9	1
Saimiri_oerstedii	767.25	2.88	1
Saimiri_sciureus	852.5	2.93	1
Saimiri_ustus	800.0	2.9	1
Sapajus_apella	3085.0	3.49	3
Sapajus_libidinosus	2509.779135	3.4	2
Sapajus_robustus	2730.833333	3.44	2
Sapajus_xanthosternos	2440.47619	3.39	2
Solimoea_acrensis	8000.0	3.9	3
Soriacebus_ameghinorum	1483.0	3.17	2
Stirtonia_tatacoensis	5513.0	3.74	3
Stirtonia_victoriae	10000.0	4.0	3
Szalatavus_attricuspis	550.0	2.74	1
Tremacebus_harringtoni	1800.0	3.26	2
Xenothrix_mcgregori	5720.0	3.76	3
