E91,𓪣︀
F38B,𓯥𓑀
G78,𓰠︀
I86D,𓷃𓑀
M2B,𓸍︀
M233,𓺅𓑀
N55A,𓻣︀
L3,𓆦︁
P2I,𔁂𓑀
P97A,𔁴𓑀
T88B,𔉙𓑀
T106,𔊉︀
U13A,𔊜𓑀
qnbt,𓊋𓐵𓏏
2,𓏮
3,𓏦
4,𓏽
5,𓐃
20,𓎏
30,𓎐
40,𓎑
50,𓎒
200,𓍣
300,𓍤
400,𓍥
500,𓍫
