D21&Q3&D36 𓂋𓐰𓂝𓐺𓊪
E10&W9 𓃝𓐳𓎸
E29&N24 𓃳
F29&X1&X1 𓄝𓐳𓏏𓐵𓏏
G1&M17&M17 𓄿𓐴𓐷𓇋𓐱𓇋𓐸
G26&X1&Z4 𓅝𓐳𓏏𓐵𓏭
G36&X1&D21 𓅨𓐴𓏏𓐰𓂋
H8&G5&N14 𓅃𓐳𓆇𓐴𓇼
I10&S43&S3 𓆓𓐳𓐷𓌃𓐱𓋔𓐸
I10&S43&S43&S43 𓆓𓐳𓐷𓌃𓐱𓌃𓐱𓌃𓐸
I10&S43&Z1 𓌃𓐱𓆓𓐳𓏤
I10&X1&Z1 𓆓𓐳𓐷𓏏𓐱𓏤𓐸
I10&X1&Z7 𓆓𓐳𓐷𓏏𓐱𓏲𓐸
M17&M17 𓇋𓐱𓇋
M27&X1&Z1 𓇘𓐳𓏏𓐵𓏤
N14&N14&N14 𓇼𓐰𓇼𓐱𓇼
N28&D36 𓂝𓐺𓈍
O44&X1&Z1 𓊑𓐳𓏏𓐵𓏤
R7&E11 𓃞𓐳𓊸
R8&M17&X1 𓊹𓐱𓇋𓐳𓏏
U21&N35&N5 𓍉𓐴𓇳𓐰𓈖
V28&D58&T28 𓎛𓐱𓃀𓐳𓌨
V28&T28&D58 𓎛𓐱𓃀𓐳𓌨
X1&G14&Z1 𓅐𓐳𓏏𓐴𓏤
X1&G14&Z2 𓅐𓐳𓏏𓐴𓏥
X1&M17 𓇋𓐳𓏏
Z1&Z1 𓏤𓐱𓏤
Aa1&D43 𓂤𓐺𓐍
