*
* Ovkansen potentiele windsnelheid Vlissingen
* WBI2017: 12-uursmaxima, gegeven windrichting
*
* Project: PR3556.10
* Door:    Chris Geerse van HKV lijn in water
* Datum:   augustus 2017
*
*
* u, m/s    NNO            NO             ONO            O              OZO            ZO             ZZO            Z              ZZW            ZW             WZW            W              WNW            NW             NNW            N
 23.50      8.195e-07      8.003e-07      1.270e-06      1.272e-06      2.319e-06      5.121e-06      2.258e-05      6.360e-05      1.163e-04      7.203e-04      1.355e-03      1.086e-03      4.195e-04      1.560e-04      3.963e-05      4.622e-06 
 24.00      5.515e-07      5.304e-07      8.510e-07      8.708e-07      1.599e-06      3.571e-06      1.603e-05      4.537e-05      8.327e-05      5.451e-04      1.032e-03      8.378e-04      3.191e-04      1.161e-04      2.879e-05      3.146e-06 
 24.50      3.718e-07      3.518e-07      5.702e-07      5.962e-07      1.103e-06      2.490e-06      1.138e-05      3.236e-05      5.965e-05      4.128e-04      7.868e-04      6.466e-04      2.429e-04      8.640e-05      2.092e-05      2.142e-06 
 25.00      2.509e-07      2.334e-07      3.821e-07      4.082e-07      7.611e-07      1.737e-06      8.083e-06      2.308e-05      4.273e-05      3.126e-04      5.995e-04      4.990e-04      1.849e-04      6.431e-05      1.520e-05      1.458e-06 
 25.50      1.695e-07      1.549e-07      2.561e-07      2.795e-07      5.250e-07      1.211e-06      5.739e-06      1.646e-05      3.060e-05      2.368e-04      4.569e-04      3.851e-04      1.408e-04      4.787e-05      1.105e-05      9.924e-07 
 26.00      1.146e-07      1.029e-07      1.717e-07      1.914e-07      3.621e-07      8.448e-07      4.075e-06      1.174e-05      2.193e-05      1.794e-04      3.481e-04      2.972e-04      1.072e-04      3.563e-05      8.026e-06      6.755e-07 
 26.50      7.756e-08      6.835e-08      1.151e-07      1.310e-07      2.498e-07      5.893e-07      2.895e-06      8.378e-06      1.570e-05      1.360e-04      2.653e-04      2.294e-04      8.169e-05      2.653e-05      5.832e-06      4.598e-07 
 27.00      5.253e-08      4.541e-08      7.715e-08      8.972e-08      1.723e-07      4.111e-07      2.057e-06      5.976e-06      1.125e-05      1.031e-04      2.022e-04      1.770e-04      6.224e-05      1.975e-05      4.238e-06      3.130e-07 
 27.50      3.561e-08      3.018e-08      5.174e-08      6.143e-08      1.189e-07      2.868e-07      1.461e-06      4.263e-06      8.058e-06      7.816e-05      1.541e-04      1.366e-04      4.744e-05      1.470e-05      3.080e-06      2.131e-07 
 28.00      2.413e-08      2.006e-08      3.470e-08      4.206e-08      8.200e-08      2.000e-07      1.038e-06      3.041e-06      5.772e-06      5.928e-05      1.175e-04      1.055e-04      3.619e-05      1.095e-05      2.239e-06      1.450e-07 
 28.50      1.638e-08      1.334e-08      2.327e-08      2.880e-08      5.656e-08      1.395e-07      7.372e-07      2.169e-06      4.134e-06      4.495e-05      8.948e-05      8.139e-05      2.760e-05      8.154e-06      1.627e-06      9.873e-08 
 29.00      1.112e-08      8.868e-09      1.561e-08      1.972e-08      3.902e-08      9.734e-08      5.237e-07      1.547e-06      2.961e-06      3.409e-05      6.819e-05      6.281e-05      2.105e-05      6.070e-06      1.183e-06      6.721e-08 
 29.50      7.548e-09      5.900e-09      1.048e-08      1.350e-08      2.691e-08      6.789e-08      3.722e-07      1.104e-06      2.122e-06      2.587e-05      5.197e-05      4.848e-05      1.606e-05      4.521e-06      8.597e-07      4.575e-08 
 30.00      5.126e-09      3.925e-09      7.031e-09      9.244e-09      1.857e-08      4.737e-08      2.644e-07      7.872e-07      1.520e-06      1.963e-05      3.961e-05      3.741e-05      1.226e-05      3.367e-06      6.249e-07      3.114e-08 
 30.50      3.483e-09      2.611e-09      4.719e-09      6.329e-09      1.281e-08      3.305e-08      1.879e-07      5.615e-07      1.089e-06      1.490e-05      3.019e-05      2.887e-05      9.358e-06      2.507e-06      4.543e-07      2.120e-08 
 31.00      2.367e-09      1.737e-09      3.168e-09      4.334e-09      8.839e-09      2.306e-08      1.335e-07      4.005e-07      7.798e-07      1.131e-05      2.301e-05      2.228e-05      7.146e-06      1.867e-06      3.303e-07      1.443e-08 
 31.50      1.609e-09      1.156e-09      2.127e-09      2.967e-09      6.096e-09      1.609e-08      9.487e-08      2.857e-07      5.586e-07      8.585e-06      1.753e-05      1.720e-05      5.459e-06      1.391e-06      2.401e-07      9.823e-09 
 32.00      1.094e-09      7.692e-10      1.428e-09      2.032e-09      4.206e-09      1.122e-08      6.742e-08      2.038e-07      4.001e-07      6.520e-06      1.337e-05      1.327e-05      4.170e-06      1.036e-06      1.745e-07      6.687e-09 
 32.50      7.438e-10      5.121e-10      9.592e-10      1.391e-09      2.901e-09      7.833e-09      4.793e-08      1.454e-07      2.867e-07      4.950e-06      1.019e-05      1.024e-05      3.186e-06      7.721e-07      1.269e-07      4.552e-09 
 33.00      5.058e-10      3.408e-10      6.443e-10      9.524e-10      2.001e-09      5.464e-09      3.406e-08      1.037e-07      2.053e-07      3.760e-06      7.766e-06      7.906e-06      2.436e-06      5.751e-07      9.228e-08      3.098e-09 
 33.50      3.440e-10      2.269e-10      4.328e-10      6.521e-10      1.380e-09      3.813e-09      2.421e-08      7.396e-08      1.470e-07      2.856e-06      5.920e-06      6.101e-06      1.862e-06      4.284e-07      6.706e-08      2.109e-09 
 34.00      2.341e-10      1.510e-10      2.909e-10      4.465e-10      9.522e-10      2.661e-09      1.721e-08      5.276e-08      1.054e-07      2.170e-06      4.513e-06      4.709e-06      1.424e-06      3.192e-07      4.876e-08      1.436e-09 
 34.50      1.592e-10      1.006e-10      1.955e-10      3.057e-10      6.571e-10      1.857e-09      1.223e-08      3.763e-08      7.546e-08      1.648e-06      3.440e-06      3.634e-06      1.089e-06      2.378e-07      3.545e-08      9.773e-10 
 35.00      1.083e-10      6.695e-11      1.314e-10      2.093e-10      4.533e-10      1.295e-09      8.697e-09      2.684e-08      5.405e-08      1.252e-06      2.622e-06      2.805e-06      8.331e-07      1.772e-07      2.577e-08      6.653e-10 
 35.50      7.370e-11      4.457e-11      8.833e-11      1.433e-10      3.128e-10      9.041e-10      6.185e-09      1.915e-08      3.873e-08      9.513e-07      1.999e-06      2.165e-06      6.375e-07      1.320e-07      1.874e-08      4.529e-10 
 36.00      5.015e-11      2.967e-11      5.939e-11      9.813e-11      2.158e-10      6.311e-10      4.398e-09      1.366e-08      2.774e-08      7.231e-07      1.524e-06      1.671e-06      4.879e-07      9.839e-08      1.362e-08      3.083e-10 
 36.50      3.412e-11      1.975e-11      3.994e-11      6.719e-11      1.489e-10      4.404e-10      3.127e-09      9.743e-09      1.987e-08      5.493e-07      1.161e-06      1.289e-06      3.734e-07      7.335e-08      9.906e-09      2.098e-10 
 37.00      2.321e-11      1.315e-11      2.686e-11      4.600e-11      1.027e-10      3.074e-10      2.223e-09      6.950e-09      1.424e-08      4.176e-07      8.857e-07      9.951e-07      2.859e-07      5.464e-08      7.204e-09      1.428e-10 
 37.50      1.580e-11      8.756e-12      1.807e-11      3.150e-11      7.085e-11      2.145e-10      1.581e-09      4.957e-09      1.019e-08      3.174e-07      6.752e-07      7.680e-07      2.190e-07      4.073e-08      5.238e-09      9.723e-11 
 38.00      1.075e-11      5.832e-12      1.216e-11      2.157e-11      4.888e-11      1.497e-10      1.124e-09      3.536e-09      7.304e-09      2.412e-07      5.148e-07      5.927e-07      1.677e-07      3.035e-08      3.809e-09      6.619e-11 
 38.50      7.318e-12      3.883e-12      8.186e-12      1.477e-11      3.372e-11      1.045e-10      7.995e-10      2.522e-09      5.232e-09      1.834e-07      3.925e-07      4.574e-07      1.285e-07      2.262e-08      2.770e-09      4.505e-11 
 39.00      4.981e-12      2.586e-12      5.510e-12      1.011e-11      2.327e-11      7.296e-11      5.687e-10      1.799e-09      3.748e-09      1.394e-07      2.993e-07      3.530e-07      9.844e-08      1.686e-08      2.014e-09      3.067e-11 
 39.50      3.391e-12      1.722e-12      3.709e-12      6.922e-12      1.605e-11      5.091e-11      4.044e-10      1.283e-09      2.684e-09      1.060e-07      2.282e-07      2.725e-07      7.546e-08      1.257e-08      1.464e-09      2.088e-11 
 40.00      2.307e-12      1.147e-12      2.498e-12      4.740e-12      1.107e-11      3.554e-11      2.877e-10      9.155e-10      1.923e-09      8.058e-08      1.740e-07      2.103e-07      5.784e-08      9.367e-09      1.065e-09      1.421e-11 
 40.50      1.571e-12      7.637e-13      1.682e-12      3.245e-12      7.640e-12      2.481e-11      2.047e-10      6.530e-10      1.377e-09      6.127e-08      1.327e-07      1.623e-07      4.434e-08      6.984e-09      7.744e-10      9.674e-12 
 41.00      1.069e-12      5.084e-13      1.133e-12      2.222e-12      5.271e-12      1.732e-11      1.456e-10      4.658e-10      9.866e-10      4.659e-08      1.012e-07      1.252e-07      3.399e-08      5.206e-09      5.631e-10      6.585e-12 
 41.50      7.277e-13      3.385e-13      7.633e-13      1.521e-12      3.637e-12      1.209e-11      1.036e-10      3.323e-10      7.069e-10      3.542e-08      7.714e-08      9.666e-08      2.608e-08      3.881e-09      4.094e-10      4.483e-12 
 42.00      4.952e-13      2.254e-13      5.145e-13      1.042e-12      2.510e-12      8.437e-12      7.368e-11      2.370e-10      5.064e-10      2.694e-08      5.882e-08      7.460e-08      2.000e-08      2.893e-09      2.977e-10      3.051e-12 
