*
* Overschrijdingskansen potentiele windsnelheid Vlissingen. Met statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: Chris Geerse van HKV lijn in water
* Project: PR3556.10
* Datum: augustus 2017
*
* u         NNO            NO             ONO            O              OZO            ZO             ZZO            Z              ZZW            ZW             WZW            W              WNW            NW             NNW            N
  0.00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00 
  2.00      9.827e-01      9.861e-01      9.899e-01      9.952e-01      9.907e-01      9.907e-01      9.932e-01      9.968e-01      9.969e-01      9.972e-01      9.975e-01      9.978e-01      9.965e-01      9.972e-01      9.964e-01      9.827e-01 
  2.50      9.583e-01      9.711e-01      9.795e-01      9.798e-01      9.715e-01      9.743e-01      9.821e-01      9.901e-01      9.931e-01      9.937e-01      9.939e-01      9.937e-01      9.871e-01      9.834e-01      9.773e-01      9.565e-01 
  3.00      8.995e-01      9.239e-01      9.436e-01      9.517e-01      9.454e-01      9.489e-01      9.609e-01      9.793e-01      9.844e-01      9.843e-01      9.831e-01      9.813e-01      9.595e-01      9.474e-01      9.349e-01      9.121e-01 
  3.50      8.383e-01      8.729e-01      9.003e-01      9.073e-01      8.959e-01      9.032e-01      9.254e-01      9.585e-01      9.727e-01      9.742e-01      9.727e-01      9.669e-01      9.360e-01      9.138e-01      8.892e-01      8.604e-01 
  4.00      7.386e-01      7.827e-01      8.193e-01      8.307e-01      8.126e-01      8.295e-01      8.699e-01      9.223e-01      9.514e-01      9.529e-01      9.486e-01      9.398e-01      9.004e-01      8.635e-01      8.187e-01      7.743e-01 
  4.50      6.636e-01      7.099e-01      7.499e-01      7.665e-01      7.307e-01      7.489e-01      8.054e-01      8.851e-01      9.238e-01      9.275e-01      9.238e-01      9.133e-01      8.624e-01      8.173e-01      7.629e-01      7.040e-01 
  5.00      5.779e-01      6.228e-01      6.633e-01      6.894e-01      6.438e-01      6.681e-01      7.415e-01      8.443e-01      8.875e-01      8.910e-01      8.856e-01      8.688e-01      8.057e-01      7.489e-01      6.802e-01      6.106e-01 
  5.50      5.061e-01      5.429e-01      5.790e-01      6.071e-01      5.481e-01      5.730e-01      6.611e-01      7.925e-01      8.471e-01      8.542e-01      8.496e-01      8.224e-01      7.545e-01      6.893e-01      6.103e-01      5.410e-01 
  6.00      4.255e-01      4.595e-01      4.958e-01      5.290e-01      4.728e-01      4.968e-01      5.910e-01      7.435e-01      8.076e-01      8.173e-01      8.138e-01      7.837e-01      6.978e-01      6.219e-01      5.348e-01      4.650e-01 
  6.50      3.637e-01      3.968e-01      4.274e-01      4.424e-01      3.924e-01      4.112e-01      5.058e-01      6.775e-01      7.538e-01      7.681e-01      7.680e-01      7.412e-01      6.420e-01      5.635e-01      4.774e-01      4.024e-01 
