,epoch,loss,target_name,target,estimate,error,abs_error,rel_abs_error
0,0,0.011223440989851952,income_aged_20_30,245346.078125,219125.21875,-26220.859375,26220.859375,0.10687295095722248
1,0,0.011223440989851952,income_aged_40_50,1237963.125,1107969.875,-129993.25,129993.25,0.10500575289752673
2,10,0.0006792076746933162,income_aged_20_30,245346.078125,254168.21875,8822.140625,8822.140625,0.03595794435525991
3,10,0.0006792076746933162,income_aged_40_50,1237963.125,1227969.125,-9994.0,9994.0,0.008072938359937014
4,20,0.0004247893230058253,income_aged_20_30,245346.078125,245848.375,502.296875,502.296875,0.0020472993855809164
5,20,0.0004247893230058253,income_aged_40_50,1237963.125,1273956.25,35993.125,35993.125,0.02907447263423133
6,30,9.782179404282942e-05,income_aged_20_30,245346.078125,241913.34375,-3432.734375,3432.734375,0.01399139697375181
7,30,9.782179404282942e-05,income_aged_40_50,1237963.125,1237952.75,-10.375,10.375,8.380701969616421e-06
8,40,0.00010605902934912592,income_aged_20_30,245346.078125,247805.90625,2459.828125,2459.828125,0.010025952498603854
9,40,0.00010605902934912592,income_aged_40_50,1237963.125,1224889.0,-13074.125,13074.125,0.01056099712178422
10,50,1.2060934750479646e-05,income_aged_20_30,245346.078125,244326.46875,-1019.609375,1019.609375,0.004155800585002728
11,50,1.2060934750479646e-05,income_aged_40_50,1237963.125,1241210.5,3247.375,3247.375,0.0026231597164899398
12,60,4.101377726328792e-06,income_aged_20_30,245346.078125,245535.0,188.921875,188.921875,0.0007700219887099531
13,60,4.101377726328792e-06,income_aged_40_50,1237963.125,1241375.75,3412.625,3412.625,0.002756645114126481
14,70,2.5498050035821507e-06,income_aged_20_30,245346.078125,245454.546875,108.46875,108.46875,0.0004421050902013476
15,70,2.5498050035821507e-06,income_aged_40_50,1237963.125,1235221.625,-2741.5,2741.5,0.0022145247662364743
16,80,2.4796136699478666e-07,income_aged_20_30,245346.078125,245184.15625,-161.921875,161.921875,0.0006599733577868864
17,80,2.4796136699478666e-07,income_aged_40_50,1237963.125,1238279.5,316.375,316.375,0.00025556092391685735
18,90,3.214663308881427e-07,income_aged_20_30,245346.078125,245475.671875,129.59375,129.59375,0.0005282079542105988
19,90,3.214663308881427e-07,income_aged_40_50,1237963.125,1238704.5,741.375,741.375,0.0005988667877324698
20,100,1.9079045898706681e-07,income_aged_20_30,245346.078125,245256.53125,-89.546875,89.546875,0.0003649818887847772
21,100,1.9079045898706681e-07,income_aged_40_50,1237963.125,1237341.5,-621.625,621.625,0.0005021353119867767
22,110,3.938050241458768e-08,income_aged_20_30,245346.078125,245399.875,53.796875,53.796875,0.00021926934969219818
23,110,3.938050241458768e-08,income_aged_40_50,1237963.125,1238172.5,209.375,209.375,0.0001691286240856326
24,120,8.943982443554432e-09,income_aged_20_30,245346.078125,245313.34375,-32.734375,32.734375,0.00013342122788415777
25,120,8.943982443554432e-09,income_aged_40_50,1237963.125,1238004.25,41.125,41.125,3.321989093980485e-05
26,130,6.0661307088594185e-09,income_aged_20_30,245346.078125,245362.046875,15.96875,15.96875,6.508663240936002e-05
27,130,6.0661307088594185e-09,income_aged_40_50,1237963.125,1237856.0,-107.125,107.125,8.653327214411172e-05
28,140,2.578848246059806e-09,income_aged_20_30,245346.078125,245337.140625,-8.9375,8.9375,3.642813477314474e-05
29,140,2.578848246059806e-09,income_aged_40_50,1237963.125,1238041.5,78.375,78.375,6.330964018011442e-05
30,150,5.140926573332649e-10,income_aged_20_30,245346.078125,245347.796875,1.71875,1.71875,7.005410533297066e-06
31,150,5.140926573332649e-10,income_aged_40_50,1237963.125,1237924.875,-38.25,38.25,3.089752774340512e-05
32,160,2.569950849351521e-11,income_aged_20_30,245346.078125,245345.09375,-0.984375,0.984375,4.012189669070138e-06
33,160,2.569950849351521e-11,income_aged_40_50,1237963.125,1237971.0,7.875,7.875,6.361255711877525e-06
34,170,1.5694145635847256e-11,income_aged_20_30,245346.078125,245343.90625,-2.171875,2.171875,8.852291492075383e-06
35,170,1.5694145635847256e-11,income_aged_40_50,1237963.125,1237965.75,2.625,2.625,2.1204185706258416e-06
36,180,2.9668663359405656e-11,income_aged_20_30,245346.078125,245346.4375,0.359375,0.359375,1.464767656962114e-06
37,180,2.9668663359405656e-11,income_aged_40_50,1237963.125,1237955.5,-7.625,7.625,6.159311086103635e-06
38,190,1.9699880615675625e-11,income_aged_20_30,245346.078125,245344.015625,-2.0625,2.0625,8.40649263995648e-06
39,190,1.9699880615675625e-11,income_aged_40_50,1237963.125,1237967.75,4.625,4.625,3.735975576816959e-06
40,200,7.696075547680703e-12,income_aged_20_30,245346.078125,245345.71875,-0.359375,0.359375,1.464767656962114e-06
41,200,7.696075547680703e-12,income_aged_40_50,1237963.125,1237958.5,-4.625,4.625,3.735975576816959e-06
42,210,1.9620520486096638e-12,income_aged_20_30,245346.078125,245344.796875,-1.28125,1.28125,5.22221512482145e-06
43,210,1.9620520486096638e-12,income_aged_40_50,1237963.125,1237964.125,1.0,1.0,8.077785030955587e-07
44,220,3.3436412818187156e-13,income_aged_20_30,245346.078125,245345.109375,-0.96875,0.96875,3.9485041187674376e-06
45,220,3.3436412818187156e-13,income_aged_40_50,1237963.125,1237961.125,-2.0,2.0,1.6155570061911175e-06
46,230,9.657696192245935e-14,income_aged_20_30,245346.078125,245345.15625,-0.921875,0.921875,3.757447467859336e-06
47,230,9.657696192245935e-14,income_aged_40_50,1237963.125,1237962.5,-0.625,0.625,5.048615644347241e-07
