Amplicon_number,SNP_coverage(%)
1,15.990404928582993
2,30.200750885887185
3,40.93495460416565
4,50.6821613764484
5,59.335424566847294
6,59.40772651787025
7,64.75807089356927
8,70.05381223333949
9,70.14644910808765
10,70.17544520302916
11,70.17770463899862
12,73.2524204207823
13,76.84530018489718
14,79.7980064243296
15,82.02242113627035
16,83.91093303408358
17,85.54789439396279
18,86.9969459957146
19,88.39892601476917
20,89.69169996196617
21,90.7754760819874
22,91.71012942802378
23,92.56268993383618
24,93.19759144125655
25,93.80236713575067
26,94.3732512907028
27,94.90986733345133
28,95.49091895026605
29,95.92171807511119
30,96.34536231938634
31,96.77842088020094
32,97.06386295767699
33,97.3398907186136
34,97.52742390407941
35,97.71156793559102
36,97.87989591531634
37,98.04106901447169
38,98.20713755822756
39,98.34872887898084
40,98.49559221699623
41,98.62438006725588
42,98.75053190888448
43,98.89325294762251
44,99.04727116620788
