Amplicon_ID,Num_SNP_covered
A1-ns,4
A3-ns,3
A7-ns,3
A6-ns,3
A5-ns,3
A8-ns,3
A4-ns,3
A21-ns,2
A22-ns,2
A19-ns,2
A23-ns,2
A24-ns,2
A25-ns,2
A26-ns,2
A27-ns,2
A28-ns,2
A18-ns,2
A12-ns,2
A14-ns,2
A29-ns,2
"A2-ns,A58-ns",2
A11-ns,2
A17-ns,2
A13-ns,2
A20-ns,2
A15-ns,2
A16-ns,2
A50-ns,1
A47-ns,1
A51-ns,1
A52-ns,1
A53-ns,1
A49-ns,1
A46-ns,1
A45-ns,1
A48-ns,1
A9-ns,1
A44-ns,1
A43-ns,1
A10-ns,1
"A10-ns,A57-ns",1
A2-ns,1
"A30-ns,A59-ns",1
A31-ns,1
A32-ns,1
A33-ns,1
A34-ns,1
A35-ns,1
A36-ns,1
A37-ns,1
A38-ns,1
A39-ns,1
A40-ns,1
"A9-ns,A55-ns",1
A41-ns,1
A42-ns,1
A54-ns,1
