#Spectrum RV(km/s) Sigma(km/s) H3 H4 lum_age(Gyr) lum_met(dex) err_lum_age(Gyr) err_lum_met(dex) M/L mass_age(Gyr) mass_met(dex) err_mass_age(Gyr) err_mass_met(dex) Chi2 R absR
rebin_lin_line8 133.97 65.15 0.041 -0.01 1.9 -1.6 0 0 1.437 6.6 -1.612 0 0 8.235 -39.37 39.37
rebin_lin_line9 119.77 71.15 -0.01 -0.008 2.2 -1.42 0 0 1.708 8.4 -1.529 0 0 5.831 -34.34 34.34
rebin_lin_line10 114.67 48.3 -0 -0.028 0.2 -1.49 0 0 0.346 0.8 -1.54 0 0 11.199 -30.71 30.71
rebin_lin_line11 102.78 120.02 -0.053 -0.3 0.3 -1.51 0 0 0.367 0.9 -1.546 0 0 22.637 -29.39 29.39
rebin_lin_line12 106.96 15.99 -0.002 0.005 0.3 -1.41 0 0 0.566 2.1 -1.412 0 0 7.654 -26.88 26.88
rebin_lin_line13 112.42 11.47 0.003 0.005 0.3 -1.12 0 0 0.832 3.4 -0.73 0 0 5.711 -22.4 22.4
rebin_lin_line14 104.96 46.29 -0.004 0.007 0.4 -0.99 0 0 0.786 2 -0.581 0 0 4.103 -18.24 18.24
rebin_lin_line15 112.65 40.03 0.008 -0.002 1.9 -1.23 0 0 2.578 10.8 -0.769 0 0 4.94 -14.935 14.935
rebin_lin_line16 94.1 51.48 0.002 0.013 3 -1.05 0 0 2.287 8.9 -0.399 0 0 5.546 -12.7 12.7
rebin_lin_line17 76.6 31.74 -0.016 -0.006 2 -0.88 0 0 1.587 4.4 -0.541 0 0 3.782 -10.84 10.84
rebin_lin_line18 77.91 33.37 -0.019 -0.006 1.4 -0.73 0 0 2.242 6.2 -0.381 0 0 3.921 -9.07 9.07
rebin_lin_line19 63.63 39.24 -0.001 0.007 4.2 -0.91 0 0 2.906 10.4 -0.805 0 0 3.619 -7.42 7.42
rebin_lin_line20 65.35 64.13 0.002 -0.016 4.2 -0.88 0 0 2.328 7.5 -0.875 0 0 3.667 -5.91 5.91
rebin_lin_line21 37.74 39.19 -0.02 0.002 2 -0.79 0 0 2.013 5.1 -0.184 0 0 2.969 -4.525 4.525
rebin_lin_line22 36.17 69.17 -0.022 0.028 2 -0.61 0 0 1.67 3.6 -0.282 0 0 3.577 -3.395 3.395
rebin_lin_line23 21.77 45.69 0.014 -0.002 2.6 -0.61 0 0 1.744 3.7 -0.401 0 0 3.782 -2.38 2.38
rebin_lin_line24 22.45 68.95 -0.068 -0.057 3.7 -0.56 0 0 2.025 5.1 -0.558 0 0 3.692 -1.51 1.51
rebin_lin_line25 0.66 55.92 0.002 0.02 4 -0.62 0 0 3.469 9.5 -0.333 0 0 2.597 -0.75 0.75
rebin_lin_line26 0.4 45.26 0.018 -0.014 2.8 -0.73 0 0 3.714 11.3 -0.13 0 0 2.97 0 0
rebin_lin_line27 -5.13 75.36 0.117 -0.057 3.7 -0.39 0 0 2.649 8.5 -0.486 0 0 4.935 0.75 0.75
rebin_lin_line28 -8.33 67.23 0.063 -0.02 5.5 -0.5 0 0 3.343 10.1 -0.421 0 0 3.185 1.507 1.507
rebin_lin_line29 -19.96 67.67 0.122 -0.032 4 -0.72 0 0 2.898 7.7 -0.485 0 0 2.793 2.384 2.384
rebin_lin_line30 -35.39 77.04 -0.004 -0.084 5.7 -0.7 0 0 2.904 9 -0.518 0 0 3.483 3.395 3.395
rebin_lin_line31 -28.88 66.54 -0.046 -0.066 4.3 -0.6 0 0 3.046 10.7 -0.521 0 0 3.415 4.52 4.52
rebin_lin_line32 -35.18 66.11 0.017 0.021 5.1 -0.89 0 0 3.111 9.1 -0.559 0 0 3.528 5.905 5.905
rebin_lin_line33 -54.24 55.08 -0.033 0.014 3.5 -0.97 0 0 2.994 9.5 -0.315 0 0 5.367 7.547 7.547
rebin_lin_line34 -55.5 83.41 -0.009 -0.042 5.9 -0.91 0 0 2.541 8.5 -1.029 0 0 4.121 9.427 9.427
rebin_lin_line35 -65.69 70.57 -0.064 -0.011 5.3 -0.9 0 0 2.587 8.5 -0.96 0 0 4.209 11.59 11.59
rebin_lin_line36 -72.04 27.88 -0.004 -0.011 0.8 -0.73 0 0 1.489 5 -0.651 0 0 4.245 13.88 13.88
rebin_lin_line37 -94.97 34.94 0.004 0.007 0.5 -0.67 0 0 1.151 2.9 -0.315 0 0 5.231 15.99 15.99
rebin_lin_line38 -73.5 98.87 0.106 -0.014 6 -1.01 0 0 2.496 8.8 -1.063 0 0 7.755 18.226 18.226
rebin_lin_line39 -116.08 69.96 0.035 -0.052 0.6 -1.05 0 0 2.018 8.1 -0.119 0 0 5.083 20.924 20.924
