#Spectrum Sigma(km/s) err
NGC0636_VIS_dopcor 166.3 3.0
NGC0897_VIS_dopcor 239.6 3.3
NGC1600_VIS_dopcor 339.1 7.3
NGC3379_VIS_dopcor 241.5 3.4
NGC3423_VIS_dopcor 29.8 4.0
