,l,n,Cab,Car,Cbrown,Cw,Canth,prot,Cbc
1,400,1.5115,0.0648815,0.16734,0.5272,5.80E-05,0.0666747,0,127.93
2,401,1.5115,0.0667318,0.167607,0.5262,5.85E-05,0.0640556,0,120.933
3,402,1.5115,0.0685513,0.167184,0.5252,5.90E-05,0.0619332,0,114.263
4,403,1.5115,0.0699821,0.167207,0.5242,5.99E-05,0.0599215,0,107.802
5,404,1.5115,0.0709,0.167613,0.5232,6.10E-05,0.058277,0,101.609
6,405,1.5115,0.0713334,0.167596,0.5222,6.20E-05,0.0566994,0,95.9885
7,406,1.5108,0.0713202,0.167513,0.5212,6.30E-05,0.0553657,0,91.0322
8,407,1.5101,0.0712604,0.167426,0.5202,6.40E-05,0.0541628,0,86.3441
9,408,1.5095,0.0712231,0.167239,0.5192,6.50E-05,0.0531158,0,81.7844
10,409,1.5088,0.071228,0.166682,0.5182,6.60E-05,0.0519797,0,77.5978
11,410,1.5081,0.0714914,0.165882,0.5172,6.70E-05,0.0509515,0,73.4695
12,411,1.5076,0.0718877,0.165517,0.5162,6.79E-05,0.0501165,0,69.4345
13,412,1.5071,0.0720185,0.165446,0.5152,6.90E-05,0.0493873,0,65.4928
14,413,1.5065,0.0718268,0.165689,0.5142,7.05E-05,0.0486038,0,61.8077
15,414,1.506,0.0714934,0.166088,0.5132,7.20E-05,0.0478761,0,58.3208
16,415,1.5055,0.0711319,0.166189,0.5122,7.31E-05,0.0473795,0,55.0788
17,416,1.505,0.0707629,0.166288,0.5112,7.40E-05,0.0468987,0,52.0467
18,417,1.5046,0.0704367,0.166456,0.5102,7.49E-05,0.0465315,0,49.2129
19,418,1.5041,0.070094,0.166622,0.5092,7.60E-05,0.0461572,0,46.6006
20,419,1.5037,0.0698404,0.166873,0.5082,7.74E-05,0.0457923,0,44.0817
21,420,1.5032,0.0698193,0.167164,0.5072,7.90E-05,0.0454286,0,41.5977
22,421,1.5029,0.0700539,0.167544,0.5062,8.06E-05,0.0451439,0,39.2071
23,422,1.5026,0.0702815,0.16798,0.5052,8.20E-05,0.0448451,0,36.968
24,423,1.5022,0.070503,0.168439,0.5042,8.30E-05,0.0445356,0,34.9038
25,424,1.5019,0.0704727,0.168599,0.5032,8.40E-05,0.0442495,0,33.0263
26,425,1.5016,0.0705277,0.168474,0.5022,8.55E-05,0.0441159,0,31.242
27,426,1.5013,0.0708095,0.168142,0.5012,8.70E-05,0.0439576,0,29.5627
28,427,1.501,0.0713124,0.168,0.5002,8.80E-05,0.043874,0,28.0117
29,428,1.5008,0.0716223,0.167725,0.4992,8.90E-05,0.0438046,0,26.5423
30,429,1.5005,0.0719053,0.167413,0.4982,9.05E-05,0.0438581,0,25.0729
31,430,1.5002,0.0724491,0.167551,0.4972,9.20E-05,0.0438612,0,23.6035
32,431,1.5,0.0730907,0.167744,0.496,9.30E-05,0.0439124,0,22.1691
33,432,1.4997,0.0736521,0.167905,0.4948,9.40E-05,0.0439588,0,20.8164
34,433,1.4995,0.074047,0.167971,0.4936,9.55E-05,0.0440366,0,19.5452
35,434,1.4992,0.0743349,0.167937,0.4924,9.70E-05,0.0441105,0,18.3674
36,435,1.499,0.0745425,0.167973,0.4912,9.80E-05,0.0442029,0,17.2712
37,436,1.4988,0.0746911,0.168177,0.49,9.90E-05,0.0442768,0,16.2333
38,437,1.4986,0.0746534,0.168322,0.4888,0.0001005,0.0443989,0,15.3003
39,438,1.4984,0.0745703,0.168695,0.4876,0.000102,0.0445095,0,14.379
40,439,1.4982,0.0742853,0.169163,0.4864,0.0001031,0.0446471,0,13.5394
41,440,1.498,0.0737942,0.169569,0.4852,0.000104,0.0447865,0,12.7814
42,441,1.4977,0.072818,0.169678,0.484,0.000105,0.0449193,0,12.14
43,442,1.4974,0.0716223,0.169631,0.4829,0.000106,0.0450615,0,11.5732
44,443,1.4972,0.0704587,0.1699,0.4817,0.000107,0.0452269,0,10.9738
45,444,1.4969,0.0691047,0.169905,0.4805,0.000108,0.0454154,0,10.4338
46,445,1.4966,0.0675675,0.169815,0.4793,0.000109,0.0455895,0,9.92188
47,446,1.4964,0.0660264,0.16977,0.4781,0.00011,0.0457528,0,9.43092
48,447,1.4962,0.0644919,0.16973,0.4769,0.000111,0.045857,0,8.90963
49,448,1.4959,0.0626681,0.169345,0.4757,0.000112,0.045994,0,8.47581
50,449,1.4957,0.0607546,0.168568,0.4745,0.000113,0.0461954,0,8.09214
51,450,1.4955,0.0587747,0.167441,0.4733,0.000114,0.0464136,0,7.76677
52,451,1.4953,0.0567782,0.166023,0.472,0.000115,0.0466797,0,7.48922
53,452,1.4951,0.0547324,0.164464,0.4708,0.000116,0.046953,0,7.25599
54,453,1.4949,0.0528441,0.162899,0.4695,0.000117,0.0471624,0,7.00876
55,454,1.4947,0.0511254,0.161362,0.4683,0.000118,0.04736,0,6.74287
56,455,1.4945,0.0495729,0.15978,0.467,0.000119,0.0475935,0,6.49913
57,456,1.4943,0.048139,0.158224,0.4658,0.00012,0.0478138,0,6.2624
58,457,1.4942,0.0468009,0.156555,0.4645,0.000121,0.0480817,0,6.03266
59,458,1.494,0.0456455,0.154969,0.4633,0.000122,0.0483353,0,5.76794
60,459,1.4939,0.0446906,0.153299,0.462,0.000123,0.0485953,0,5.55219
61,460,1.4937,0.0438733,0.151672,0.4608,0.000124,0.0488393,0,5.33528
62,461,1.4935,0.0431621,0.149969,0.4597,0.000125,0.0491231,0,5.15336
63,462,1.4934,0.0426533,0.148319,0.4587,0.000126,0.0493705,0,4.96677
64,463,1.4932,0.0422062,0.146765,0.4577,0.000127,0.0496082,0,4.80117
65,464,1.4931,0.0417743,0.145076,0.4566,0.000128,0.0498409,0,4.67173
66,465,1.4929,0.0412972,0.143493,0.4556,0.0001289,0.050136,0,4.60059
67,466,1.4928,0.0409113,0.142004,0.4546,0.00013,0.0504203,0,4.4933
68,467,1.4927,0.0405705,0.14055,0.4535,0.0001315,0.0507836,0,4.41283
69,468,1.4925,0.0403017,0.139191,0.4525,0.000133,0.0511498,0,4.28106
70,469,1.4924,0.0400089,0.138023,0.4515,0.000134,0.0515566,0,4.14461
71,470,1.4923,0.0397273,0.137008,0.4504,0.000135,0.0519406,0,4.03732
72,471,1.4922,0.0395205,0.136145,0.4494,0.0001364,0.0523872,0,3.92187
73,472,1.492,0.039292,0.13548,0.4484,0.000138,0.0528197,0,3.82741
74,473,1.4919,0.0390352,0.134998,0.4473,0.0001396,0.0534087,0,3.71312
75,474,1.4917,0.0387726,0.134639,0.4463,0.000141,0.0539897,0,3.6175
76,475,1.4916,0.0385228,0.134366,0.4453,0.0001424,0.0544621,0,3.55802
77,476,1.4915,0.0382599,0.134169,0.4442,0.000144,0.0549398,0,3.47872
78,477,1.4914,0.0378812,0.133937,0.4432,0.0001459,0.055543,0,3.43674
79,478,1.4912,0.03751,0.133745,0.4422,0.000148,0.0561548,0,3.39709
80,479,1.4911,0.0371492,0.133557,0.4411,0.0001499,0.0566378,0,3.34578
81,480,1.491,0.0367757,0.133271,0.4401,0.000152,0.0571515,0,3.26881
82,481,1.4909,0.0363,0.132787,0.4388,0.0001544,0.0576893,0,3.23849
83,482,1.4907,0.0357606,0.132173,0.4375,0.000157,0.0582652,0,3.20817
84,483,1.4906,0.03521,0.131409,0.4362,0.0001596,0.058847,0,3.17901
85,484,1.4904,0.0345829,0.130422,0.435,0.000162,0.0594778,0,3.15102
86,485,1.4903,0.0339091,0.129222,0.4337,0.0001643,0.0600537,0,3.1242
87,486,1.4902,0.0331842,0.127818,0.4324,0.000167,0.0606698,0,3.09738
88,487,1.49,0.0323774,0.126314,0.4311,0.0001704,0.061221,0,3.07172
89,488,1.4899,0.0315189,0.124566,0.4298,0.000174,0.0618094,0,3.04723
90,489,1.4897,0.0305842,0.122692,0.4285,0.0001775,0.0623585,0,3.02391
91,490,1.4896,0.0296622,0.120655,0.4272,0.000181,0.0629224,0,3.00059
92,491,1.4895,0.0286992,0.118603,0.426,0.0001849,0.0634338,0,2.97843
93,492,1.4893,0.0276921,0.11652,0.4247,0.000189,0.0639703,0,2.95744
94,493,1.4892,0.0266404,0.11441,0.4234,0.0001934,0.0644618,0,2.93761
95,494,1.489,0.0255901,0.112274,0.4221,0.000198,0.0649644,0,2.91779
96,495,1.4889,0.0245165,0.110113,0.4208,0.0002031,0.0654305,0,2.89913
97,496,1.4887,0.0234283,0.10793,0.4195,0.000209,0.0659096,0,2.88164
98,497,1.4885,0.0223279,0.105726,0.4183,0.0002158,0.0663776,0,2.86531
99,498,1.4884,0.0212239,0.103502,0.417,0.000223,0.0668519,0,2.84898
100,499,1.4882,0.0201366,0.101261,0.4157,0.0002303,0.0673086,0,2.83382
101,500,1.488,0.0190485,0.0990044,0.4144,0.000238,0.0677709,0,2.81866
102,501,1.4878,0.0179798,0.0967335,0.4135,0.0002463,0.0681326,0,2.80467
103,502,1.4876,0.0169429,0.0944502,0.4127,0.000255,0.0684792,0,2.79184
104,503,1.4875,0.0159234,0.0921564,0.4118,0.000264,0.0688146,0,2.78018
105,504,1.4873,0.0149343,0.0898536,0.4109,0.000273,0.0691402,0,2.76852
106,505,1.4871,0.0139785,0.0875437,0.41,0.0002819,0.0693615,0,2.75802
107,506,1.4869,0.0130497,0.0852284,0.4092,0.000291,0.069563,0,2.74753
108,507,1.4867,0.0121542,0.0829094,0.4083,0.0003004,0.069828,0,2.7382
109,508,1.4865,0.0112959,0.0805884,0.4074,0.00031,0.0700735,0,2.73003
110,509,1.4863,0.01048,0.0782671,0.4065,0.0003194,0.0702792,0,2.72187
111,510,1.4861,0.00970081,0.0759473,0.4057,0.000329,0.0704719,0,2.71487
112,511,1.4859,0.00895396,0.0736308,0.4047,0.000339,0.0706789,0,2.70904
113,512,1.4856,0.0082461,0.0713191,0.4038,0.000349,0.0708719,0,2.70321
114,513,1.4854,0.00758,0.0690141,0.4028,0.0003588,0.0710254,0,2.69855
115,514,1.4851,0.00695743,0.0667175,0.4019,0.000368,0.0711652,0,2.69388
116,515,1.4849,0.00638669,0.064431,0.4009,0.0003767,0.0712852,0,2.69038
