dates,blue,green,red,nir,swir1,swir2,thermal,qa,sensor
730496,443,374,324,817,175,91,2642,0,2
730504,755,605,567,1200,265,244,2591,4,1
730520,2678,2646,2566,2905,1464,1043,2610,4,1
730536,911,914,808,1817,488,236,2685,3,1
730552,702,743,629,1523,395,295,2702,0,1
730576,20000,20000,20000,20000,20000,20000,2532,4,2
730584,885,1093,1051,2227,621,310,2718,3,1
730592,855,956,1024,2173,503,279,2790,3,2
730600,970,1194,1131,2245,542,294,2766,3,1
730616,535,751,708,1832,707,447,2792,0,1
730632,2219,2352,2275,2991,1777,1306,2514,4,1
730648,290,453,379,1961,1013,536,2920,0,1
730656,266,420,317,1924,1034,574,2913,0,2
730664,235,290,277,925,454,283,2902,2,1
730672,204,372,323,1828,985,474,2939,0,2
730688,238,337,254,1975,974,453,2929,0,2
730696,238,402,336,1774,930,397,2947,0,1
730704,233,325,261,1284,615,355,2881,2,2
730712,554,709,644,2093,1075,596,2841,4,1
730720,3299,3411,3572,4462,4211,3234,2747,4,2
730752,256,353,381,1303,559,273,2875,0,2
730760,319,315,327,1215,562,285,2841,0,1
730776,251,275,254,1094,485,220,2761,0,1
730784,164,223,213,940,358,200,2741,0,2
730792,1447,1610,1570,2251,1419,1118,2610,4,1
730800,347,397,335,1120,367,229,2747,2,2
730808,549,518,389,965,113,160,2663,0,1
730824,823,627,523,1085,176,112,2585,0,1
730832,3391,3348,3387,4028,2092,2126,2466,4,2
730840,1865,1820,1787,2174,887,701,2604,4,1
730848,3055,2996,3090,3523,2198,2100,2491,4,2
730856,6496,6633,6607,6904,4980,3207,2560,4,1
730864,469,370,285,940,173,181,2593,0,2
730872,7067,7118,7151,7182,3274,2788,2381,4,1
730888,608,486,423,1192,226,151,2634,0,1
730904,3513,3507,3405,3876,1731,1332,2514,4,1
730928,1118,1130,1040,2180,638,405,2649,4,2
730944,587,710,669,1690,484,271,2753,0,2
730976,383,517,498,1638,926,607,2830,0,2
730992,20000,20000,20000,5915,20000,4713,2555,4,2
731008,268,426,356,1786,1077,552,2955,0,2
731016,20000,5789,5791,6136,3541,2897,2443,4,1
731024,227,347,314,1793,985,501,2955,0,2
731032,460,589,482,1850,927,419,2977,0,1
731040,265,426,390,1866,988,543,2934,0,2
731048,299,405,368,1689,823,358,2968,0,1
731072,175,319,231,1513,774,395,2913,0,2
731080,522,588,512,1700,796,342,2938,0,1
731088,202,299,246,1429,735,340,2929,0,2
731096,1405,1532,1518,2216,1572,1207,2674,4,1
731112,1908,1984,2004,2594,2287,2211,2663,4,1
731128,20000,7302,7250,7376,5902,4600,2610,4,1
731136,215,245,235,1035,473,332,2759,0,2
731144,222,239,266,933,467,178,2761,0,1
731160,602,562,532,1173,256,146,2674,0,1
731184,572,422,338,838,169,133,2676,0,2
731200,404,359,304,749,182,95,2676,0,2
731208,1191,1008,1007,1356,454,350,2579,3,1
731224,393,201,255,778,119,112,2645,0,1
731232,3806,3832,4104,4639,4143,4338,2555,4,2
731240,6739,6989,6989,7175,5570,4483,2428,4,1
731288,20000,6277,6256,6215,3587,3010,2304,4,1
731336,3742,3855,3897,4282,3616,3085,2534,4,1
731352,775,993,1024,2319,790,422,2786,3,1
731360,2688,2846,2906,3749,3407,3101,2690,4,2
731368,249,428,387,1700,984,612,2865,0,1
731384,301,507,421,2009,952,487,2879,2,1
731400,256,410,317,1799,896,481,2951,0,1
731416,270,351,325,1688,742,366,2888,0,1
731424,221,316,304,1743,857,395,2929,0,2
731432,20000,6553,6611,7309,20000,5478,2645,4,1
731440,235,331,261,1550,763,405,2934,0,2
731448,276,357,327,1136,470,275,2869,0,1
731456,1318,1405,1400,2476,2029,1540,2772,4,2
731480,163,293,238,1291,552,226,2831,0,1
731488,293,371,355,1259,631,338,2853,0,2
731496,278,339,307,1124,552,251,2821,0,1
731512,223,344,268,947,371,181,2771,0,1
731552,2020,2035,2049,2630,1345,1129,2524,4,2
731568,427,347,227,705,183,95,2683,0,2
731576,1917,1913,1799,2105,988,775,2547,4,1
731592,509,405,286,839,277,47,2663,0,1
731648,713,690,575,1555,404,267,2728,0,2
731664,704,818,806,1888,492,293,2766,4,2
731672,747,775,800,1728,547,326,2781,0,1
731688,774,895,952,2027,555,231,2786,3,1
731704,650,851,788,1873,605,289,2792,0,1
731712,289,446,419,1543,1000,619,2864,0,2
731720,303,455,496,1628,1054,644,2888,0,1
731728,304,333,270,933,464,239,2853,2,2
731736,527,679,563,1310,905,606,2836,4,1
731752,286,451,408,1857,958,510,2874,0,1
731760,266,429,308,1807,978,514,2881,0,2
731768,183,372,314,1829,893,447,2869,0,1
731776,215,338,257,1662,816,410,2945,0,2
731784,20000,6178,6232,6935,20000,6012,2729,4,1
731792,154,153,105,522,208,155,2853,2,2
731800,750,898,831,2152,1309,784,2811,0,1
731807,185,296,248,1346,641,329,2906,0,1
731808,230,316,265,1549,763,378,2913,0,2
731824,191,281,280,1418,652,371,2886,0,2
731832,210,332,307,1403,675,361,2869,0,1
731840,250,313,286,1386,669,370,2853,0,2
731848,495,614,532,1826,503,268,2761,0,1
731856,234,292,261,1199,446,171,2772,0,2
731864,236,292,270,1120,519,295,2807,0,1
731872,20000,20000,20000,6176,3300,2401,2532,4,2
731880,285,359,318,1064,341,184,2735,0,1
731888,440,425,339,1095,312,106,2703,0,2
731904,1813,1742,1806,2118,1790,1484,2635,4,2
731936,442,241,272,752,90,143,2600,0,2
731960,659,461,393,942,128,111,2640,0,1
731968,522,372,329,726,165,85,2690,0,2
732008,914,912,764,1536,430,299,2669,3,1
732016,760,757,681,1604,391,228,2703,0,2
732032,1947,2048,1998,2893,1372,1244,2649,4,2
732048,1018,1118,1099,2216,558,331,2722,3,2
732056,828,1137,1054,2115,593,296,2766,3,1
732088,414,565,556,1682,954,573,2879,0,1
732104,290,326,274,986,458,241,2841,2,1
732112,284,447,391,1773,1009,571,2881,0,2
732128,143,385,285,1857,929,463,2918,0,2
732136,267,464,387,1911,1034,481,2942,0,1
732144,261,379,294,1806,906,431,2934,0,2
732160,145,153,122,465,168,65,2853,0,2
732176,237,252,242,603,320,189,2836,2,2
732184,228,339,283,1456,674,310,2874,0,1
732192,190,293,257,1484,660,326,2892,0,2
732200,224,301,215,1355,594,285,2850,0,1
732208,176,273,189,1299,594,263,2842,0,2
732216,20000,6037,6132,6356,5422,4466,2645,4,1
732232,589,565,572,1447,333,207,2740,0,1
732240,280,307,267,1054,410,228,2759,0,2
732256,543,537,407,1306,429,186,2735,0,2
732272,555,488,344,943,199,82,2690,0,2
732304,580,434,303,713,90,48,2670,0,2
732320,908,787,791,1153,402,326,2593,2,2
732328,1706,1540,1485,2307,853,701,2616,4,1
732368,878,814,750,1523,405,256,2690,0,2
732376,612,724,531,1580,449,200,2750,0,1
732424,724,928,855,1996,580,289,2802,3,1
732432,841,989,1014,2198,595,336,2766,3,2
732440,3593,3841,3943,4676,4227,3722,2645,4,1
732447,-516,-253,-137,20000,708,369,2826,0,1
732448,726,827,838,1859,1084,664,2813,0,2
732456,356,520,492,1647,1115,658,2869,0,1
732480,209,367,270,1903,963,524,2913,0,2
732488,269,419,325,2062,991,536,2915,0,1
732496,289,424,371,1930,873,451,2881,0,2
732504,329,450,377,2149,966,515,2906,0,1
732512,244,357,257,1765,849,394,2897,0,2
732520,239,375,316,1829,909,488,2942,0,1
732536,436,517,459,1948,993,543,2874,0,1
732544,4203,4282,4532,5214,4555,3979,2614,4,2
732552,197,343,286,1551,718,378,2869,0,1
732560,358,435,387,1501,689,301,2881,0,2
732568,295,447,399,1757,745,369,2860,0,1
732584,236,302,315,1318,564,271,2821,0,1
732600,2571,2712,2746,3161,2845,2414,2591,4,1
732616,388,415,409,1061,375,184,2674,0,1
732624,254,306,333,951,328,190,2766,0,2
732632,557,625,429,1055,274,212,2702,0,1
732664,1054,880,781,992,231,188,2657,0,1
732728,772,608,649,1324,500,178,2702,0,1
732752,848,908,863,1770,488,306,2753,3,2
732768,768,944,923,2003,538,352,2766,3,2
732784,678,699,699,1196,409,304,2735,2,2
732808,904,1106,1055,1746,926,638,2724,4,1
732816,3324,3553,3786,4397,3970,3057,2696,4,2
732824,452,638,671,1790,1326,726,2906,0,1
732832,324,419,524,1534,1053,617,2897,0,2
732840,2051,2460,2469,3418,3534,2484,2781,4,1
732848,305,432,474,1804,1094,525,2960,0,2
732856,250,458,469,1826,1216,598,2973,0,1
732864,557,666,745,1886,1270,787,2813,0,2
732872,344,470,535,1730,1216,611,2933,0,1
732880,334,415,563,1746,1249,597,2945,0,2
732888,478,574,598,1772,1164,600,2929,0,1
732896,229,354,420,1453,991,526,2881,0,2
732904,322,439,456,1568,1078,549,2902,0,1
732912,353,444,501,1532,1085,628,2864,0,2
732920,312,450,500,1530,1103,574,2897,0,1
732928,482,499,627,1513,1227,671,2870,0,2
732936,504,597,720,1626,1199,688,2802,0,1
732952,269,354,466,1043,743,357,2781,0,1
732960,310,375,445,1007,937,480,2807,0,2
732976,620,599,681,1196,791,408,2741,0,2
733112,1205,1042,1210,1546,714,360,2669,4,1
733136,1473,1371,1541,2086,797,513,2683,4,2
733152,1469,1505,1660,2238,771,461,2753,3,2
733168,962,1028,1184,1590,655,400,2784,2,2
733192,3203,3527,3600,4165,4548,3673,2640,4,1
733200,335,466,617,1385,1456,919,2892,0,2
733208,345,521,605,1416,1518,880,2955,0,1
733224,372,500,532,1658,1351,707,2951,0,1
733232,19,117,161,513,294,174,2870,4,2
733248,1390,1493,1499,3021,2420,1726,2825,4,2
733256,328,429,446,1549,1140,599,2973,0,1
733272,300,376,465,1462,1107,585,2865,0,1
733288,322,396,391,1354,1035,617,2860,0,1
733304,439,483,496,1238,795,419,2807,0,1
733312,291,322,367,1119,873,534,2842,0,2
733320,498,618,649,1332,974,510,2766,0,1
733328,527,591,596,968,474,302,2676,2,2
733344,285,294,351,722,666,445,2778,0,2
733352,2719,2704,2639,2784,2103,1883,2566,0,1
733424,1155,1000,950,1194,602,311,2635,3,2
733440,3304,3204,3236,3552,1658,1396,2532,4,2
733464,4750,4756,4752,4809,2216,1889,2553,4,1
733472,20000,20000,20000,6704,3348,3122,2532,4,2
733480,1104,1072,1137,1623,758,478,2680,4,1
733488,1106,1236,1307,1709,680,454,2759,3,2
733512,1697,1771,1918,2510,805,478,2735,2,1
733520,1480,1637,1798,2241,745,508,2778,3,2
733536,1098,1365,1588,2177,958,665,2735,3,2
733544,709,875,1036,1669,1243,796,2792,0,1
733576,450,639,645,1924,1718,1003,2902,0,1
733592,1587,1841,1862,2984,3034,2183,2786,4,1
733608,363,471,453,1797,1355,790,2902,0,1
733616,316,409,438,1676,1278,714,2897,0,2
733624,371,480,460,1506,1206,698,2906,0,1
733640,279,373,372,1377,1072,615,2929,0,1
733648,655,744,752,1801,1420,883,2813,2,2
733664,1717,1782,1841,2523,2736,2374,2735,4,2
733680,358,417,395,1001,774,484,2830,0,2
733696,270,351,355,809,853,534,2766,0,2
733704,4765,4602,4719,5073,2988,2324,2591,4,1
733712,581,562,671,1025,583,319,2735,0,2
733720,311,353,386,826,604,367,2729,0,1
733728,643,566,567,829,347,278,2676,0,2
733736,1340,1333,1313,1719,1124,926,2579,4,1
733760,934,763,698,838,318,236,2578,0,2
733784,621,510,523,666,355,243,2657,0,1
733848,1287,1346,1362,1736,748,507,2691,4,1
733872,1621,1665,1828,2251,733,579,2759,3,2
733880,1481,1458,1654,2261,914,645,2718,4,1
733896,1796,1898,1934,2210,1171,878,2691,4,1
733912,3445,3338,3512,4016,3591,3367,2685,4,1
733920,434,558,652,1275,1494,1044,2924,0,2
733928,20000,20000,20000,20000,20000,5432,2669,4,1
733944,347,493,525,1601,1464,907,2960,0,1
733952,305,437,448,1746,1534,883,2960,0,2
733960,382,652,599,1871,1429,810,2942,0,1
733968,284,405,400,1686,1350,821,2960,0,2
733976,731,885,849,1948,1455,963,2781,2,1
733984,293,399,360,1635,1315,730,2929,0,2
733992,1859,1947,1901,2478,1710,1375,2750,4,1
734008,304,357,375,1291,1115,696,2906,0,1
734016,242,318,313,1248,1057,662,2881,0,2
734024,1486,1514,1531,2155,2113,1664,2740,4,1
734032,222,305,318,1045,947,576,2902,0,2
734040,270,254,321,1012,918,546,2831,0,1
734048,283,386,411,1001,862,512,2864,0,2
734056,1606,1655,1635,1975,2132,1669,2702,4,1
734064,1298,1313,1413,1752,1696,1551,2741,4,2
734080,752,719,843,1145,694,571,2696,2,2
734088,2353,2302,2252,2896,2283,1950,2585,4,1
734104,760,618,607,832,384,233,2640,2,1
734232,20000,4923,5083,5357,4011,3730,2514,4,1
734240,1714,1861,1904,2193,651,430,2722,2,2
734248,2821,2743,2895,3528,1290,943,2708,4,1
734264,1868,2021,2095,2495,778,549,2776,3,1
734288,1272,1452,1630,2201,866,622,2784,4,2
734296,424,588,631,1281,1533,1130,2902,0,1
734304,20000,20000,20000,7582,20000,20000,2628,4,2
734312,318,473,453,1705,1519,927,2964,0,1
734320,316,446,408,1788,1448,887,2939,0,2
734336,289,445,409,1819,1425,806,2939,0,2
734352,229,229,209,812,447,257,2881,2,2
734360,336,374,358,1561,1222,741,2951,0,1
734376,279,330,352,1362,1040,605,2897,0,1
734392,742,735,761,1617,1246,842,2771,4,1
734408,242,262,296,990,821,516,2860,0,1
734424,1808,1843,2005,2745,3420,2778,2680,4,1
734440,937,785,741,1125,555,388,2702,3,1
734456,1660,1413,1506,1734,868,671,2651,4,1
734464,1137,1000,927,1234,597,535,2649,4,2
734480,767,511,453,604,391,272,2614,0,2
734496,708,553,442,599,365,190,2642,0,2
734528,747,636,566,783,483,334,2649,0,2
734560,1300,1202,1218,1551,712,509,2676,4,2
734592,1317,1430,1520,1997,898,716,2735,4,2
734640,438,534,624,1320,1604,1176,2892,0,2
734656,20000,20000,20000,6446,4161,3951,2210,4,2
734688,483,612,582,1940,1452,863,2913,0,2
734704,270,404,368,1686,1347,818,2960,0,2
734720,299,371,404,1529,1327,782,2945,0,2
734736,338,407,425,1485,1220,771,2908,0,2
734752,891,1009,1061,1946,2040,1380,2836,2,2
734768,345,422,464,1111,917,537,2875,0,2
734800,20000,5832,20000,6034,2413,2192,2555,4,2
734832,478,467,477,706,406,338,2709,0,2
734992,2341,2467,2598,3059,874,674,2735,3,2
735000,4214,4125,4307,4794,4434,3886,2719,4,3
735024,401,531,628,1332,1676,1253,2929,0,2
735032,5824,5647,5829,6681,4964,4361,2450,4,3
735048,332,477,393,2034,1423,871,2999,0,3
735056,1392,1532,1583,2661,2559,2235,2709,4,2
735064,306,418,341,1901,1340,777,2945,0,3
735072,310,475,397,1750,1394,862,2980,0,2
735080,210,313,244,1603,987,583,2918,0,3
735096,295,393,327,1657,1145,686,2962,0,3
735104,398,440,399,955,680,389,2859,0,2
735128,202,271,244,1191,892,582,2877,0,3
735136,216,308,338,1035,845,485,2847,0,2
735144,549,576,596,903,1010,841,2781,4,3
735160,660,702,748,1321,622,478,2716,0,3
735168,419,395,389,760,552,435,2753,0,2
735176,2316,2235,2219,2665,945,900,2571,4,3
735192,2809,2654,2628,2931,1427,1370,2661,4,3
735200,803,612,642,893,454,386,2676,0,2
735216,1760,1583,1541,1850,936,833,2600,4,2
735288,368,590,498,1281,558,467,2706,3,3
735312,1553,1527,1565,2078,703,531,2703,3,2
735344,1352,1506,1647,1992,560,415,2766,2,2
735360,1511,1747,1983,2480,778,572,2772,3,2
735384,467,624,632,1121,1122,893,2839,4,3
735400,360,517,454,1798,1526,1031,2946,0,3
735408,291,445,405,1832,1453,875,2945,0,2
735416,268,402,333,1813,1349,843,2976,0,3
735424,308,442,387,1947,1480,785,2950,0,2
735432,2071,2413,2256,2946,2519,2082,2718,4,3
735440,360,450,412,1852,1403,780,2945,0,2
735448,325,470,412,1804,1314,845,2904,0,3
735456,263,370,360,1626,1273,724,2918,0,2
735464,1267,1280,1221,2180,1280,974,2781,4,3
735472,20000,20000,20000,8995,20000,4466,2656,4,2
735480,219,370,329,1610,1018,649,2895,0,3
735488,217,309,267,1315,1036,678,2813,0,2
735496,192,314,313,1195,914,568,2903,0,3
735512,244,385,403,1150,1120,795,2784,0,3
735520,565,633,633,1208,679,454,2747,0,2
735536,502,508,546,991,597,480,2747,0,2
735544,750,810,830,1406,887,838,2728,2,3
735568,1528,1469,1436,1664,1346,1226,2649,4,2
735616,983,816,659,1053,464,353,2696,0,2
735624,687,553,473,875,435,324,2696,0,3
735672,1253,1299,1299,1879,528,403,2763,3,3
735688,1384,1495,1501,1931,585,436,2789,2,3
735696,1928,2021,2041,2367,945,698,2696,4,2
735720,1361,1557,1614,2063,791,574,2813,3,3
735752,372,552,607,1487,1656,1199,2910,0,3
735768,276,433,338,1923,1380,834,3003,0,3
735776,306,457,402,2133,1449,871,2970,0,2
735792,1369,1492,1429,2673,1876,1345,2656,4,2
