dates,blue,green,red,nir,swir1,swir2,thermal,qa,sensor
733046,2282,2300,2330,3035,1345,996,2663,4,2
733053,1067,1010,1106,2023,1756,1045,2728,4,2
733062,2096,2278,2397,3095,995,608,2628,4,2
733069,2361,2528,2651,3392,1433,963,2703,4,2
733086,1634,1674,1832,2703,1120,652,2718,3,1
733093,470,627,918,1845,2481,1534,2702,0,1
733118,516,643,927,2037,2883,1766,2786,0,1
733125,481,731,889,1881,2829,1703,2821,0,1
733134,528,839,1003,2071,2690,1671,2816,0,1
733142,547,727,1035,2219,2822,1865,2929,0,2
733149,499,674,989,2053,2893,1876,2975,0,2
733150,621,679,997,2080,3089,1939,3011,0,1
733157,509,759,976,2056,2836,1754,2977,0,1
733173,366,759,735,2435,2171,1096,2911,0,1
733181,3287,3380,3264,4351,2513,2031,2500,4,2
733182,390,772,551,3528,2136,914,2874,0,1
733189,324,588,393,2591,985,390,2915,0,1
733190,238,566,294,4029,1690,727,2875,0,2
733205,195,410,316,4135,1646,607,2933,0,1
733213,222,416,203,4507,1699,590,2913,0,2
733214,272,451,281,4777,1906,656,2929,0,1
733221,992,1024,821,2873,1121,465,2911,4,1
733222,288,535,271,4610,1869,665,2945,0,2
733230,20000,4748,4598,6444,5230,4295,2874,4,1
733238,240,432,197,4340,1797,586,2955,0,2
733253,248,380,254,3673,1581,543,2942,0,1
733254,20000,20000,20000,6328,3628,2255,2813,4,2
733262,615,676,472,3587,1319,418,2883,4,1
733269,2257,2541,2340,4709,2808,2049,2781,4,1
733270,1228,1371,1281,4467,2441,1283,2892,4,2
733277,202,342,189,3552,1539,546,2929,0,2
733278,305,451,319,4303,1890,704,2933,0,1
733285,266,397,256,3327,1382,472,2929,0,1
733286,233,367,181,3660,1637,595,2929,0,2
733302,259,423,233,3564,1657,589,2886,0,2
733317,799,1073,917,3487,2028,1461,2786,4,1
733318,4170,4139,4303,4868,4096,3534,2690,4,2
733326,255,575,483,3218,1585,696,2869,0,1
733333,238,566,599,2850,1591,617,2807,0,1
733342,299,547,847,2583,1658,796,2869,0,1
733350,1084,1171,1392,2599,2104,1244,2747,4,2
733358,451,629,724,1783,2290,1330,2802,0,1
733366,677,806,823,1881,2294,1390,2696,0,2
733373,366,486,712,1660,1965,1211,2759,0,2
733382,480,558,668,1727,2251,1448,2728,0,2
733398,2365,2533,2703,3492,1201,937,2607,4,2
733438,2520,2420,2612,3167,817,483,2651,3,1
733454,1634,1719,1798,2407,1316,799,2713,4,1
733461,5061,5330,5333,5371,5371,4901,2573,4,1
733462,1317,1419,1583,2379,1661,1091,2703,0,2
733470,3064,2977,3254,4085,1245,817,2669,3,1
733478,788,840,1084,2078,2417,1575,2709,0,2
733493,1493,1602,1916,2912,3362,2388,2807,0,1
733510,458,684,966,2088,2930,1837,2864,0,2
733557,230,507,303,4106,1589,546,2911,0,1
733565,215,441,253,4140,1551,564,2918,0,2
