gene,count
rpoB,43364
katG,40002
embB,33344
pncA,33251
rpsL,22979
rrs,17791
fabG1,14208
gyrA,14048
ethA,11814
gid,8620
eis,5907
inhA,4168
embA,3876
ahpC,1607
gyrB,1558
folC,1516
ethR,1425
thyX,1125
tlyA,1060
alr,917
thyA,840
ald,498
embC,432
mmpR5,329
rplC,246
ddn,192
panD,146
rrl,83
kasA,81
embR,68
fbiA,33
rpsA,13
ribD,9
fgd1,3
