,Gene,SNP_coverage
0,lineage422,1.0/1 (100%)
1,lineage42,1.0/1 (100%)
2,lineage4622,1.0/1 (100%)
3,lineage3121,1.0/1 (100%)
4,lineage442,1.0/1 (100%)
5,lineage4221,1.0/1 (100%)
6,lineage313,1.0/1 (100%)
7,lineage4611,1.0/1 (100%)
8,lineage461,1.0/1 (100%)
9,lineage481,0.0/1 (0%)
10,lineage311,0.0/1 (0%)
11,lineage1212,1.0/1 (100%)
12,lineage1221,1.0/1 (100%)
13,lineage515,0.0/1 (0%)
14,lineage5,0.0/1 (0%)
15,lineage431,0.0/1 (0%)
16,lineage482,1.0/1 (100%)
17,lineage434,1.0/1 (100%)
18,lineage41131,1.0/1 (100%)
19,lineage4222,1.0/1 (100%)
20,lineage4311,1.0/1 (100%)
21,lineage41211,1.0/1 (100%)
22,lineage1132,1.0/1 (100%)
23,lineage4321,1.0/1 (100%)
24,lineage1111,1.0/1 (100%)
25,lineage43421,1.0/1 (100%)
26,lineage464,1.0/1 (100%)
27,lineage6,1.0/1 (100%)
28,lineage491,0.0/1 (0%)
29,lineage9,0.0/1 (0%)
30,lineage43,0.0/1 (0%)
31,lineage412,1.0/1 (100%)
32,lineage222,1.0/1 (100%)
33,lineage441,1.0/1 (100%)
34,lineage1222,1.0/1 (100%)
35,lineage47,0.0/1 (0%)
36,lineage2211,0.0/1 (0%)
37,lineage421,0.0/1 (0%)
38,lineage2212,1.0/1 (100%)
39,lineage221,1.0/1 (100%)
40,lineage4,1.0/1 (100%)
41,lineage483,0.0/1 (0%)
42,lineage21,1.0/1 (100%)
43,lineage12121,1.0/1 (100%)
44,lineage312,1.0/1 (100%)
45,lineage48,1.0/1 (100%)
46,lineage44,1.0/1 (100%)
47,lineage4342,1.0/1 (100%)
48,lineage112,1.0/1 (100%)
49,lineage51,1.0/1 (100%)
50,lineage3122,1.0/1 (100%)
51,lineage4121,1.0/1 (100%)
52,lineage4412,1.0/1 (100%)
53,lineage46,1.0/1 (100%)
54,lineage463,1.0/1 (100%)
55,lineage45,1.0/1 (100%)
56,lineage465,1.0/1 (100%)
57,lineage4113,1.0/1 (100%)
58,lineage4612,1.0/1 (100%)
59,lineage414,1.0/1 (100%)
60,lineage3,1.0/1 (100%)
61,lineage4111,1.0/1 (100%)
62,lineage44111,1.0/1 (100%)
63,lineage63,1.0/1 (100%)
64,lineage1133,1.0/1 (100%)
65,lineage1211,1.0/1 (100%)
66,lineage122,1.0/1 (100%)
67,lineage413,1.0/1 (100%)
68,lineage22,1.0/1 (100%)
69,lineage4112,1.0/1 (100%)
70,lineage121,1.0/1 (100%)
71,lineage49,1.0/1 (100%)
72,lineage31,1.0/1 (100%)
73,lineage623,1.0/1 (100%)
74,lineage41,1.0/1 (100%)
75,lineage8,1.0/1 (100%)
76,lineage4621,1.0/1 (100%)
77,lineage631,1.0/1 (100%)
78,lineage4211,1.0/1 (100%)
79,lineage111,1.0/1 (100%)
80,lineage411,1.0/1 (100%)
81,lineage113,0.0/1 (0%)
82,lineage4341,1.0/1 (100%)
83,lineage433,1.0/1 (100%)
84,lineage2,1.0/1 (100%)
85,lineage7,1.0/1 (100%)
86,lineage1,1.0/1 (100%)
87,lineage432,1.0/1 (100%)
88,lineage11,1.0/1 (100%)
89,lineage4411,1.0/1 (100%)
90,lineage1131,1.0/1 (100%)
91,lineage462,0.0/1 (0%)
