% Titel:  Up2Ustar.dat 
% Doel:	  Transformatie van potentiële wind naar U* schaling.
% Bron:   De Waal, J.P. (2003) Windmodellering voor bepaling waterstanden en golven.
%         Een analyse van de bouwstenen. RIZA werkdocument 2003.118x.
% Datum:  24 juni 2004
% Auteur: E.J. Claessens
%        Up        U*  
%     (m/s)      (m/s) 
       0.00       0.00
       1.00       0.79
       2.00       1.64
       3.00       2.55
       4.00       3.52
       5.00       4.54
       6.00       5.62
       7.00       6.74
       8.00       7.91
       9.00       9.09
      10.00      10.30
      11.00      11.55
      12.00      12.83
      13.00      14.14
      14.00      15.48
      15.00      16.85
      16.00      18.24
      17.00      19.66
      18.00      21.11
      19.00      22.57
      20.00      24.07
      21.00      25.58
      22.00      27.12
      23.00      28.68
      24.00      30.25
      25.00      31.85
      26.00      33.47
      27.00      35.11
      28.00      36.77
      29.00      38.44
      30.00      40.13
      31.00      41.84
      32.00      43.57
      33.00      45.31
      34.00      47.07
      35.00      48.85
      36.00      50.64
      37.00      52.44
      38.00      54.27
      39.00      56.10
      40.00      57.95
      41.00      59.82
      42.00      61.69
      43.00      63.59
      44.00      65.49
      45.00      67.41
      46.00      69.34
      47.00      71.29
      48.00      73.24
      49.00      75.21
      50.00      77.19
