dates,GOSIF
730176,2132
730184,1427
730192,924
730200,400
730208,188
730216,6
730224,18
730232,-9999
730240,8
730248,169
730256,131
730264,110
730272,201
730280,277
730288,358
730296,625
730304,860
730312,1724
730320,1876
730328,2212
730336,2209
730344,2234
730352,2867
730360,2569
730368,1619
730376,1237
730384,935
730392,651
730400,473
730408,304
730416,199
730424,168
730432,162
730440,171
730448,223
730456,300
730464,474
730472,800
730480,967
730486,1267
730494,1499
730502,1978
730510,2837
730518,3257
730526,3104
730534,3133
730542,2806
730550,2236
730558,1490
730566,647
730574,306
730582,130
730590,173
730598,-9999
730606,38
730614,63
730622,267
730630,279
730638,455
730646,496
730654,501
730662,3501
730670,3568
730678,4038
730686,4203
730694,3938
730702,4097
730710,2908
730718,2149
730726,1679
730734,1152
730742,822
730750,608
730758,652
730766,437
730774,295
730782,270
730790,182
730798,137
730806,212
730814,326
730822,489
730830,891
730838,1176
730846,1318
730851,1365
730859,1596
730867,2020
730875,2328
730883,2705
730891,3083
730899,3217
730907,2855
730915,2262
730923,1947
730931,489
730939,225
730947,44
730955,44
730963,-9999
730971,-9999
730979,1
730987,34
730995,179
731003,139
731011,139
731019,207
731027,420
731035,263
731043,213
731051,284
731059,283
731067,415
731075,409
731083,2133
731091,2027
731099,1890
731107,1468
731115,1186
731123,742
731131,610
731139,437
731147,254
731155,222
731163,182
731171,116
731179,166
731187,234
731195,447
731203,705
731211,958
731216,1449
731224,1522
731232,1935
731240,2025
731248,2548
731256,2907
731264,3026
731272,2610
731280,2041
731288,1188
731296,577
731304,203
731312,46
731320,79
731328,50
731336,-9999
731344,-9999
731352,37
731360,21
731368,86
731376,89
731384,296
731392,351
731400,514
731408,473
731416,4003
731424,3668
731432,3900
731440,3004
731448,3015
731456,2544
731464,2282
731472,1750
731480,1267
731488,635
731496,504
731504,428
731512,400
731520,342
731528,342
731536,489
731544,622
731552,819
731560,1075
731568,1242
731576,1198
731581,1235
731589,1600
731597,1587
731605,1984
731613,2495
731621,2592
731629,2557
731637,2315
731645,1461
731653,848
731661,283
731669,95
731677,72
731685,67
731693,118
731701,103
731709,142
731717,42
731725,84
731733,15
731741,192
731749,338
731757,255
731765,336
731773,462
731781,666
731789,1035
731797,1207
731805,3456
731813,2578
731821,2233
731829,1786
731837,1406
731845,1097
731853,824
731861,612
731869,412
731877,352
731885,203
731893,262
731901,415
731909,849
731917,1138
731925,1578
731933,1522
731941,1522
731947,1764
731955,1774
731963,1974
731971,2248
731979,2299
731987,2148
731995,2122
732003,1913
732011,898
732019,461
732027,217
732035,51
732043,28
732051,25
732059,124
732067,136
732075,-9999
732083,-9999
732091,12
732099,107
732107,101
732115,209
732123,546
732131,1190
732139,1583
732147,2006
732155,2896
732163,3089
732171,2523
732179,1949
732187,1736
732195,1707
732203,1516
732211,1036
732219,604
732227,473
732235,412
732243,303
732251,294
732259,337
732267,392
732275,642
732283,983
732291,1138
732299,1213
732307,1774
732312,1834
732320,2243
732328,2410
732336,2758
732344,2662
732352,2547
732360,1829
732368,1188
732376,716
732384,292
732392,79
732400,52
732408,21
732416,48
732424,30
732432,4
732440,91
732448,194
732456,87
732464,226
732472,251
732480,332
732488,622
732496,707
732504,814
732512,4201
732520,3785
732528,3295
732536,3244
732544,2749
732552,2269
732560,1820
732568,1295
732576,720
732584,504
732592,393
732600,376
732608,266
732616,180
732624,240
732632,337
732640,309
732648,618
732656,1038
732664,1302
732672,1594
732677,1588
732685,1963
732693,2554
732701,2956
732709,2934
732717,2661
732725,2470
732733,2181
732741,1346
732749,592
732757,315
732765,141
732773,89
732781,80
732789,25
732797,106
732805,81
732813,63
732821,30
732829,71
732837,182
732845,400
732853,462
732861,1509
732869,2837
732877,2664
732885,2492
732893,2934
732901,2671
732909,2719
732917,2101
732925,1719
732933,1586
732941,1057
732949,454
732957,362
732965,344
732973,302
732981,227
732989,311
732997,279
733005,392
733013,567
733021,781
733029,1123
733037,1124
733042,1490
733050,1738
733058,1938
733066,2055
733074,2508
733082,3058
733090,2654
733098,2351
733106,1773
733114,993
733122,514
733130,306
733138,162
733146,32
733154,-9999
733162,12
733170,121
733178,258
733186,242
733194,343
733202,531
733210,2122
733218,2139
733226,2232
733234,2223
733242,2145
733250,2589
733258,2582
733266,2559
733274,2184
733282,1764
733290,1578
733298,1389
733306,1150
733314,886
733322,657
733330,542
733338,444
733346,384
733354,616
733362,932
733370,984
733378,1263
733386,1454
733394,1650
733402,1607
733408,1498
733416,1930
733424,2173
733432,2568
733440,2488
733448,1942
733456,1596
733464,1106
733472,705
733480,460
733488,364
733496,163
733504,110
733512,23
733520,-9999
733528,35
733536,35
733544,18
733552,102
733560,117
733568,95
733576,72
733584,290
733592,416
733600,1863
733608,3204
733616,2990
733624,2647
733632,2680
733640,2667
733648,2581
733656,1920
733664,1607
733672,1127
733680,942
733688,549
733696,339
733704,244
733712,331
733720,455
733728,632
733736,821
733744,1211
733752,1761
733760,1980
733768,2127
733773,2442
733781,2470
733789,2402
733797,2919
733805,3078
733813,2768
733821,2576
733829,1829
733837,857
733845,452
733853,136
733861,37
733869,10
733877,48
733885,54
733893,70
733901,-9999
733909,-9999
733917,13
733925,244
733933,175
733941,171
733949,357
733957,967
733965,1359
733973,2222
733981,2760
733989,3326
733997,3352
734005,3281
734013,3196
734021,2050
734029,2088
734037,1633
734045,1364
734053,693
734061,817
734069,436
734077,492
734085,934
734093,839
734101,929
734109,1180
734117,1473
734125,1481
734133,1541
734138,1786
734146,2058
734154,2293
734162,2482
734170,3380
734178,3500
734186,3437
734194,2712
734202,2073
734210,1224
734218,605
734226,284
734234,201
734242,105
734250,75
734258,103
734266,34
734274,108
734282,101
734290,67
734298,217
734306,358
734314,1629
734322,1638
734330,1697
734338,4151
734346,4462
734354,4014
734362,3792
734370,3942
734378,3673
734386,2735
734394,2051
734402,1477
734410,869
734418,658
734426,521
734434,419
734442,432
734450,529
734458,579
734466,840
734474,1052
734482,1180
734490,1126
734498,1212
734503,1596
734511,1704
734519,2122
734527,2150
734535,2387
734543,2240
734551,2213
734559,1910
734567,1318
734575,921
734583,521
734591,286
734599,136
734607,180
734615,129
734623,57
734631,130
734639,46
734647,-9999
734655,116
734663,76
734671,79
734679,153
734687,428
734695,943
734703,989
734711,1565
734719,1716
734727,1790
734735,1899
734743,2127
734751,2095
734759,2636
734767,2166
734775,1515
734783,1060
734791,848
734799,592
734807,503
734815,382
734823,451
734831,520
734839,584
734847,870
734855,1009
734863,1016
734869,1132
734877,1364
734885,1777
734893,2106
734901,2794
734909,3241
734917,3410
734925,3298
734933,2329
734941,1479
734949,649
734957,351
734965,172
734973,100
734981,128
734989,24
734997,75
735005,-9999
735013,32
735021,143
735029,338
735037,284
735045,381
735053,460
735061,2533
735069,2589
735077,2566
735085,1853
735093,1825
735101,2822
735109,3232
735117,2908
735125,2394
735133,2222
735141,1961
735149,1593
735157,985
735165,769
735173,386
735181,445
735189,500
735197,724
735205,942
735213,1098
735221,1270
735229,1277
735234,1476
735242,1456
735250,3343
735258,3254
735266,3651
735274,3568
735282,3371
735290,2335
735298,1942
735306,1387
735314,713
735322,330
735330,146
735338,138
735346,87
735354,128
735362,168
735370,124
735378,131
735386,-9999
735394,92
735402,237
735410,285
735418,322
735426,445
735434,1411
735442,1682
735450,2975
735458,2898
735466,2618
735474,2499
735482,2499
735490,2030
735498,1502
735506,964
735514,602
735522,410
735530,375
735538,237
735546,239
735554,287
735562,532
735570,859
735578,1087
735586,1318
735594,1569
735599,1897
735607,2238
735615,2725
735623,3040
735631,3604
735639,3676
735647,3064
735655,2268
735663,1884
735671,1155
735679,609
735687,338
735695,232
735703,164
735711,157
735719,107
735727,157
735735,99
735743,-9999
735751,112
735759,241
735767,288
735775,336
735783,457
735791,794
735799,1591
735807,3271
735815,3410
735823,4313
735831,3540
735839,3029
735847,2280
735855,1838
735863,1210
735871,783
735879,578
735887,454
735895,375
735903,353
735911,299
735919,203
735927,543
735935,866
735943,984
735951,1104
735959,2066
735964,2139
735972,2342
735980,2778
735988,3046
735996,3025
736004,2787
736012,2586
736020,1947
736028,1219
736036,509
736044,270
736052,113
736060,77
736068,79
736076,30
736084,51
736092,59
736100,-9999
736108,174
736116,177
736124,265
736132,410
736140,497
736148,507
736156,2246
736164,2269
736172,2317
736180,3703
736188,3604
736196,3441
736204,3108
736212,2656
736220,2171
736228,1644
736236,1083
736244,528
736252,414
736260,342
736268,322
736276,323
736284,414
736292,543
736300,858
736308,1340
736316,1718
736324,1838
736330,2084
736338,2431
736346,2882
736354,3582
736362,3310
736370,3148
736378,2691
736386,2148
736394,1107
736402,590
736410,310
736418,139
736426,10
736434,67
736442,104
736450,68
736458,127
736466,166
736474,187
736482,251
736490,294
736498,473
736506,678
736514,800
736522,3405
736530,3365
736538,3288
736546,3343
736554,3275
736562,3053
736570,2240
736578,1924
736586,926
736594,617
736602,432
736610,365
736618,279
736626,271
736634,330
736642,607
736650,582
736658,852
736666,1249
736674,1367
736682,1850
736690,2019
736695,2027
736703,2905
736711,2858
736719,3111
736727,3076
736735,2724
736743,2468
736751,1792
736759,1077
736767,585
736775,244
736783,123
736791,194
736799,73
736807,18
736815,120
736823,54
