Tile,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,QA60
20180212T030831_20180212T030834_T50SKC,586,662,960,1176,1377,1705,1835,2036,1860,1792,1986,1693,2048
20180227T030649_20180227T031252_T50SKC,10356,10632,9960,9640,9600,9476,9474,10128,9159,8662,6223,5069,1024
20181214T031129_20181214T031345_T50SKC,1186,1210,1388,939,1529,3245,3766,3984,3792,3742,1589,844,0
20181219T031131_20181219T031727_T50SKC,5923,5488,5464,5620,5722,5766,5749,5904,5823,7851,2723,2374,1024
20181224T031129_20181224T031457_T50SKC,2781,3112,3206,2994,2958,3117,3159,3530,3129,3162,1136,983,0
20181229T031131_20181229T031726_T50SKC,768,749,1004,720,1297,2953,3414,3692,3559,3620,1517,920,0
20190103T031129_20190103T031726_T50SKC,1094,1158,1334,959,1529,3225,3709,3980,3786,3782,1727,958,0
20190108T031111_20190108T031112_T50SKC,3030,2824,2808,2452,2797,3659,3903,4086,3929,4046,1998,1230,1024
20190113T031059_20190113T031703_T50SKC,9540,9496,9056,8920,8899,8631,8575,8832,8317,9140,6483,5577,1024
20190118T031041_20190118T031645_T50SKC,1854,1536,1860,1644,1850,2378,2592,2820,2680,5189,1629,1696,2048
20190123T031019_20190123T031308_T50SKC,224,337,599,438,1103,2731,3290,3868,3410,3381,1681,926,0
20190128T031001_20190128T031602_T50SKC,2712,2208,2864,2846,3003,3835,4231,4440,4393,6065,2669,2100,0
20190202T030939_20190202T031413_T50SKC,8979,10040,9672,9256,9369,9193,9029,9768,8810,9331,6338,4802,1024
20190207T030911_20190207T030907_T50SKC,4178,4180,4196,4030,4381,5043,5315,5392,5331,5231,4052,3257,1024
20190212T030839_20190212T031215_T50SKC,9432,9088,8888,8640,8865,8743,8710,9128,8584,13215,2544,2872,1024
20190217T030801_20190217T031404_T50SKC,6238,5624,6036,6356,6608,6919,7070,6812,7113,8394,5629,5418,1024
20190222T030729_20190222T031329_T50SKC,917,950,1070,844,1394,3050,3645,3902,3746,3859,1583,843,0
20190227T030651_20190227T031435_T50SKC,978,878,1016,792,1267,2840,3420,3648,3593,3673,1600,851,0
20190304T030619_20190304T031218_T50SKC,1007,1032,1162,983,1398,2828,3515,3762,3600,3797,1495,898,0
20190309T030541_20190309T031150_T50SKC,8268,6860,6544,6224,6344,6464,6579,6932,6495,4328,2604,2624,1024
20190314T030539_20190314T031628_T50SKC,217,266,406,303,632,2277,3220,3560,3350,3406,1131,582,0
20190319T030541_20190319T031427_T50SKC,1198,1044,1116,1032,1243,2273,2962,2988,3009,3928,1041,795,2048
20190324T030539_20190324T031715_T50SKC,1783,1640,1602,1382,1635,2964,3974,4196,4054,4730,1325,957,2048
20190329T030541_20190329T031107_T50SKC,4579,4428,4152,3852,3964,4858,5566,5664,5564,4849,2870,2058,1024
20190403T030549_20190403T031153_T50SKC,1026,969,933,661,952,2677,4088,4292,4153,4260,1143,539,0
20190408T030541_20190408T031145_T50SKC,1390,1288,1274,1046,1327,3065,4496,4456,4574,4734,1395,776,2048
20190413T030549_20190413T030818_T50SKC,623,610,641,441,744,2675,4350,4452,4473,4525,1142,496,0
20190418T030551_20190418T030639_T50SKC,175,174,274,156,443,2564,4359,4521,4529,4555,1011,414,0
20190423T030549_20190423T031830_T50SKC,10732,10320,9576,9040,9741,9137,8980,9064,8725,15909,5868,4316,1024
20190428T030551_20190428T031230_T50SKC,6571,6264,6060,5788,5843,6124,6629,6520,6697,5992,4714,3803,1024
20190503T030549_20190503T031158_T50SKC,134,200,355,189,548,2343,3896,4212,4114,4189,1050,479,0
20190508T030551_20190508T031147_T50SKC,11985,11192,10272,9720,10047,9541,9274,9560,8989,15962,5329,3627,1024
20190513T030549_20190513T030821_T50SKC,5551,6084,6236,6248,6262,6661,6986,7524,7019,7233,4179,3750,1024
20190518T030551_20190518T031147_T50SKC,6962,6872,6920,6988,7392,7368,7421,7440,7456,12832,3214,3142,1024
20190523T030549_20190523T031159_T50SKC,228,356,678,536,1161,2431,3029,3328,3294,3307,1429,793,0
20190528T030551_20190528T031153_T50SKC,3661,4020,4120,4160,4347,4475,4586,4916,4627,4600,1220,1254,1024
20190602T030549_20190602T031158_T50SKC,587,792,1010,1466,1771,1949,2198,2480,2624,2665,2205,1486,0
20190607T030541_20190607T031145_T50SKC,1136,1262,1528,2060,2423,2564,2794,2770,3143,3098,3585,2512,0
20190612T030549_20190612T030820_T50SKC,1375,1672,2076,2812,3099,3256,3511,3802,3891,4581,4736,3561,2048
20190617T030551_20190617T031147_T50SKC,4787,4432,4260,4232,4557,4532,4550,4484,4637,12556,2839,2531,1024
