dates,blue,green,red,nir,swir1,swir2,thermal,qa,sensor
735600,210,405,453,1858,1426,804,0,0,8
735632,212,409,458,1823,1389,792,0,0,8
735648,205,390,420,1708,1301,760,0,0,8
735664,208,403,434,1710,1288,734,0,0,8
735680,210,404,420,1659,1304,760,0,0,8
735696,5,319,342,1492,730,359,0,0,8
735728,208,413,417,1765,1295,763,0,0,8
735744,128,295,281,1323,952,520,0,0,8
735760,306,888,721,2184,1823,1559,0,4,8
735824,287,751,622,2201,1643,1156,0,4,8
735856,8316,8179,8317,8631,6379,4449,0,4,8
735888,143,361,345,1768,1329,822,0,4,8
735904,197,369,371,1556,1210,713,0,0,8
735952,201,386,415,1771,1313,784,0,0,8
735968,204,382,413,1744,1265,772,0,0,8
735982,183,373,404,1664,1261,754,0,0,2
735989,157,343,346,1704,1210,731,0,0,2
736000,190,367,376,1618,1223,750,0,0,8
736012,175,372,398,1598,1220,748,0,0,2
736042,155,351,358,1483,1160,710,0,0,2
736048,910,1193,1167,2515,634,381,0,3,8
736049,69,300,294,1668,1112,684,0,0,2
736064,217,465,408,1617,1136,776,0,4,8
736072,163,373,376,1601,1219,735,0,0,2
736080,205,405,394,1673,1283,759,0,0,8
736089,216,451,423,1848,1475,922,0,0,2
736092,194,429,408,1769,1366,823,0,0,2
736096,212,409,383,1622,1271,774,0,0,8
736112,252,467,442,1879,1429,877,0,4,8
736112,1269,2394,2618,4202,3800,3526,0,4,2
736189,231,456,393,1961,1492,908,0,0,2
736192,227,385,334,1657,1171,679,0,0,8
736192,171,354,321,1489,1098,660,0,0,2
736224,713,1251,1467,3402,2865,2572,0,4,8
736240,200,340,307,1563,1101,667,0,0,8
736249,-30,84,98,699,423,237,0,2,2
736252,145,331,335,1691,1172,684,0,0,2
736256,60,226,226,1092,840,493,0,4,8
736269,179,381,405,1765,1284,801,0,0,2
736272,197,368,380,1735,1211,717,0,0,8
736272,168,358,389,1685,1214,729,0,0,2
736288,202,379,396,1765,1248,728,0,0,8
736289,173,374,393,1836,1291,774,0,0,2
736292,164,341,359,1740,1212,721,0,0,2
736302,167,348,378,1764,1233,712,0,0,2
736304,223,400,429,1950,1375,818,0,0,8
736309,179,387,399,1860,1317,805,0,0,2
736312,166,353,372,1766,1235,726,0,0,2
736320,211,394,424,1885,1342,786,0,0,8
736329,173,373,393,1908,1309,769,0,0,2
736336,200,379,407,1828,1299,760,0,0,8
736342,147,348,357,1778,1207,704,0,2,2
736349,188,395,399,1906,1305,782,0,0,2
736352,195,375,398,1755,1239,711,0,0,8
736368,206,390,402,1761,1229,725,0,0,8
736369,185,395,404,1806,1281,768,0,0,2
736372,-84,180,266,1740,1231,736,0,4,2
736379,186,398,402,1770,1268,760,0,0,2
736402,142,331,336,1576,1144,658,0,0,2
736416,155,320,341,1561,1071,604,0,0,8
736419,187,397,411,1838,1336,808,0,0,2
736432,391,691,685,1997,1353,927,0,4,8
736439,223,461,511,2042,1455,1041,0,4,2
736442,441,567,502,1987,1794,1234,0,4,2
736448,-8,707,853,2450,1844,1444,0,4,8
736464,1734,1566,1667,3002,2207,1939,0,4,8
736482,3,132,119,904,522,280,0,4,2
736522,643,1189,1324,2393,2365,1937,0,4,2
736527,150,337,275,1569,1083,633,0,0,2
736528,218,378,311,1656,1140,652,0,0,8
736542,127,308,272,1619,1077,591,0,4,2
736547,176,372,312,1612,1096,650,0,0,2
736554,2502,2604,2740,4017,2565,2696,0,4,2
736560,173,349,268,1754,1106,580,0,4,8
736576,671,1398,1282,3224,2611,2212,0,4,8
736602,119,268,239,1456,978,543,0,0,2
736608,190,334,291,1590,1070,631,0,0,8
736614,168,361,316,1863,1277,722,0,0,2
736619,168,367,333,1737,1193,722,0,0,2
736622,146,318,292,1582,1080,631,0,0,2
736627,153,332,312,1608,1131,671,0,0,2
736634,2599,2829,2875,3730,2829,2414,0,4,2
