scheme	URI
aactinomycetemcomitans	https://rest.pubmlst.org/db/pubmlst_aactinomycetemcomitans_seqdef/schemes/1
abaumannii	https://rest.pubmlst.org/db/pubmlst_abaumannii_seqdef/schemes/1
abaumannii_2	https://rest.pubmlst.org/db/pubmlst_abaumannii_seqdef/schemes/2
achromobacter	https://rest.pubmlst.org/db/pubmlst_achromobacter_seqdef/schemes/1
aeromonas	https://rest.pubmlst.org/db/pubmlst_aeromonas_seqdef/schemes/1
aphagocytophilum	https://rest.pubmlst.org/db/pubmlst_aphagocytophilum_seqdef/schemes/1
arcobacter	https://rest.pubmlst.org/db/pubmlst_arcobacter_seqdef/schemes/1
bbacilliformis	https://rest.pubmlst.org/db/pubmlst_bbacilliformis_seqdef/schemes/1
bcc	https://rest.pubmlst.org/db/pubmlst_bcc_seqdef/schemes/1
bcereus	https://rest.pubmlst.org/db/pubmlst_bcereus_seqdef/schemes/1
bfragilis	https://rest.pubmlst.org/db/pubmlst_bfragilis_seqdef/schemes/1
bhenselae	https://rest.pubmlst.org/db/pubmlst_bhenselae_seqdef/schemes/1
blicheniformis_14	https://rest.pubmlst.org/db/pubmlst_blicheniformis_seqdef/schemes/14
bordetella_3	https://bigsdb.pasteur.fr/api/db/pubmlst_bordetella_seqdef/schemes/3
borrelia	https://rest.pubmlst.org/db/pubmlst_borrelia_seqdef/schemes/1
bpseudomallei	https://rest.pubmlst.org/db/pubmlst_bpseudomallei_seqdef/schemes/1
brachyspira	https://rest.pubmlst.org/db/pubmlst_brachyspira_seqdef/schemes/1
brachyspira_2	https://rest.pubmlst.org/db/pubmlst_brachyspira_seqdef/schemes/2
brachyspira_3	https://rest.pubmlst.org/db/pubmlst_brachyspira_seqdef/schemes/3
brachyspira_4	https://rest.pubmlst.org/db/pubmlst_brachyspira_seqdef/schemes/4
brachyspira_5	https://rest.pubmlst.org/db/pubmlst_brachyspira_seqdef/schemes/5
brucella	https://rest.pubmlst.org/db/pubmlst_brucella_seqdef/schemes/1
bsubtilis	https://rest.pubmlst.org/db/pubmlst_bsubtilis_seqdef/schemes/1
bwashoensis	https://rest.pubmlst.org/db/pubmlst_bwashoensis_seqdef/schemes/1
