#Spectrum Pa1 Ca1 Ca2 Pa1e Ca1e Ca2e
NGC0636_VIS_dopcor 0.2705 1.3861 3.563 0.0127 0.0176 0.0224
NGC0897_VIS_dopcor 0.151 1.3205 3.439 0.0139 0.0208 0.0247
NGC1600_VIS_dopcor 0.0804 0.7566 2.8109 0.017 0.0254 0.0303
NGC3379_VIS_dopcor 0.1476 1.2592 3.1829 0.0104 0.015 0.0188
NGC3423_VIS_dopcor 0.518 1.9616 3.9229 0.0812 0.1132 0.1371
