#Spectrum Sigma(km/s) errSigma
line8 55 14
line9 61 22
line10 59 32
line11 82 18
line12 80 17
line13 72 18
line14 76 21
line15 119 9
line16 95 8
line17 101 7
line18 80 9
line19 72 9
line20 86 9
line21 94 7
line22 104 6
line23 90 6
line24 90 7
line25 100 4
line26 97 4
line27 97 4
line28 95 5
line29 94 5
line30 98 5
line31 102 4
line32 97 5
line33 99 6
line34 96 7
line35 102 8
line36 91 9
line37 99 7
line38 113 8
line39 109 9
line40 104 9
line41 86 9
line42 100 11
line43 73 14
line44 67 14
line45 117 12
line46 81 11
