Label time table, file generated at 2024-12-18T10:05:04.924929;;2024/12/18
Time;Label
10:10:13,942;1 Uebung
10:15:18,258;1 pause
10:17:13,742;2 Uebung
10:22:53,408;2 pause
10:24:57,972;3 uebung
10:30:03,239;3 pause
10:32:17,701;4 uebung
10:37:07,497;4 pause
