#age met alpha Hbeta Mg2 Mgb Fe5270 Fe5335 Fem MgFe
0.05 -1.2 0 5.866 0.026 0.109 0.367 0.329 0.348 0.198
0.06 -1.2 0 6.052 0.026 0.126 0.342 0.308 0.325 0.204
0.08 -1.2 0 5.99 0.026 0.175 0.37 0.337 0.353 0.251
0.1 -1.2 0 6.115 0.03 0.261 0.413 0.372 0.392 0.324
0.13 -1.2 0 6.017 0.032 0.321 0.452 0.398 0.425 0.374
0.16 -1.2 0 5.762 0.033 0.376 0.48 0.422 0.451 0.417
0.2 -1.2 0 5.503 0.037 0.394 0.515 0.452 0.484 0.443
0.25 -1.2 0 5.661 0.036 0.43 0.485 0.439 0.462 0.45
0.32 -1.2 0 5.995 0.033 0.451 0.451 0.419 0.435 0.447
0.4 -1.2 0 6.042 0.037 0.497 0.4 0.392 0.396 0.445
0.5 -1.2 0 5.925 0.037 0.456 0.478 0.456 0.467 0.464
0.63 -1.2 0 5.698 0.036 0.36 0.555 0.497 0.526 0.44
0.79 -1.2 0 5.527 0.039 0.378 0.65 0.506 0.578 0.48
1 -1.2 0 5.253 0.043 0.428 0.75 0.528 0.639 0.542
1.26 -1.2 0 5.044 0.046 0.541 0.788 0.572 0.68 0.627
1.58 -1.2 0 4.593 0.053 0.693 0.953 0.693 0.823 0.781
2 -1.2 0 4.452 0.051 0.903 0.899 0.708 0.803 0.874
2.51 -1.2 0 4.045 0.052 1.028 0.922 0.747 0.835 0.948
3.16 -1.2 0 3.414 0.058 1.122 1.011 0.821 0.916 1.037
3.98 -1.2 0 3.154 0.063 1.156 1.061 0.87 0.966 1.079
5.01 -1.2 0 2.844 0.069 1.188 1.133 0.933 1.033 1.131
6.31 -1.2 0 2.574 0.075 1.253 1.217 0.999 1.108 1.203
7.94 -1.2 0 2.352 0.082 1.343 1.293 1.058 1.176 1.284
10 -1.2 0 2.168 0.088 1.445 1.367 1.117 1.242 1.369
12.59 -1.2 0 2.037 0.097 1.563 1.433 1.177 1.305 1.459
15.85 -1.2 0 2.087 0.101 1.588 1.459 1.211 1.335 1.485
0.05 -0.8 0 5.274 0.04 0.354 0.783 0.705 0.744 0.519
0.06 -0.8 0 5.224 0.039 0.375 0.759 0.68 0.719 0.526
0.08 -0.8 0 5.154 0.043 0.373 0.771 0.692 0.731 0.528
0.1 -0.8 0 5.122 0.043 0.406 0.819 0.729 0.774 0.568
0.13 -0.8 0 5.184 0.043 0.424 0.804 0.712 0.758 0.575
0.16 -0.8 0 5.338 0.043 0.452 0.745 0.665 0.705 0.571
0.2 -0.8 0 5.671 0.04 0.472 0.664 0.601 0.633 0.552
0.25 -0.8 0 5.859 0.038 0.471 0.648 0.592 0.62 0.546
0.32 -0.8 0 5.881 0.037 0.427 0.659 0.606 0.632 0.524
0.4 -0.8 0 5.998 0.035 0.446 0.646 0.591 0.618 0.53
0.5 -0.8 0 5.996 0.04 0.48 0.734 0.591 0.662 0.577
0.63 -0.8 0 5.954 0.045 0.581 0.817 0.613 0.715 0.664
0.79 -0.8 0 5.777 0.049 0.691 0.869 0.643 0.756 0.746
1 -0.8 0 5.47 0.053 0.77 0.964 0.69 0.827 0.827
1.26 -0.8 0 4.966 0.056 0.872 1.07 0.74 0.905 0.923
1.58 -0.8 0 3.814 0.068 0.996 1.352 0.974 1.163 1.114
2 -0.8 0 4 0.072 1.249 1.312 1.017 1.164 1.239
2.51 -0.8 0 3.483 0.08 1.466 1.404 1.176 1.29 1.402
3.16 -0.8 0 2.965 0.092 1.584 1.546 1.3 1.423 1.53
3.98 -0.8 0 2.789 0.098 1.651 1.581 1.337 1.459 1.58
5.01 -0.8 0 2.582 0.104 1.743 1.639 1.387 1.513 1.654
6.31 -0.8 0 2.375 0.112 1.865 1.718 1.456 1.587 1.752
7.94 -0.8 0 2.19 0.12 2.001 1.801 1.525 1.663 1.857
10 -0.8 0 2.031 0.128 2.127 1.877 1.586 1.732 1.955
12.59 -0.8 0 1.902 0.136 2.26 1.946 1.645 1.796 2.051
15.85 -0.8 0 1.804 0.142 2.342 1.999 1.689 1.844 2.116
0.05 -0.4 0 5.274 0.053 0.454 0.926 0.894 0.91 0.645
0.06 -0.4 0 5.843 0.05 0.458 0.852 0.812 0.832 0.621
