#age met alpha Hbeta Mg2 Mgb Fe5270 Fe5335 Fem MgFe
0.05 -2.2 0 5.331 0.015 0.009 0.025 0.064 0.045 0.018
0.06 -2.2 0 5.509 0.017 0.034 0.041 0.074 0.057 0.042
0.08 -2.2 0 5.68 0.019 0.053 0.05 0.085 0.068 0.056
0.1 -2.2 0 5.349 0.025 -0.074 0.244 0.208 0.226 0.0
0.13 -2.2 0 5.723 0.03 -0.014 0.235 0.183 0.209 0.0
0.16 -2.2 0 5.983 0.031 -0.001 0.258 0.188 0.223 0.0
0.2 -2.2 0 6.135 0.029 0.038 0.236 0.177 0.207 0.091
0.25 -2.2 0 6.248 0.028 0.064 0.229 0.181 0.205 0.118
0.32 -2.2 0 6.434 0.028 0.095 0.2 0.169 0.184 0.135
0.4 -2.2 0 6.597 0.027 0.123 0.2 0.172 0.186 0.154
0.5 -2.2 0 6.809 0.025 0.219 0.172 0.15 0.161 0.19
0.63 -2.2 0 6.883 0.028 0.294 0.166 0.149 0.158 0.218
0.79 -2.2 0 6.881 0.029 0.339 0.174 0.159 0.166 0.24
1.0 -2.2 0 6.966 0.025 0.29 0.16 0.136 0.148 0.211
1.26 -2.2 0 6.494 0.034 0.48 0.141 0.13 0.136 0.258
1.58 -2.2 0 5.623 0.039 0.531 0.174 0.168 0.171 0.302
2.0 -2.2 0 5.218 0.037 0.488 0.25 0.245 0.248 0.349
2.51 -2.2 0 4.765 0.036 0.452 0.312 0.285 0.298 0.371
3.16 -2.2 0 4.501 0.032 0.447 0.316 0.289 0.302 0.371
3.98 -2.2 0 4.141 0.032 0.481 0.321 0.292 0.306 0.388
5.01 -2.2 0 3.724 0.033 0.567 0.307 0.283 0.295 0.413
6.31 -2.2 0 3.226 0.037 0.564 0.368 0.341 0.355 0.451
7.94 -2.2 0 2.915 0.042 0.552 0.462 0.425 0.443 0.499
10.0 -2.2 0 2.752 0.045 0.596 0.524 0.478 0.501 0.552
12.59 -2.2 0 2.666 0.046 0.576 0.625 0.557 0.591 0.591
15.85 -2.2 0 2.576 0.049 0.61 0.703 0.625 0.664 0.644
0.05 -2.0 0 5.349 0.018 0.023 0.063 0.095 0.079 0.041
0.06 -2.0 0 5.552 0.019 0.037 0.075 0.106 0.091 0.056
0.08 -2.0 0 5.726 0.02 0.066 0.081 0.11 0.096 0.076
0.1 -2.0 0 5.855 0.02 0.081 0.116 0.141 0.129 0.1
0.13 -2.0 0 5.841 0.029 -0.004 0.28 0.215 0.248 0.0
0.16 -2.0 0 6.039 0.031 0.014 0.292 0.208 0.25 0.062
0.2 -2.0 0 6.163 0.03 0.048 0.279 0.204 0.241 0.112
0.25 -2.0 0 6.294 0.03 0.068 0.27 0.209 0.24 0.131
0.32 -2.0 0 6.412 0.03 0.108 0.259 0.204 0.231 0.162
0.4 -2.0 0 6.522 0.027 0.167 0.24 0.201 0.22 0.195
0.5 -2.0 0 6.733 0.028 0.257 0.223 0.191 0.207 0.234
0.63 -2.0 0 6.79 0.029 0.303 0.208 0.179 0.194 0.246
0.79 -2.0 0 6.827 0.027 0.32 0.188 0.165 0.177 0.241
