#age [Z/H] [alpha/Fe] Hb Mg2 Mgb Fe5270 Fe5335 Fe MgFe
13.5 -0.96 0 2.893 0.062 1.152 1.595 1.544 1.569 1.349
14 -0.96 0 2.883 0.063 1.162 1.616 1.566 1.591 1.364
0.6 -0.66 0 5.901 0.025 0.75 0.869 0.857 0.863 0.805
0.7 -0.66 0 5.808 0.025 0.812 0.888 0.882 0.885 0.848
0.8 -0.66 0 5.677 0.026 0.827 0.934 0.917 0.926 0.877
0.9 -0.66 0 5.471 0.028 0.9 0.96 0.956 0.958 0.929
1 -0.66 0 5.096 0.031 0.951 1.021 1.03 1.025 0.987
1.25 -0.66 0 4.043 0.049 1.131 1.404 1.358 1.381 1.255
1.5 -0.66 0 3.718 0.054 1.167 1.518 1.462 1.49 1.324
1.75 -0.66 0 3.354 0.061 1.24 1.634 1.575 1.604 1.416
2 -0.66 0 3.328 0.063 1.283 1.639 1.587 1.613 1.444
2.25 -0.66 0 3.173 0.066 1.321 1.681 1.625 1.653 1.483
2.5 -0.66 0 3.054 0.068 1.352 1.716 1.659 1.687 1.516
2.75 -0.66 0 3.019 0.069 1.371 1.739 1.681 1.71 1.537
3 -0.66 0 3.009 0.07 1.375 1.731 1.677 1.704 1.536
3.25 -0.66 0 2.995 0.071 1.387 1.749 1.695 1.722 1.551
3.5 -0.66 0 2.914 0.072 1.394 1.765 1.711 1.738 1.562
3.75 -0.66 0 2.841 0.073 1.397 1.779 1.726 1.752 1.57
4 -0.66 0 2.81 0.073 1.402 1.786 1.73 1.758 1.575
4.5 -0.66 0 2.703 0.075 1.412 1.819 1.763 1.791 1.595
5 -0.66 0 2.612 0.076 1.42 1.842 1.789 1.815 1.611
5.5 -0.66 0 2.567 0.078 1.444 1.855 1.807 1.831 1.631
6 -0.66 0 2.483 0.079 1.459 1.88 1.832 1.856 1.65
6.5 -0.66 0 2.417 0.081 1.477 1.907 1.856 1.881 1.672
7 -0.66 0 2.36 0.082 1.492 1.928 1.876 1.902 1.69
7.5 -0.66 0 2.331 0.084 1.518 1.938 1.888 1.913 1.709
8 -0.66 0 2.284 0.085 1.544 1.955 1.904 1.93 1.731
8.5 -0.66 0 2.262 0.087 1.558 1.975 1.92 1.947 1.747
9 -0.66 0 2.224 0.088 1.582 1.99 1.935 1.963 1.768
9.5 -0.66 0 2.221 0.09 1.605 2.006 1.952 1.979 1.788
10 -0.66 0 2.183 0.091 1.615 2.022 1.967 1.995 1.801
10.5 -0.66 0 2.151 0.093 1.636 2.038 1.983 2.011 1.819
11 -0.66 0 2.105 0.094 1.652 2.059 2.004 2.032 1.838
11.5 -0.66 0 2.093 0.095 1.654 2.062 2.013 2.038 1.84
12 -0.66 0 2.091 0.095 1.656 2.069 2.021 2.045 1.845
12.5 -0.66 0 2.088 0.096 1.677 2.076 2.027 2.051 1.859
13 -0.66 0 2.085 0.097 1.685 2.082 2.035 2.059 1.867
13.5 -0.66 0 2.096 0.097 1.689 2.086 2.042 2.064 1.871
14 -0.66 0 2.281 0.096 1.676 2.054 2.023 2.039 1.852
0.6 -0.35 0 6.24 0.035 0.949 1.047 1.04 1.044 0.996
0.7 -0.35 0 5.879 0.038 1.056 1.129 1.135 1.132 1.092
0.8 -0.35 0 5.497 0.043 1.123 1.223 1.204 1.213 1.169
0.9 -0.35 0 5.244 0.046 1.179 1.289 1.261 1.275 1.229
1 -0.35 0 4.976 0.049 1.238 1.366 1.325 1.346 1.295
1.25 -0.35 0 4.168 0.069 1.483 1.67 1.616 1.643 1.566
1.5 -0.35 0 3.501 0.099 1.786 2.028 1.999 2.014 1.899
1.75 -0.35 0 3.479 0.089 1.705 1.924 1.879 1.901 1.805
2 -0.35 0 3.152 0.095 1.795 2.007 1.951 1.979 1.891
2.25 -0.35 0 3.056 0.096 1.813 2.007 1.948 1.978 1.9
2.5 -0.35 0 2.917 0.097 1.844 2.025 1.96 1.993 1.924
2.75 -0.35 0 2.824 0.1 1.893 2.056 1.995 2.026 1.965
3 -0.35 0 2.775 0.104 1.949 2.085 2.033 2.059 2.009
3.25 -0.35 0 2.728 0.106 1.982 2.101 2.05 2.076 2.034
3.5 -0.35 0 2.697 0.108 2.012 2.111 2.061 2.086 2.054
3.75 -0.35 0 2.663 0.109 2.035 2.118 2.067 2.093 2.069
4 -0.35 0 2.617 0.111 2.064 2.135 2.083 2.109 2.092
4.5 -0.35 0 2.544 0.114 2.115 2.165 2.111 2.138 2.133
5 -0.35 0 2.515 0.115 2.151 2.171 2.118 2.144 2.153
5.5 -0.35 0 2.459 0.118 2.206 2.202 2.147 2.175 2.196
6 -0.35 0 2.406 0.121 2.254 2.225 2.169 2.197 2.231
6.5 -0.35 0 2.365 0.123 2.296 2.242 2.185 2.213 2.261
7 -0.35 0 2.315 0.125 2.33 2.26 2.203 2.232 2.287
7.5 -0.35 0 2.269 0.127 2.369 2.281 2.219 2.25 2.316
8 -0.35 0 2.227 0.129 2.394 2.301 2.239 2.27 2.338
8.5 -0.35 0 2.189 0.131 2.421 2.316 2.255 2.285 2.359
9 -0.35 0 2.155 0.133 2.454 2.329 2.267 2.298 2.382
9.5 -0.35 0 2.13 0.134 2.476 2.344 2.281 2.313 2.4
10 -0.35 0 2.105 0.136 2.501 2.357 2.293 2.325 2.419
10.5 -0.35 0 2.076 0.137 2.512 2.367 2.303 2.335 2.429
11 -0.35 0 2.025 0.138 2.522 2.374 2.309 2.341 2.437
11.5 -0.35 0 1.992 0.139 2.523 2.383 2.318 2.35 2.443
12 -0.35 0 1.978 0.14 2.54 2.396 2.331 2.364 2.458
12.5 -0.35 0 1.981 0.141 2.55 2.409 2.347 2.378 2.47
13 -0.35 0 1.976 0.142 2.553 2.42 2.358 2.389 2.477
13.5 -0.35 0 1.973 0.143 2.562 2.436 2.372 2.404 2.489
14 -0.35 0 1.989 0.144 2.567 2.435 2.37 2.402 2.491
0.6 0.06 0 5.945 0.047 1.128 1.47 1.333 1.402 1.271
0.7 0.06 0 5.53 0.053 1.204 1.617 1.453 1.535 1.375
0.8 0.06 0 5.133 0.06 1.314 1.745 1.57 1.658 1.493
0.9 0.06 0 4.714 0.065 1.429 1.85 1.675 1.763 1.604
1 0.06 0 4.386 0.071 1.533 1.934 1.755 1.844 1.699
1.25 0.06 0 3.604 0.092 1.818 2.207 2.021 2.114 1.979
1.5 0.06 0 3.252 0.113 2.144 2.359 2.227 2.293 2.231
1.75 0.06 0 3.044 0.117 2.272 2.4 2.271 2.336 2.317
2 0.06 0 2.849 0.126 2.434 2.466 2.349 2.407 2.433
2.25 0.06 0 2.669 0.134 2.567 2.539 2.409 2.474 2.535
2.5 0.06 0 2.539 0.142 2.713 2.62 2.485 2.552 2.646
2.75 0.06 0 2.472 0.147 2.806 2.656 2.516 2.586 2.71
3 0.06 0 2.455 0.147 2.836 2.637 2.492 2.565 2.714
3.25 0.06 0 2.393 0.152 2.916 2.68 2.527 2.604 2.773
3.5 0.06 0 2.341 0.156 2.982 2.713 2.556 2.635 2.821
3.75 0.06 0 2.294 0.16 3.049 2.746 2.584 2.665 2.869
4 0.06 0 2.247 0.163 3.107 2.78 2.611 2.695 2.914
4.5 0.06 0 2.195 0.167 3.175 2.813 2.632 2.722 2.961
5 0.06 0 2.193 0.168 3.191 2.807 2.624 2.716 2.966
5.5 0.06 0 2.142 0.173 3.273 2.858 2.665 2.761 3.029
6 0.06 0 2.104 0.177 3.332 2.895 2.696 2.795 3.076
6.5 0.06 0 2.069 0.18 3.386 2.921 2.716 2.818 3.114
7 0.06 0 2.029 0.183 3.442 2.949 2.739 2.844 3.154
7.5 0.06 0 1.995 0.186 3.486 2.977 2.766 2.871 3.189
8 0.06 0 1.967 0.189 3.524 2.999 2.789 2.894 3.219
8.5 0.06 0 1.936 0.192 3.568 3.025 2.812 2.919 3.253
9 0.06 0 1.907 0.195 3.612 3.044 2.828 2.936 3.283
9.5 0.06 0 1.881 0.197 3.645 3.066 2.85 2.958 3.31
10 0.06 0 1.854 0.199 3.679 3.088 2.87 2.979 3.337
10.5 0.06 0 1.824 0.202 3.709 3.106 2.884 2.995 3.36
11 0.06 0 1.811 0.204 3.754 3.123 2.898 3.01 3.389
11.5 0.06 0 1.789 0.207 3.79 3.139 2.911 3.025 3.414
12 0.06 0 1.763 0.209 3.822 3.158 2.927 3.042 3.438
12.5 0.06 0 1.74 0.211 3.849 3.18 2.946 3.063 3.462
13 0.06 0 1.714 0.214 3.878 3.2 2.966 3.083 3.486
13.5 0.06 0 1.689 0.216 3.902 3.22 2.986 3.103 3.508
14 0.06 0 1.668 0.218 3.936 3.235 3.003 3.119 3.532
0.6 0.26 0 5.701 0.06 1.16 1.753 1.567 1.66 1.405
0.7 0.26 0 5.148 0.065 1.307 1.892 1.698 1.795 1.55
0.8 0.26 0 4.702 0.073 1.475 1.993 1.805 1.899 1.692
0.9 0.26 0 4.338 0.08 1.644 2.074 1.899 1.987 1.824
1 0.26 0 4.043 0.087 1.792 2.14 1.975 2.057 1.937
1.25 0.26 0 3.431 0.109 2.167 2.377 2.217 2.297 2.248
1.5 0.26 0 3.015 0.133 2.499 2.593 2.462 2.528 2.528
1.75 0.26 0 2.941 0.137 2.606 2.587 2.467 2.527 2.58
2 0.26 0 2.782 0.148 2.775 2.676 2.548 2.612 2.706
2.25 0.26 0 2.664 0.157 2.924 2.748 2.619 2.684 2.816
2.5 0.26 0 2.54 0.167 3.102 2.848 2.708 2.778 2.952
2.75 0.26 0 2.44 0.174 3.212 2.918 2.773 2.846 3.04
3 0.26 0 2.368 0.178 3.273 2.951 2.8 2.876 3.086
3.25 0.26 0 2.383 0.179 3.32 2.951 2.796 2.873 3.107
3.5 0.26 0 2.323 0.182 3.376 2.978 2.82 2.899 3.147
3.75 0.26 0 2.271 0.187 3.455 3.025 2.864 2.944 3.209
4 0.26 0 2.224 0.191 3.516 3.059 2.897 2.978 3.255
4.5 0.26 0 2.146 0.2 3.638 3.123 2.96 3.042 3.346
5 0.26 0 2.095 0.204 3.701 3.156 2.991 3.073 3.393
5.5 0.26 0 2.106 0.204 3.705 3.145 2.983 3.064 3.389
6 0.26 0 2.052 0.209 3.782 3.19 3.025 3.108 3.448
6.5 0.26 0 2.007 0.213 3.845 3.225 3.056 3.14 3.495
7 0.26 0 1.974 0.217 3.895 3.257 3.086 3.172 3.536
7.5 0.26 0 1.946 0.22 3.934 3.282 3.109 3.196 3.567
8 0.26 0 1.912 0.223 3.98 3.307 3.132 3.22 3.601
8.5 0.26 0 1.883 0.226 4.017 3.332 3.154 3.243 3.631
9 0.26 0 1.856 0.228 4.051 3.352 3.171 3.262 3.657
9.5 0.26 0 1.831 0.231 4.077 3.377 3.195 3.286 3.682
10 0.26 0 1.816 0.233 4.091 3.398 3.212 3.305 3.7
10.5 0.26 0 1.787 0.236 4.123 3.415 3.229 3.322 3.724
11 0.26 0 1.771 0.239 4.16 3.428 3.241 3.334 3.747
11.5 0.26 0 1.748 0.242 4.194 3.447 3.26 3.354 3.773
12 0.26 0 1.722 0.245 4.231 3.465 3.278 3.371 3.8
12.5 0.26 0 1.692 0.248 4.273 3.485 3.295 3.39 3.829
13 0.26 0 1.665 0.251 4.314 3.503 3.313 3.408 3.858
13.5 0.26 0 1.643 0.253 4.347 3.519 3.327 3.423 3.881
14 0.26 0 1.619 0.256 4.385 3.539 3.344 3.442 3.909
0.6 0.4 0 5.383 0.068 1.271 1.998 1.775 1.886 1.569
0.7 0.4 0 4.873 0.076 1.461 2.1 1.895 1.997 1.727
0.8 0.4 0 4.527 0.087 1.706 2.207 1.999 2.103 1.915
0.9 0.4 0 4.253 0.098 1.934 2.314 2.099 2.207 2.088
1 0.4 0 3.97 0.105 2.091 2.389 2.176 2.282 2.207
1.25 0.4 0 3.438 0.127 2.471 2.56 2.354 2.457 2.486
1.5 0.4 0 3.029 0.154 2.827 2.725 2.57 2.647 2.753
1.75 0.4 0 2.933 0.157 2.952 2.753 2.597 2.675 2.828
2 0.4 0 2.817 0.166 3.122 2.849 2.664 2.757 2.955
2.25 0.4 0 2.715 0.173 3.25 2.919 2.72 2.82 3.05
2.5 0.4 0 2.576 0.179 3.351 2.963 2.763 2.863 3.121
2.75 0.4 0 2.469 0.188 3.496 3.024 2.824 2.924 3.221
3 0.4 0 2.379 0.197 3.64 3.078 2.878 2.978 3.317
3.25 0.4 0 2.338 0.199 3.686 3.086 2.886 2.986 3.342
3.5 0.4 0 2.317 0.202 3.744 3.105 2.9 3.003 3.378
3.75 0.4 0 2.238 0.206 3.814 3.139 2.93 3.034 3.428
4 0.4 0 2.196 0.209 3.863 3.163 2.955 3.059 3.463
4.5 0.4 0 2.109 0.219 3.982 3.244 3.026 3.135 3.56
5 0.4 0 2.19 0.217 3.934 3.207 3 3.103 3.52
5.5 0.4 0 2.118 0.221 4.031 3.246 3.03 3.138 3.584
6 0.4 0 2.038 0.226 4.114 3.289 3.07 3.179 3.644
6.5 0.4 0 1.997 0.228 4.117 3.302 3.091 3.197 3.654
7 0.4 0 1.963 0.237 4.257 3.369 3.152 3.26 3.753
7.5 0.4 0 1.907 0.243 4.357 3.405 3.187 3.296 3.817
8 0.4 0 1.859 0.245 4.382 3.418 3.203 3.311 3.836
8.5 0.4 0 1.821 0.246 4.392 3.429 3.213 3.321 3.847
9 0.4 0 1.793 0.25 4.448 3.457 3.235 3.346 3.886
9.5 0.4 0 1.765 0.253 4.486 3.481 3.263 3.372 3.917
10 0.4 0 1.737 0.257 4.535 3.508 3.287 3.397 3.953
10.5 0.4 0 1.711 0.261 4.58 3.529 3.309 3.419 3.985
11 0.4 0 1.692 0.263 4.604 3.542 3.324 3.433 4.004
11.5 0.4 0 1.663 0.267 4.642 3.561 3.34 3.45 4.03
12 0.4 0 1.634 0.27 4.673 3.578 3.358 3.468 4.054
12.5 0.4 0 1.614 0.272 4.699 3.59 3.373 3.481 4.072
13 0.4 0 1.589 0.275 4.737 3.607 3.385 3.496 4.098
13.5 0.4 0 1.568 0.278 4.778 3.623 3.403 3.513 4.125
14 0.4 0 1.544 0.281 4.814 3.639 3.42 3.529 4.15
0.6 -0.96 0.4 5.377 0.021 0.743 0.639 0.621 0.63 0.686
0.7 -0.96 0.4 5.32 0.022 0.809 0.666 0.643 0.654 0.73
0.8 -0.96 0.4 5.31 0.023 0.867 0.681 0.653 0.667 0.764
0.9 -0.96 0.4 5.132 0.023 0.918 0.722 0.679 0.701 0.808
1 -0.96 0.4 4.813 0.025 0.944 0.787 0.729 0.758 0.853
1.25 -0.96 0.4 3.947 0.034 1.082 0.908 0.84 0.874 0.981
1.5 -0.96 0.4 3.626 0.037 1.11 0.991 0.916 0.953 1.038
1.75 -0.96 0.4 3.605 0.037 1.089 0.996 0.927 0.961 1.031
2 -0.96 0.4 3.593 0.039 1.108 1.017 0.952 0.985 1.052
2.25 -0.96 0.4 3.462 0.041 1.139 1.049 0.98 1.014 1.083
2.5 -0.96 0.4 3.289 0.043 1.169 1.075 0.997 1.036 1.109
2.75 -0.96 0.4 3.3 0.043 1.183 1.077 1.002 1.04 1.118
3 -0.96 0.4 3.218 0.045 1.206 1.093 1.017 1.055 1.137
3.25 -0.96 0.4 3.146 0.046 1.226 1.108 1.03 1.069 1.154
3.5 -0.96 0.4 3.094 0.047 1.25 1.118 1.038 1.078 1.17
3.75 -0.96 0.4 3.038 0.048 1.268 1.132 1.051 1.092 1.186
4 -0.96 0.4 3.006 0.049 1.28 1.145 1.063 1.104 1.198
4.5 -0.96 0.4 2.927 0.051 1.314 1.167 1.083 1.125 1.225
5 -0.96 0.4 2.869 0.053 1.353 1.184 1.098 1.141 1.253
5.5 -0.96 0.4 2.784 0.054 1.378 1.203 1.113 1.158 1.274
6 -0.96 0.4 2.715 0.056 1.407 1.223 1.128 1.176 1.298
6.5 -0.96 0.4 2.69 0.057 1.426 1.243 1.145 1.194 1.317
7 -0.96 0.4 2.634 0.059 1.448 1.256 1.157 1.207 1.334
7.5 -0.96 0.4 2.585 0.06 1.475 1.271 1.171 1.221 1.354
8 -0.96 0.4 2.538 0.061 1.486 1.283 1.181 1.232 1.365
8.5 -0.96 0.4 2.478 0.063 1.5 1.294 1.19 1.242 1.377
9 -0.96 0.4 2.452 0.064 1.507 1.302 1.196 1.249 1.385
9.5 -0.96 0.4 2.458 0.065 1.526 1.304 1.198 1.251 1.395
10 -0.96 0.4 2.572 0.065 1.527 1.293 1.188 1.241 1.389
10.5 -0.96 0.4 2.656 0.064 1.525 1.281 1.183 1.232 1.383
11 -0.96 0.4 2.753 0.065 1.525 1.276 1.18 1.228 1.38
11.5 -0.96 0.4 2.828 0.065 1.528 1.277 1.184 1.23 1.382
12 -0.96 0.4 2.917 0.066 1.531 1.278 1.185 1.231 1.384
12.5 -0.96 0.4 2.987 0.067 1.535 1.286 1.194 1.24 1.391
13 -0.96 0.4 2.988 0.068 1.54 1.294 1.201 1.248 1.397
13.5 -0.96 0.4 2.959 0.071 1.563 1.326 1.229 1.277 1.425
14 -0.96 0.4 2.869 0.072 1.561 1.338 1.237 1.288 1.43
0.6 -0.66 0.4 5.75 0.028 0.892 0.751 0.715 0.733 0.813
0.7 -0.66 0.4 5.62 0.028 0.97 0.794 0.745 0.769 0.87
0.8 -0.66 0.4 5.4 0.031 1.049 0.824 0.781 0.802 0.923
0.9 -0.66 0.4 5.272 0.032 1.093 0.856 0.811 0.833 0.96
1 -0.66 0.4 4.668 0.037 1.178 0.913 0.873 0.893 1.031
1.25 -0.66 0.4 4.025 0.052 1.389 1.171 1.086 1.129 1.262
1.5 -0.66 0.4 3.654 0.057 1.448 1.253 1.163 1.208 1.333
1.75 -0.66 0.4 3.362 0.064 1.542 1.34 1.237 1.288 1.422
2 -0.66 0.4 3.326 0.065 1.576 1.337 1.24 1.289 1.437
2.25 -0.66 0.4 3.145 0.069 1.634 1.376 1.271 1.323 1.483
2.5 -0.66 0.4 3.023 0.071 1.678 1.405 1.296 1.35 1.518
2.75 -0.66 0.4 2.954 0.073 1.712 1.428 1.317 1.372 1.546
3 -0.66 0.4 2.947 0.074 1.724 1.43 1.318 1.374 1.553
3.25 -0.66 0.4 2.918 0.075 1.747 1.445 1.332 1.388 1.571
3.5 -0.66 0.4 2.88 0.077 1.77 1.458 1.345 1.402 1.589
3.75 -0.66 0.4 2.859 0.078 1.786 1.466 1.352 1.409 1.601
4 -0.66 0.4 2.808 0.079 1.802 1.481 1.365 1.423 1.615
4.5 -0.66 0.4 2.707 0.081 1.829 1.504 1.386 1.445 1.64
5 -0.66 0.4 2.636 0.082 1.835 1.513 1.396 1.455 1.648
5.5 -0.66 0.4 2.594 0.084 1.862 1.531 1.412 1.471 1.67
6 -0.66 0.4 2.539 0.086 1.891 1.553 1.43 1.491 1.695
6.5 -0.66 0.4 2.482 0.088 1.902 1.571 1.446 1.508 1.709
7 -0.66 0.4 2.43 0.09 1.925 1.595 1.466 1.53 1.732
7.5 -0.66 0.4 2.378 0.092 1.955 1.618 1.488 1.553 1.758
8 -0.66 0.4 2.345 0.094 1.986 1.636 1.506 1.571 1.782
8.5 -0.66 0.4 2.317 0.096 2.009 1.649 1.52 1.584 1.8
9 -0.66 0.4 2.279 0.097 2.03 1.658 1.528 1.593 1.814
9.5 -0.66 0.4 2.238 0.098 2.042 1.666 1.538 1.602 1.825
10 -0.66 0.4 2.197 0.1 2.062 1.677 1.548 1.612 1.839
10.5 -0.66 0.4 2.203 0.101 2.091 1.686 1.557 1.622 1.858
11 -0.66 0.4 2.322 0.1 2.081 1.66 1.531 1.596 1.838
11.5 -0.66 0.4 2.473 0.099 2.066 1.635 1.519 1.577 1.82
12 -0.66 0.4 2.56 0.099 2.057 1.632 1.519 1.575 1.814
12.5 -0.66 0.4 2.666 0.099 2.06 1.623 1.511 1.567 1.811
13 -0.66 0.4 2.756 0.1 2.064 1.625 1.516 1.571 1.814
13.5 -0.66 0.4 2.829 0.101 2.054 1.636 1.524 1.58 1.815
14 -0.66 0.4 2.847 0.104 2.061 1.657 1.544 1.601 1.83
0.6 -0.35 0.4 6.048 0.039 1.187 0.898 0.874 0.886 1.029
0.7 -0.35 0.4 5.652 0.042 1.276 0.928 0.922 0.925 1.087
0.8 -0.35 0.4 5.331 0.045 1.359 1 0.978 0.989 1.162
0.9 -0.35 0.4 5.051 0.05 1.45 1.08 1.04 1.06 1.245
1 -0.35 0.4 4.787 0.055 1.532 1.153 1.097 1.125 1.32
1.25 -0.35 0.4 3.886 0.081 1.957 1.447 1.369 1.408 1.67
1.5 -0.35 0.4 3.722 0.088 2.03 1.497 1.422 1.46 1.731
1.75 -0.35 0.4 3.427 0.098 2.195 1.601 1.505 1.553 1.859
2 -0.35 0.4 3.314 0.101 2.249 1.629 1.527 1.578 1.897
2.25 -0.35 0.4 3.192 0.103 2.287 1.638 1.534 1.586 1.918
2.5 -0.35 0.4 3.047 0.106 2.335 1.667 1.555 1.611 1.954
2.75 -0.35 0.4 2.928 0.109 2.392 1.691 1.577 1.634 1.992
3 -0.35 0.4 2.871 0.11 2.424 1.701 1.581 1.641 2.01
3.25 -0.35 0.4 2.831 0.111 2.44 1.695 1.573 1.634 2.013
3.5 -0.35 0.4 2.778 0.113 2.479 1.706 1.583 1.645 2.036
3.75 -0.35 0.4 2.72 0.115 2.531 1.726 1.601 1.663 2.069
4 -0.35 0.4 2.657 0.117 2.573 1.741 1.614 1.678 2.095
4.5 -0.35 0.4 2.61 0.119 2.615 1.75 1.618 1.684 2.117
5 -0.35 0.4 2.572 0.122 2.655 1.766 1.63 1.698 2.142
5.5 -0.35 0.4 2.506 0.125 2.724 1.791 1.651 1.721 2.185
6 -0.35 0.4 2.472 0.127 2.771 1.802 1.66 1.731 2.21
6.5 -0.35 0.4 2.43 0.13 2.824 1.827 1.681 1.754 2.246
7 -0.35 0.4 2.392 0.133 2.875 1.842 1.694 1.768 2.275
7.5 -0.35 0.4 2.355 0.135 2.913 1.856 1.708 1.782 2.299
8 -0.35 0.4 2.315 0.137 2.955 1.873 1.723 1.798 2.326
8.5 -0.35 0.4 2.273 0.14 2.996 1.885 1.734 1.81 2.35
9 -0.35 0.4 2.215 0.141 3.02 1.896 1.74 1.818 2.365
9.5 -0.35 0.4 2.176 0.143 3.048 1.904 1.746 1.825 2.381
10 -0.35 0.4 2.172 0.145 3.079 1.914 1.76 1.837 2.4
10.5 -0.35 0.4 2.162 0.147 3.106 1.924 1.77 1.847 2.417
11 -0.35 0.4 2.151 0.148 3.13 1.933 1.778 1.855 2.432
11.5 -0.35 0.4 2.134 0.15 3.154 1.939 1.784 1.862 2.445
12 -0.35 0.4 2.11 0.151 3.171 1.949 1.792 1.871 2.458
12.5 -0.35 0.4 2.087 0.152 3.184 1.953 1.796 1.874 2.465
13 -0.35 0.4 2.089 0.153 3.196 1.958 1.798 1.878 2.473
13.5 -0.35 0.4 2.076 0.153 3.215 1.966 1.801 1.883 2.484
14 -0.35 0.4 2.058 0.154 3.216 1.967 1.798 1.882 2.485
0.6 0.06 0.4 5.586 0.05 1.551 1.377 1.209 1.293 1.436
0.7 0.06 0.4 5.103 0.059 1.703 1.515 1.328 1.421 1.578
0.8 0.06 0.4 4.643 0.071 1.911 1.61 1.417 1.514 1.724
0.9 0.06 0.4 4.166 0.083 2.132 1.704 1.504 1.604 1.875
1 0.06 0.4 3.673 0.103 2.465 1.852 1.66 1.756 2.105
1.25 0.06 0.4 3.49 0.114 2.607 1.876 1.679 1.778 2.179
1.5 0.06 0.4 3.186 0.123 2.822 1.911 1.725 1.818 2.29
1.75 0.06 0.4 2.978 0.13 2.996 1.958 1.763 1.861 2.388
2 0.06 0.4 2.781 0.139 3.183 2.043 1.836 1.94 2.514
2.25 0.06 0.4 2.649 0.144 3.306 2.076 1.866 1.971 2.583
2.5 0.06 0.4 2.593 0.147 3.361 2.079 1.862 1.971 2.605
2.75 0.06 0.4 2.534 0.151 3.456 2.103 1.878 1.991 2.655
3 0.06 0.4 2.473 0.155 3.534 2.134 1.899 2.016 2.704
3.25 0.06 0.4 2.41 0.159 3.609 2.158 1.917 2.037 2.747
3.5 0.06 0.4 2.365 0.162 3.672 2.18 1.934 2.057 2.784
3.75 0.06 0.4 2.334 0.164 3.711 2.194 1.944 2.069 2.808
4 0.06 0.4 2.307 0.167 3.758 2.207 1.956 2.081 2.834
4.5 0.06 0.4 2.253 0.171 3.853 2.233 1.977 2.105 2.886
5 0.06 0.4 2.194 0.176 3.944 2.271 2.001 2.136 2.942
5.5 0.06 0.4 2.156 0.179 4.006 2.289 2.005 2.147 2.975
6 0.06 0.4 2.128 0.183 4.071 2.312 2.022 2.167 3.014
6.5 0.06 0.4 2.091 0.186 4.14 2.344 2.042 2.193 3.058
7 0.06 0.4 2.052 0.19 4.207 2.373 2.062 2.217 3.101
7.5 0.06 0.4 2.015 0.194 4.278 2.395 2.077 2.236 3.141
8 0.06 0.4 1.987 0.197 4.317 2.417 2.09 2.254 3.168
8.5 0.06 0.4 1.958 0.199 4.366 2.439 2.107 2.273 3.2
