#age [Z/H] [alpha/Fe] Hb Mg2 Mgb Fe5270 Fe5335 Fe MgFe
0.6 -0.96 0 5.491 0.019 0.604 0.733 0.744 0.739 0.667
0.7 -0.96 0 5.496 0.02 0.665 0.754 0.763 0.759 0.709
0.8 -0.96 0 5.485 0.021 0.713 0.772 0.778 0.775 0.743
0.9 -0.96 0 5.299 0.021 0.752 0.816 0.81 0.813 0.782
1 -0.96 0 5.12 0.022 0.784 0.873 0.865 0.869 0.826
1.25 -0.96 0 4.255 0.031 0.873 1.087 1.06 1.074 0.971
1.5 -0.96 0 3.836 0.034 0.893 1.181 1.142 1.162 1.022
1.75 -0.96 0 3.904 0.035 0.87 1.221 1.191 1.206 1.027
2 -0.96 0 3.822 0.035 0.859 1.224 1.198 1.211 1.022
2.25 -0.96 0 3.561 0.037 0.893 1.271 1.235 1.253 1.061
2.5 -0.96 0 3.373 0.039 0.915 1.305 1.265 1.285 1.088
2.75 -0.96 0 3.339 0.04 0.923 1.304 1.269 1.287 1.093
3 -0.96 0 3.286 0.041 0.95 1.321 1.283 1.302 1.115
3.25 -0.96 0 3.159 0.043 0.972 1.354 1.311 1.332 1.142
3.5 -0.96 0 3.127 0.044 0.993 1.361 1.32 1.34 1.157
3.75 -0.96 0 3.067 0.045 1.009 1.375 1.336 1.356 1.173
4 -0.96 0 3.001 0.045 1.016 1.391 1.351 1.371 1.184
4.5 -0.96 0 2.902 0.047 1.03 1.417 1.378 1.397 1.203
5 -0.96 0 2.81 0.048 1.049 1.435 1.397 1.416 1.222
5.5 -0.96 0 2.731 0.05 1.069 1.461 1.422 1.441 1.245
6 -0.96 0 2.697 0.051 1.072 1.477 1.438 1.458 1.254
6.5 -0.96 0 2.632 0.052 1.082 1.491 1.451 1.471 1.266
7 -0.96 0 2.586 0.053 1.103 1.506 1.466 1.486 1.284
7.5 -0.96 0 2.523 0.054 1.109 1.522 1.479 1.501 1.294
8 -0.96 0 2.474 0.055 1.11 1.538 1.492 1.515 1.301
8.5 -0.96 0 2.441 0.056 1.12 1.553 1.505 1.529 1.313
9 -0.96 0 2.398 0.057 1.136 1.57 1.52 1.545 1.33
9.5 -0.96 0 2.371 0.058 1.152 1.585 1.534 1.56 1.345
10 -0.96 0 2.428 0.058 1.151 1.582 1.529 1.556 1.343
10.5 -0.96 0 2.527 0.058 1.155 1.571 1.522 1.547 1.341
11 -0.96 0 2.619 0.059 1.166 1.566 1.522 1.544 1.346
11.5 -0.96 0 2.707 0.059 1.169 1.569 1.525 1.547 1.349
12 -0.96 0 2.773 0.06 1.174 1.574 1.531 1.553 1.354
12.5 -0.96 0 2.831 0.06 1.164 1.576 1.531 1.554 1.349
13 -0.96 0 2.889 0.061 1.152 1.582 1.532 1.557 1.344
