Windrichting;afvoer;Zeewaterstand;BEHSVK;Zmax HOIJK;Sluitwaterstand
225;600;1.13;0;1.122157;2
225;3000;1.13;0;1.289222;2
225;6000;1.13;0;1.427027;2
225;8000;1.13;0;1.534092;2
225;10000;1.13;0;1.640157;2
225;13000;1.13;0;1.751092;2
225;16000;1.13;0;1.866897;2
225;18000;1.13;0;1.944157;2
225;20000;1.13;0;2.053157;2
225;600;2.128;0;1.981703;2
225;3000;2.128;0;2.167546;2
225;6000;2.128;0;2.352962;2
225;8000;2.128;0;2.476768;2
225;10000;2.128;0;2.600638;2
225;13000;2.128;0;2.746443;2
225;16000;2.128;0;2.863443;2
225;18000;2.128;0;2.907508;2
225;20000;2.128;0;2.981443;2
225;600;3.129;0;3.070859;2
225;3000;3.129;0;3.268989;2
225;6000;3.129;0;3.393924;2
225;8000;3.129;0;3.503054;2
225;10000;3.129;0;3.672795;2
225;13000;3.129;0;3.837665;2
225;16000;3.129;0;3.94847;2
225;18000;3.129;0;3.98947;2
225;20000;3.129;0;4.0736;2
225;600;4.092;0;4.08646;2
225;3000;4.092;0;4.267459;2
225;6000;4.092;0;4.443849;2
225;8000;4.092;0;4.566978;2
225;10000;4.092;0;4.767238;2
225;13000;4.092;0;5.038173;2
225;16000;4.092;0;5.236849;2
225;18000;4.092;0;5.316654;2
225;20000;4.092;0;5.426459;2
225;600;5.086;0;5.19206;2
225;3000;5.086;0;5.370216;2
225;6000;5.086;0;5.672438;2
225;8000;5.086;0;5.858087;2
225;10000;5.086;0;6.035865;2
225;13000;5.086;0;6.336319;2
225;16000;5.086;0;6.571579;2
225;18000;5.086;0;6.671643;2
225;20000;5.086;0;6.817643;2
225;600;6.073;0;6.690362;2
225;3000;6.073;0;6.690362;2
225;6000;6.073;0;6.879168;2
225;8000;6.073;0;7.045103;2
225;10000;6.073;0;7.265492;2
225;13000;6.073;0;7.58153;2
225;16000;6.073;0;7.84866;2
225;18000;6.073;0;7.95966;2
225;20000;6.073;0;8.125725;2
247.5;600;1.13;0;1.122157;2
247.5;3000;1.13;0;1.289222;2
247.5;6000;1.13;0;1.427027;2
247.5;8000;1.13;0;1.534092;2
247.5;10000;1.13;0;1.640157;2
247.5;13000;1.13;0;1.751092;2
247.5;16000;1.13;0;1.866897;2
247.5;18000;1.13;0;1.944157;2
247.5;20000;1.13;0;2.053157;2
247.5;600;2.128;0;1.977897;2
247.5;3000;2.128;0;2.167676;2
247.5;6000;2.128;0;2.351157;2
247.5;8000;2.128;0;2.477962;2
247.5;10000;2.128;0;2.601768;2
247.5;13000;2.128;0;2.747573;2
247.5;16000;2.128;0;2.865573;2
247.5;18000;2.128;0;2.908638;2
247.5;20000;2.128;0;2.984508;2
247.5;600;3.129;0;3.024508;2
247.5;3000;3.129;0;3.223638;2
247.5;6000;3.129;0;3.356573;2
247.5;8000;3.129;0;3.465703;2
247.5;10000;3.129;0;3.637508;2
247.5;13000;3.129;0;3.806443;2
247.5;16000;3.129;0;3.922313;2
247.5;18000;3.129;0;3.961249;2
247.5;20000;3.129;0;4.046248;2
247.5;600;4.092;0;3.999627;2
247.5;3000;4.092;0;4.169627;2
247.5;6000;4.092;0;4.344081;2
247.5;8000;4.092;0;4.470146;2
247.5;10000;4.092;0;4.679276;2
247.5;13000;4.092;0;4.957276;2
247.5;16000;4.092;0;5.146146;2
247.5;18000;4.092;0;5.222081;2
247.5;20000;4.092;0;5.333016;2
247.5;600;5.086;0;5.04733;2
247.5;3000;5.086;0;5.175746;2
247.5;6000;5.086;0;5.392968;2
247.5;8000;5.086;0;5.581773;2
247.5;10000;5.086;0;5.794616;2
247.5;13000;5.086;0;6.1162;2
247.5;16000;5.086;0;6.327394;2
247.5;18000;5.086;0;6.410395;2
247.5;20000;5.086;0;6.551459;2
