keys,values
[CX4H0],C
[CX4H1],CH
[CX4H2],CH2
[CX4H3],CH3
[CX3H0],C
[CX3H1],CH
[CX3H2],CH2
[CX2H0],C
[CX2H1],CH
[CX1H0],C
[OX1H0],O
[OX2H0],O
[OX2H1],OH
[NX4H0],N
[NX4H1],NH
[NX4H2],NH2
[NX4H3],NH3
[NX3H0],N
[NX3H1],NH
[NX3H2],NH2
[NX2H0],N
[NX2H1],NH
[NX1H0],N
[SX4H0],S
[SX4H1],SH
[SX4H2],SH2
[SX4H3],SH3
[SX3H0],S
[SX3H1],SH
[SX3H2],SH2
[SX2H0],S
[SX2H1],SH
[SX1H0],S
[cX4H0],C
[cX4H1],CH
[cX4H2],CH2
[cX4H3],CH3
[cX3H0],C
[cX3H1],CH
[cX3H2],CH2
[cX2H0],C
[cX2H1],CH
[cX1H0],C
