,chip_base_width,transmon - readout Disp. (MHz,transmon Anharm. (MHz),readout Anharm. (MHz),transmon Freq. ND (GHz),transmon Freq. (ghz),transmon Quality Factor,readout Freq. ND (GHz),readout Freq. (ghz),readout Quality Factor,uid,junction_inductance
0,3mm,-0.0,-1.7763568394002504e-21,-3.552713678800501e-21,3.8352884680385e-09,3.8352884680385,0.0,6.656528744616771e-09,6.65652874461677,0.0,000,
1,,-0.0,-1.7763568394002504e-21,-3.552713678800501e-21,3.6591136027186905e-09,3.65911360271869,0.0,6.654191060535791e-09,6.654191060535791,0.0,001,10nh
