MAC,IP
00:0c:29:35:45:d8,192.168.1.4
00:0c:29:35:45:d8,2001:a:b:10:5875:497c:d292:e300
00:0c:29:35:45:d8,2001:a:b:10:a11e:29ab:d2e:fe13
00:0c:29:35:45:d8,2001:a:b:c:5875:497c:d292:e300
00:0c:29:35:45:d8,2001:a:b:c:5936:8046:1c04:f0b4
00:0c:29:35:45:d8,fe80::5875:497c:d292:e300
00:0c:29:35:45:d8,ff02::1:ff04:f0b4
00:0c:29:35:45:d8,ff02::1:ff2e:fe13
00:0c:29:35:45:d8,ff02::1:ff92:e300
00:50:56:c0:00:02,169.254.143.185
00:50:56:c0:00:02,2001:a:b:10:a569:a7e3:5d:cc86
00:50:56:c0:00:02,fe80::3681:a34b:5e25:f7d3
00:50:56:c0:00:02,ff02::1:ff25:f7d3
00:50:56:c0:00:02,ff02::1:ff5d:cc86
00:50:56:c0:00:02,ff02::1:ff90:b3e3
ca:01:08:2b:00:00,192.168.1.1
ca:01:08:2b:00:00,2001:a:b:c::1
ca:01:08:2b:00:00,fe80::c801:8ff:fe2b:0
ca:01:08:2b:00:00,ff02::1:ff00:1
ca:01:08:2b:00:00,ff02::1:ff2b:0
