,Detected Count,Who Count,Percentage (%)
ETH,270,270,100.0
PZA,155,166,93.37349397590361
STM,143,143,100.0
INH,97,97,100.0
RIF,45,45,100.0
CAP,19,30,63.33333333333333
KAN,8,8,100.0
AMI,4,4,100.0
EMB,1,1,100.0
