Amplicon_ID,Gene,SNP
A1-ns,rpoB,160
A1-sp,katG,116
"A1-sp,A2-sp",katG,19
A2-sp,katG,296
"A2-sp,A3-sp",katG,10
A2-ns,pncA,961
A3-sp,katG,308
A3-ns,embB,89
A4-sp,mmpR5,6
A4-ns,rpsL,11
A5-ns,fabG1,9
A6-ns,ddn,3
A7-ns,rrl,2
A8-ns,gyrB,17
"A9-ns,A12-ns",rrs,8
A9-ns,rrs,6
A10-ns,gid,136
A11-ns,rplC,1
A12-ns,rrs,11
A13-ns,eis,10
"A14-ns,A23-ns",ethA,33
A14-ns,ethA,357
"A14-ns,A18-ns",ethA,29
"A15-ns,A18-ns",ethA,13
A15-ns,ethA,98
A16-ns,embA,6
A17-ns,inhA,7
A18-ns,ethA,242
A19-ns,ahpC,14
A20-ns,folC,16
A21-ns,gyrB,24
A22-ns,embB,4
A23-ns,ethA,83
A24-ns,alr,2
A25-ns,thyX,1
A26-ns,tlyA,149
A27-ns,thyA,8
A28-ns,rpoB,1
A29-ns,thyA,11
