dates,Blue,Green,Red,NIR,SWIR1,SWIR2,Thermal,qa,sensor
735625,219,416,274,2333,1299,616,0,0,8
735641,237,460,359,1885,1092,616,0,4,8
735657,292,542,444,2318,1456,731,0,0,8
735673,275,507,445,2416,1494,745,0,0,8
735689,105,301,168,1023,466,267,0,2,8
735705,549,954,835,2771,1652,1031,0,4,8
735721,283,520,396,2725,1540,749,0,0,8
735753,146,413,221,1978,764,323,0,2,8
735769,3476,3818,3734,5410,4509,3483,0,4,8
735865,463,1461,1331,3092,2513,1953,0,4,8
735897,212,409,241,2575,1166,510,0,0,8
735929,112,245,138,1329,540,230,0,4,8
735945,201,446,281,2566,1136,497,0,0,8
735959,139,393,254,2452,1092,489,0,4,2
735993,68,325,136,2069,882,442,0,4,8
736009,225,443,305,2439,1273,602,0,0,8
736025,237,467,359,2332,1286,606,0,0,8
736041,250,467,376,2478,1428,688,0,0,8
736049,202,439,398,2317,1357,676,0,0,2
736057,251,465,384,2599,1487,694,0,0,8
736073,327,581,482,2617,1523,770,0,0,8
736089,309,588,457,2698,1613,764,0,0,8
736089,1377,1582,1494,3063,2478,1540,0,4,2
736121,282,541,344,2969,1544,684,0,0,8
736129,229,556,283,3476,1628,675,0,0,2
736153,299,775,451,4055,1882,895,0,0,8
736185,321,580,320,3590,1639,684,0,4,8
736189,1212,1505,1532,3548,2697,1874,0,4,2
736201,324,537,293,3421,1604,663,0,0,8
736229,83,554,590,3062,1853,1234,0,4,2
736281,202,372,226,2510,1188,524,0,0,8
736289,879,1170,1162,3051,2213,1621,0,4,2
736309,162,363,226,2494,1186,532,0,0,2
736329,203,421,253,2823,1312,571,0,0,8
736329,141,352,202,2581,1174,518,0,0,2
736345,215,400,266,2638,1275,560,0,0,8
736349,154,367,234,2556,1198,539,0,0,2
736361,220,439,311,2662,1311,583,0,0,8
736377,232,444,336,2654,1359,629,0,0,8
736379,189,410,326,2448,1310,620,0,0,2
736393,287,529,441,2396,1487,732,0,0,8
736425,288,477,379,2613,1464,705,0,0,8
736457,284,514,337,3029,1467,660,0,0,8
736459,251,587,453,3061,1513,755,0,0,2
736473,251,542,348,3075,1464,633,0,0,8
736489,754,711,771,3064,1181,931,0,4,8
736537,226,529,296,3214,1422,588,0,0,8
736539,202,500,260,3308,1508,604,0,0,2
736594,158,428,385,2048,1105,728,0,4,2
736617,-26,286,108,2153,879,370,0,4,8
736633,199,425,272,2644,1183,521,0,0,8
736634,176,374,224,2518,1164,498,0,0,2
736639,486,1291,1212,3336,2226,1823,0,4,2
736644,158,353,214,2419,1135,483,0,0,2
736649,191,376,238,2520,1146,492,0,0,8
736659,-107,-1,-19,649,225,86,0,0,2
736664,151,375,211,2597,1177,504,0,0,2
736665,335,629,467,3129,1525,740,0,4,8
736674,267,439,237,2833,1197,497,0,4,2
736679,137,373,204,2732,1178,493,0,0,2
736681,198,473,293,3054,1387,610,0,0,8
736684,137,375,224,2579,1125,497,0,0,2
736714,157,377,234,2591,1224,527,0,0,2
