# Date: Tue Sep 3 22:01:34 2024
# Object: 2024-8200 P-001 G01 uncleaned
# Illuminant: D65
# Sample integration time [ms]: 85
# White standard integration time [ms]: 85
# Sample: 01
# Curr: 500 (Watts: 0.0145563, MLuxes: 4.24198)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE94	dE2000	dL	da	db	dC	dh
0	0	0	67.9469	-0.960295	14.549	0	0	0	0	0	0	0	0
11.392	0.165826	0.0134235	68.015	-0.979502	14.5594	0.0714738	0.0700811	0.0591266	0.0680618	-0.0192068	0.0103533	0.0116075	0.0725733
21.346	0.31072	0.0251526	68.0487	-0.941963	14.4236	0.162545	0.127447	0.112149	0.10175	0.0183315	-0.125426	-0.126358	-0.0397624
31.376	0.45672	0.0369712	68.0472	-0.967052	14.5278	0.102694	0.101251	0.0810045	0.100253	-0.00675706	-0.0212083	-0.020715	0.032029
41.405	0.602705	0.0487887	68.0806	-0.952598	14.4278	0.180675	0.152525	0.128981	0.133722	0.00769645	-0.121253	-0.121497	0.00121295
51.349	0.747453	0.060506	68.0943	-0.948129	14.4128	0.201101	0.168997	0.14331	0.147436	0.0121657	-0.136221	-0.136726	-0.0125653
61.378	0.893439	0.0723234	68.1135	-0.939285	14.3812	0.237405	0.1955	0.167696	0.166622	0.02101	-0.1678	-0.168816	-0.0394098
71.408	1.03944	0.084142	68.1285	-0.944964	14.3668	0.257732	0.212547	0.181709	0.181598	0.0153305	-0.182245	-0.182858	-0.0131099
81.351	1.18417	0.0958581	68.1358	-0.97713	14.4665	0.206825	0.196025	0.159613	0.188912	-0.0168356	-0.0824957	-0.0811907	0.0878527
91.382	1.33019	0.107678	68.1499	-0.965717	14.4118	0.245064	0.219395	0.181393	0.202955	-0.00542264	-0.137244	-0.136582	0.0573188
101.326	1.47494	0.119395	68.1596	-0.959654	14.4054	0.256612	0.229731	0.189631	0.21269	0.000640424	-0.143571	-0.143299	0.0349896
111.355	1.62092	0.131213	68.1729	-0.950757	14.3994	0.271167	0.243406	0.200637	0.225941	0.00953744	-0.149637	-0.14994	0.00134393
121.373	1.76675	0.143017	68.1814	-0.987819	14.4767	0.246941	0.239791	0.194376	0.234512	-0.0275242	-0.0722959	-0.0702903	0.127248
131.328	1.91165	0.154747	68.2037	-0.945393	14.3451	0.328221	0.284905	0.238122	0.256769	0.014902	-0.203903	-0.204442	-0.00574046
141.358	2.05765	0.166566	68.2136	-0.949621	14.3698	0.321498	0.287893	0.237496	0.266705	0.0106742	-0.179208	-0.179522	0.00458229
151.388	2.20365	0.178385	68.2265	-0.970147	14.3967	0.318559	0.294622	0.240532	0.279618	-0.00985195	-0.152305	-0.151312	0.0788655
161.332	2.3484	0.190102	68.2447	-0.947786	14.3432	0.3622	0.32278	0.266777	0.297812	0.0125092	-0.205768	-0.206145	0.00426499
171.359	2.49436	0.201917	68.2464	-0.992391	14.4283	0.32448	0.309634	0.252108	0.29948	-0.0320963	-0.120702	-0.11827	0.158374
181.39	2.64037	0.213737	68.2511	-0.977411	14.4252	0.328825	0.313687	0.253518	0.304149	-0.0171161	-0.123801	-0.122383	0.0999923
191.334	2.78512	0.225454	68.2549	-1.00591	14.5138	0.313299	0.311049	0.251457	0.307947	-0.0456175	-0.0352653	-0.0321057	0.18841
201.364	2.93112	0.237273	68.2827	-0.931209	14.2835	0.429017	0.372529	0.311705	0.335755	0.0290858	-0.265477	-0.266812	-0.0461849
211.393	3.07711	0.24909	68.2731	-1.0026	14.4875	0.334606	0.330277	0.266552	0.326171	-0.042309	-0.0615116	-0.0585178	0.182548
221.336	3.22184	0.260806	68.2943	-0.973657	14.3874	0.383438	0.361226	0.29278	0.347435	-0.0133623	-0.161665	-0.160414	0.0952819
231.365	3.36783	0.272624	68.3209	-0.949472	14.2767	0.462775	0.408641	0.338915	0.374024	0.0108225	-0.272304	-0.272424	0.0285719
241.395	3.51383	0.284442	68.322	-0.957225	14.293	0.454086	0.405723	0.334963	0.375042	0.00306949	-0.255986	-0.255625	0.0551821
251.341	3.6586	0.296162	68.3061	-0.979444	14.4122	0.384815	0.369048	0.297476	0.35915	-0.0191489	-0.136845	-0.135259	0.111535
261.369	3.80457	0.307978	68.3432	-0.947422	14.2543	0.494063	0.434512	0.360959	0.396295	0.0128731	-0.294759	-0.294965	0.0263419
271.398	3.95056	0.319796	68.3314	-1.00136	14.4503	0.39909	0.390782	0.314864	0.384503	-0.0410605	-0.0987128	-0.0957164	0.18778
281.343	4.09532	0.331514	68.3542	-0.951114	14.2805	0.487951	0.438446	0.361019	0.407289	0.00918099	-0.268565	-0.268584	0.0341357
291.373	4.24132	0.343333	68.3509	-0.979653	14.3422	0.454247	0.423404	0.344834	0.403985	-0.0193578	-0.206789	-0.205027	0.131266
301.402	4.38731	0.35515	68.3678	-0.952486	14.2585	0.511472	0.45604	0.376701	0.420875	0.0078083	-0.290528	-0.290407	0.0454791
311.345	4.53204	0.366866	68.3616	-1.00112	14.4026	0.441692	0.425671	0.344539	0.414701	-0.0408269	-0.146452	-0.143358	0.199953
321.375	4.67804	0.378685	68.3869	-0.945718	14.2487	0.532883	0.475943	0.392819	0.43994	0.0145765	-0.30034	-0.300647	0.0210077
331.403	4.82401	0.390501	68.3823	-0.96956	14.3196	0.492242	0.457159	0.371993	0.43542	-0.00926502	-0.229403	-0.228274	0.0972212
341.349	4.96879	0.402221	68.3886	-0.988065	14.3852	0.471898	0.453445	0.365475	0.441685	-0.0277699	-0.1638	-0.161564	0.152974
351.378	5.11478	0.414038	68.4063	-0.978009	14.3198	0.513726	0.480263	0.390245	0.459388	-0.0177139	-0.229267	-0.227565	0.130834
361.323	5.25954	0.425757	68.4109	-0.956345	14.2781	0.537263	0.492019	0.402041	0.463968	0.00394982	-0.270867	-0.270533	0.0556468
371.351	5.40551	0.437573	68.4132	-0.972961	14.3357	0.51295	0.48408	0.391525	0.466333	-0.0126667	-0.213287	-0.211965	0.106413
381.38	5.5515	0.449391	68.4225	-1.00702	14.3461	0.519223	0.493109	0.401278	0.47562	-0.0467258	-0.202965	-0.199322	0.23901
391.325	5.69626	0.461109	68.4326	-0.960051	14.2485	0.571114	0.518558	0.425266	0.485646	0.000243991	-0.30053	-0.29988	0.0784351
401.355	5.84226	0.472928	68.4463	-0.952701	14.2038	0.60712	0.541199	0.447018	0.499346	0.00759408	-0.34524	-0.344983	0.0610167
411.384	5.98824	0.484745	68.4444	-0.965947	14.3048	0.554192	0.519004	0.420581	0.497456	-0.00565174	-0.244202	-0.243283	0.0868096
421.319	6.13286	0.496452	68.4724	-0.934847	14.1352	0.669332	0.58207	0.485803	0.525494	0.0254474	-0.41378	-0.414558	0.00752176
431.357	6.27898	0.50828	68.4504	-1.00147	14.3639	0.53803	0.517216	0.41774	0.503502	-0.0411762	-0.185113	-0.181901	0.212007
441.387	6.42498	0.520099	68.454	-0.977161	14.3156	0.558484	0.52671	0.426226	0.507077	-0.0168664	-0.233438	-0.231784	0.128593
451.331	6.56973	0.531816	68.4592	-1.01237	14.3924	0.538249	0.523084	0.422033	0.512326	-0.0520707	-0.156599	-0.152695	0.24729
461.361	6.71573	0.543634	68.4912	-0.967562	14.2339	0.628951	0.576785	0.4713	0.544243	-0.00726675	-0.315162	-0.313972	0.112481
471.389	6.8617	0.555451	68.4772	-0.997874	14.3386	0.571774	0.546559	0.441674	0.530326	-0.0375795	-0.210399	-0.207375	0.204715
481.333	7.00644	0.567168	68.5057	-0.959681	14.1918	0.663207	0.599099	0.492224	0.558771	0.000613863	-0.357238	-0.356484	0.0923046
491.363	7.15244	0.578987	68.4924	-0.992789	14.3283	0.589302	0.562445	0.454109	0.545443	-0.032494	-0.22071	-0.218014	0.187332
501.393	7.29844	0.590805	68.5177	-0.963291	14.1928	0.672807	0.610145	0.500601	0.570789	-0.00299634	-0.356174	-0.355179	0.106523
511.336	7.44318	0.602521	68.5082	-0.981678	14.2663	0.628874	0.587277	0.477177	0.561316	-0.0213831	-0.282752	-0.280674	0.160104
521.356	7.58903	0.614328	68.5152	-0.98423	14.265	0.635816	0.594304	0.482871	0.568329	-0.0239349	-0.284063	-0.281807	0.170665
