well_id,dh_no,unit_long,unit_hyphen,obs_no,dh_name,easting,northing,zone,latitude,longitude,aquifer
MOR059,52893,662805924,6628-5924,MOR059,,314715.54,6176269.73,54,-34.5386125,138.9809412,Tomr(Lower)
MOR060,52894,662805925,6628-5925,MOR060,,314715.54,6176269.73,54,-34.5386125,138.9809412,Tomr(Lower)
MOR061,52895,662805926,6628-5926,MOR061,,314715.54,6176269.73,54,-34.5386125,138.9809412,Tomr(Lower)
MOR158,52945,662805976,6628-5976,MOR158,TCWQ 115,315636.64,6176889.48,54,-34.5331925,138.9911072,Tomr(Lower)
MOR134,52977,662806008,6628-6008,MOR134,,315364.72,6178062.54,54,-34.5225715,138.9884002,Tomr(Lower)
MOR062,53000,662806031,6628-6031,MOR062,MESA,314334.64,6178583.55,54,-34.5176905,138.9772972,Tomr(Lower)
MOR166,53028,662806059,6628-6059,MOR166,,316349.68,6180074.51,54,-34.5046145,138.9995592,Tomr(Lower)
MOR188,53029,662806060,6628-6060,MOR188,,315992.68,6180188.49,54,-34.5035235,138.9956972,Tomr(Lower)
BRS117,55933,662808964,6628-8964,BRS117,,311705.68,6171759.5,54,-34.5787135,138.9471622,Tomr(Lower)
BRS005,55934,662808965,6628-8965,BRS005,ROVALLEY (WEST OBS),310885.66,6171647.46,54,-34.5795725,138.9382022,Tomr(Lower)
MOR157,55942,662808973,6628-8973,MOR157,,314863.73,6177157.46,54,-34.5306385,138.9827482,Tomr(Lower)
MOR160,56422,662809453,6628-9453,MOR160,,316159.7,6177855.53,54,-34.5245795,138.9970122,Tomr(Lower)
MOR159,58054,662811085,6628-11085,MOR159,,315298.51,6176683.92,54,-34.5349845,138.9873802,Tomr(Lower)
MOR152,58063,662811094,6628-11094,MOR152,ST HALLETS,311541.7,6174875.46,54,-34.5506015,138.9460662,Tomr(Lower)
MOR179,58125,662811156,6628-11156,MOR179,,314811.68,6177032.49,54,-34.5317555,138.9821542,Tomr(Lower)
MOR201,61297,662814328,6628-14328,MOR201,MESA - OBS,312604.65,6173313.53,54,-34.5648725,138.9573002,Tomr(Lower)
MOR202,62362,662815393,6628-15393,MOR202,MESA,314698.7,6176262.52,54,-34.5386745,138.9807562,Tomr(Lower)
MOR203,62363,662815394,6628-15394,MOR203,,314700.67,6176269.55,54,-34.5386115,138.9807792,Tomr(Lower)
MOR082,63224,662900071,6629-71,MOR082,MESA OBS (OBSOLETE),316072.46,6183038.84,54,-34.4778485,138.9971802,Tomr(Lower)
MOR206,64601,662901458,6629-1458,MOR206,MESA OBS,316063.67,6183060.53,54,-34.4776515,138.9970892,Tomr(Lower)
MOR173,74608,672801714,6728-1714,MOR173,,316631.69,6180478.53,54,-34.5010235,139.0027162,Tomr(Lower)
MOR071,74610,672801716,6728-1716,MOR071,,317167.47,6180101.86,54,-34.5045135,139.0084682,Tomr(Lower)
MOR072,74611,672801717,6728-1717,MOR072,MESA,317203.65,6180079.5,54,-34.5047215,139.0088572,Tomr(Lower)
