Algorithm,Wins,Losses,Ties,Total,Win Rate (%)
TabPFN,24,12,0,36,66.7
LinearBoost,23,18,0,41,56.1
LightGBM,22,19,0,41,53.7
RandomForest,20,21,0,41,48.8
XGBoost,20,21,0,41,48.8
LogisticRegression,17,24,0,41,41.5
CatBoost,15,26,0,41,36.6
