Algorithm,Wins,Losses,Ties,Total,Win Rate (%)
TabPFN,24,12,0,36,66.7
CatBoost,27,14,0,41,65.9
LinearBoost,25,16,0,41,61.0
LogisticRegression,23,18,0,41,56.1
LightGBM,17,24,0,41,41.5
XGBoost,13,28,0,41,31.7
RandomForest,12,29,0,41,29.3
