Metric,Model,Mean_Rank,Median_Rank,Std_Rank,Wins,Top3,Min_Rank,Max_Rank,N_Datasets
F1_Score,LinearBoost-K,5.857142857142857,7.0,2.6954231805876008,1,1,1,9,7
F1_Score,TabPFN,3.3333333333333335,2.0,2.6874192494328497,2,4,1,8,6
F1_Score,CatBoost,3.142857142857143,3.0,1.8070158058105026,2,4,1,6,7
F1_Score,LightGBM,4.857142857142857,4.0,2.231499907401901,0,2,2,9,7
F1_Score,XGBoost,5.714285714285714,5.0,1.979486637221574,0,1,3,9,7
F1_Score,RandomForest,5.571428571428571,6.0,1.498298354528788,0,1,3,7,7
F1_Score,LinearBoost-K-exact,6.285714285714286,7.0,2.3733211036908783,1,1,1,9,7
F1_Score,LogisticRegression,4.142857142857143,3.0,2.6954231805876008,1,4,1,8,7
F1_Score,LinearBoost-L,5.285714285714286,5.0,2.657296462534039,0,3,2,9,7
ROC_AUC,TabPFN,3.3333333333333335,3.0,2.211083193570267,2,3,1,7,6
ROC_AUC,LinearBoost-K,5.857142857142857,7.0,2.899683304312063,0,2,2,9,7
ROC_AUC,LightGBM,4.0,5.0,1.8516401995451028,1,3,1,6,7
ROC_AUC,RandomForest,4.571428571428571,4.0,2.969229955832361,2,3,1,9,7
ROC_AUC,LinearBoost-K-exact,6.0,6.0,2.0,0,1,3,9,7
ROC_AUC,XGBoost,4.428571428571429,4.0,1.9166296949998198,0,3,2,8,7
ROC_AUC,CatBoost,5.285714285714286,6.0,2.4907993963089563,1,2,1,8,7
ROC_AUC,LogisticRegression,4.714285714285714,5.0,2.5475077857324298,1,3,1,8,7
ROC_AUC,LinearBoost-L,6.0,5.0,2.390457218668787,0,1,3,9,7
Train_Time,LogisticRegression,1.4285714285714286,1.0,0.7284313590846835,5,7,1,3,7
Train_Time,LinearBoost-L,3.2857142857142856,2.0,1.8294640678379568,0,5,2,7,7
Train_Time,TabPFN,3.6666666666666665,4.0,0.9428090415820634,0,2,2,5,6
Train_Time,LinearBoost-K-exact,5.571428571428571,6.0,1.9897697538834458,0,1,2,8,7
Train_Time,RandomForest,5.571428571428571,5.0,1.840585532389304,0,1,3,9,7
Train_Time,CatBoost,5.142857142857143,6.0,3.0904725218262765,2,2,1,9,7
Train_Time,LinearBoost-K,4.571428571428571,5.0,1.498298354528788,0,3,3,7,7
Train_Time,XGBoost,7.142857142857143,8.0,1.5518257844571737,0,0,4,9,7
Train_Time,LightGBM,7.857142857142857,8.0,0.8329931278350429,0,0,7,9,7
Inference_Time,CatBoost,1.4285714285714286,1.0,0.7284313590846836,5,7,1,3,7
Inference_Time,LightGBM,1.8571428571428572,2.0,0.3499271061118826,1,7,1,2,7
Inference_Time,XGBoost,2.7142857142857144,3.0,0.6998542122237652,1,7,1,3,7
Inference_Time,LogisticRegression,4.857142857142857,5.0,0.9897433186107869,0,0,4,7,7
Inference_Time,LinearBoost-L,5.142857142857143,5.0,0.989743318610787,0,0,4,7,7
Inference_Time,LinearBoost-K-exact,6.285714285714286,6.0,1.1605769149479943,0,0,4,8,7
Inference_Time,LinearBoost-K,5.857142857142857,6.0,0.989743318610787,0,0,4,7,7
Inference_Time,RandomForest,7.857142857142857,8.0,0.3499271061118826,0,0,7,8,7
Inference_Time,TabPFN,9.0,9.0,0.0,0,0,9,9,6
