Amplicon_number,SNP_coverage(%)
1,15.822676325046206
2,29.883965301377213
3,40.50557443510404
4,50.150539557622366
5,58.7130358313957
6,64.00725868956062
7,69.2474512609551
8,72.28991534012998
9,75.84510820962261
10,78.76684254456568
11,80.96792464079175
12,82.84855124306922
13,84.46834197817921
14,85.90219400226555
15,87.2894681929291
16,88.56868181005186
17,89.64108984677756
18,90.56593930721994
19,91.40955702617302
20,92.03779884337924
21,92.6362308471949
22,93.2085792642938
23,93.77347522804507
24,94.30446252906457
25,94.87941930483515
26,95.3053270136529
27,95.73160734513802
28,96.16012341262744
29,96.44257139450308
30,96.71570380969415
31,96.90126989805043
32,97.08348238240029
33,97.25004471472009
34,97.40952721635962
35,97.57385381267514
36,97.7139599356108
37,97.85928277588982
38,97.9867197281345
39,98.1115483217075
40,98.25277231264532
41,98.40517498360461
42,98.52776784117331
43,98.61943301734931
44,98.70215524950814
45,98.81878614439874
46,98.92125737792881
47,98.99280093006618
48,99.0527931795147
