l18,name,type,insCode,regNo,url,siteType,dps_interval
آبنوس,سهام نگر کیمیا,Stock,40912525017440979,12270,https://kimiasahm.ir/,TadbirPardaz,
آتش,صندوق س.كالاي كهكشان فيروزه,Commodity,56987424987755487,12358,https://atash.fundz.ir/#2,TadbirPardazMultiNAV,
آتیمس,آرمان آتیه درخشان مس,Stock,22839330962768817,11378,http://armanmesetf.ir/,RayanHamafza,
آتیه ملت,آتیه ملت,Fixed,47492157735162813,10895,https://atiehmellat.ir/,TadbirPardaz,
آذرین,بخشی فلزات کیمیا,Sector,43358402418932595,12172,https://kimiasectorfund.ir/#2,TadbirPardazMultiNAV,
آرام,شاخصی آرام مفید,Index,14230681955555738,11939,https://arametf.com/,TadbirPardaz,
آرامش,در اوراق بهادار با درآمد ثابت آرامش,Fixed,7104496710718469,12268,https://arameshfund.ir/,TadbirPardaz,
آس,مشترک گنجینه ارمغان الماس,Stock,10063040211859748,11463,https://armaghanalmasfund.ir/,TadbirPardaz,
آسا,آرمان کارآفرین,Fixed,26393127587277568,10845,https://akfund.ir/,RayanHamafza,1
آساس,آسمان آرمانی سهام,Stock,66682662312253625,11195,https://asasfund.ir/,TadbirPardaz,
آسام,آرمان سپهر آتی,Mixed,36592972482259020,11172,https://asaetf.ir/,TadbirPardaz,
آسامید,مشترک آسمان امید,Fixed,24869832924911721,11626,https://asamidfund.ir/,TadbirPardaz,
آسان,مشترک گنجینه مهر,Fixed,65640021232361587,11222,https://ganjinehmehrfund.ir/,TadbirPardaz,1
آسود,نهال آرمان اقتصاد,Fixed,16582961426722208,12046,http://nahalarmanfund.ir/,RayanHamafza,
آفاق,نوع دوم افق آتی,Fixed,37073830945037165,11976,https://ofoghati.ir/,TadbirPardaz,1
آفرین,رشد آفرین سرمایه,Mixed,37028614515926436,12184,https://roshdafarinfund.ir/,MabnaDP2,
آلا,اعتماد ارغوان,Fixed,19828734979381742,12128,https://etemadarghavan.sanaamc.com/,RayanHamafza,
آلتون,طلای آسمان آلتون,Commodity,28374437855144739,12006,https://altonfund.ir/,TadbirPardaz,
آلکان,بخشی راهبر صنایع مهرگان,Sector,10535841469368706,12460,https://sector.mehreganfunds.ir/#2,TadbirPardazMultiNAV,
آلیاژ,صندوق س صنایع آگاه3-بخشی,Sector,52497713622747990,,https://agahsectorfund.ir/#3,RayanHamafza,
آمیتیس,سهامی درخشان آمیتیس,Stock,41350070322027412,12311,https://fund2-amitispm.ir/,TadbirPardaz,
آوا,آوای معیار,Stock,18007109712724189,11729,http://avayemeyar.ir/,RayanHamafza,
