number,symbol,name,period,group,weight,vdw_radius,covalent_radius
0,X,Dummy,0,0,0,0,0
1,H,Hydrogen,1,1,1.008,1.2,0.31
1,D,Deuterium,1,1,2.014,1.2,0.31
2,He,Helium,1,18,4.0026,1.43,0.28
3,Li,Lithium,2,1,6.94,2.12,1.28
4,Be,Beryllium,2,2,9.0122,1.98,0.96
5,B,Boron,2,13,10.81,1.91,0.84
6,C,Carbon,2,14,12.011,1.77,0.76
7,N,Nitrogen,2,15,14.007,1.66,0.71
8,O,Oxygen,2,16,15.999,1.5,0.66
9,F,Fluorine,2,17,18.998,1.46,0.57
10,Ne,Neon,2,18,20.18,1.58,0.58
11,Na,Sodium,3,1,22.99,2.5,1.66
12,Mg,Magnesium,3,2,24.305,2.51,1.41
13,Al,Aluminum,3,13,26.982,2.25,1.21
14,Si,Silicon,3,14,28.085,2.19,1.11
15,P,Phosphorus,3,15,30.974,1.9,1.07
16,S,Sulfur,3,16,32.06,1.89,1.05
17,Cl,Cholorine,3,17,35.45,1.82,1.02
18,Ar,Argon,3,18,39.95,1.83,1.06
19,K,Potassium,4,1,39.098,2.73,2.03
20,Ca,Calcium,4,2,40.078,2.62,1.76
21,Sc,Scandium,4,3,44.956,2.58,1.7
22,Ti,Titanium,4,4,47.867,2.46,1.6
23,V,Vanadium,4,5,50.942,2.42,1.53
24,Cr,Chromium,4,6,51.996,2.45,1.39
25,Mn,Manganese,4,7,54.938,2.45,1.61
26,Fe,Iron,4,8,55.845,2.44,1.52
27,Co,Cobalt,4,9,58.933,2.4,1.5
28,Ni,Nickel,4,10,58.693,2.4,1.24
29,Cu,Copper,4,11,63.546,2.38,1.32
30,Zn,Zinc,4,12,65.38,2.39,1.22
31,Ga,Gallium,4,13,69.723,2.32,1.22
32,Ge,Germanium,4,14,72.63,2.29,1.2
33,As,Arsenic,4,15,74.922,1.88,1.19
34,Se,Selenium,4,16,78.971,1.82,1.2
35,Br,Bromine,4,17,79.904,1.86,1.2
36,Kr,Krypton,4,18,83.798,2.25,1.16
37,Rb,Rubidium,5,1,85.468,3.21,2.2
38,Sr,Strontium,5,2,87.62,2.84,1.95
39,Y,Yttrium,5,3,88.906,2.75,1.9
40,Zr,Zirconium,5,4,91.224,2.52,1.75
41,Nb,Niobium,5,5,92.906,2.56,1.64
42,Mo,Molybdenum,5,6,95.95,2.45,1.54
43,Tc,Technetium,5,7,,2.44,1.47
44,Ru,Ruthenium,5,8,101.07,2.46,1.46
45,Rh,Rhodium,5,9,102.91,2.44,1.42
46,Pd,Palladium,5,10,106.42,2.15,1.39
47,Ag,Silver,5,11,107.87,2.53,1.45
48,Cd,Cadmium,5,12,112.41,2.49,1.44
49,In,Indium,5,13,114.82,2.43,1.42
50,Sn,Tin,5,14,118.71,2.42,1.39
51,Sb,Antimony,5,15,121.76,2.47,1.39
52,Te,Tellurium,5,16,127.6,1.99,1.38
53,I,Iodine,5,17,126.9,2.04,1.39
54,Xe,Xenon,5,18,131.29,2.06,1.4
55,Cs,Cesium,6,1,132.91,3.48,2.44
56,Ba,Barium,6,2,137.33,3.03,2.15
57,La,Lanthanum,6,3,138.91,2.98,2.07
58,Ce,Cerium,6,3,140.12,2.88,2.04
59,Pr,Praseodymium,6,3,140.91,,2.03
60,Nd,Neodymium,6,3,144.24,2.92,2.01
61,Pm,Promethium,6,3,,2.95,1.99
62,Sm,Samarium,6,3,150.36,2.9,1.98
63,Eu,Europium,6,3,151.96,2.87,1.98
64,Gd,Gadolinium,6,3,157.25,2.83,1.96
65,Tb,Terbium,6,3,158.93,2.79,1.94
66,Dy,Dysprosium,6,3,162.5,2.87,1.92
