Hour,Nordeste
1,21023.9
2,20730.82
3,20071.02
4,19332.26
5,18985.4
6,19074.33
7,20008.17
8,20437.8
9,18773.64
10,16267.68
11,14219.68
12,13074.74
13,12710.31
14,12937.99
15,13499.91
16,14291
17,15157.37
18,15437.98
19,15125.74
20,16065.34
21,17540.65
22,18690.28
23,20345.15
24,20869.51
25,20600.88
26,20497.91
27,20749.67
28,21042.83
29,20441.79
30,20046.92
31,19997.37
32,19021.85
33,16869.67
34,14431.71
35,12531.76
36,11558.02
37,11514.02
38,11881.98
39,12293.77
40,12638.53
41,12934.23
42,12997.44
43,13072.25
44,13629.32
45,13399.16
46,13509.42
47,15137.73
48,15776.01
49,15281.2
50,15020.35
51,14824.17
52,14314.78
53,13269.49
54,12418.8
55,12672.65
56,12304.6
57,10750.99
58,9308.47
59,8683.03
60,8723.62
61,8990.59
62,9524.1
63,10291.78
64,11112.21
65,12032.76
66,12508.05
67,12544.54
68,12972.64
69,14040.1
70,14481.05
71,14739.55
72,15202.46
73,15307.28
74,14678.14
75,14243.65
76,13648.16
77,13720.47
78,14238.94
79,16020.39
80,16529.16
81,16120.89
82,15051.68
83,14142.11
84,13557.24
85,13473.03
86,13827.28
87,14451.29
88,15306.3
89,16185.37
90,16678.37
91,16852.3
92,17738.1
93,18934
94,20250.63
95,21205.82
96,21424.72
97,20351.6
98,19349.47
99,19502.19
100,19429.29
101,19083.93
102,19108.84
103,19715.51
104,20036.53
105,19180.82
106,17370.3
107,15881.63
108,15151.1
109,15001.72
110,15179.44
111,15515.42
112,15839.67
113,16700.75
114,17619.9
115,17528.1
116,17777.59
117,18471.12
118,19937.69
119,20910.26
120,21202.1
121,20185.95
122,20404.12
123,19869.42
124,19163.62
125,19204.73
126,19498.32
127,19984.22
128,20581.42
129,19719.43
130,18228.41
131,17157.32
132,16349.62
133,15703.12
134,15350.45
135,16030.3
136,17880.47
137,19065.19
138,17292.93
139,16179.17
140,17065.63
141,18206.87
142,20234.73
143,20782.75
144,20786.19
145,20397.33
146,19583.54
147,18969.11
148,17909.76
149,16912.29
150,16266.31
151,17367.59
152,17044.12
153,15785.98
154,14234.86
155,12949.83
156,12244.87
157,12206.15
158,12716.2
159,13486.85
160,14223.67
161,15035.87
162,15637.31
163,16539.28
164,18316.22
165,19821.97
166,19980.81
167,20718.96
168,21255.47
169,21474.61
170,21136.73
171,19992.68
172,19257.46
173,18848.39
174,18179.89
175,19479.72
176,19167.69
177,17465.95
178,15361.03
179,13462.99
180,12128.73
181,11548.95
182,11218.52
183,11108.39
184,11111.84
185,11384.44
186,12039.95
187,13807.04
188,15507.73
189,16422.28
190,16569.43
191,17627.92
192,18177.28
193,17872.75
194,16798.22
195,15524.84
196,15647.44
197,15440.87
198,14703.63
199,15339.17
200,14777.83
201,12721.73
202,10333.47
203,8958.47
204,8652.56
205,8958.24
206,9274.05
207,9191.8
208,9386.15
209,10087.51
210,10775.31
211,11374
212,12916.77
213,14046.5
214,14307.65
215,14928.14
216,15536.36
217,15228.59
218,14586.48
219,13847.87
220,13317.13
221,12772
222,12378
223,12763.74
224,12484.62
225,11326.43
226,10243.49
227,9516.67
228,9310.27
229,9258.34
230,8918.84
231,8509.27
232,8673.84
233,9594.07
234,10873.07
235,12486.05
236,13686.31
237,14379.96
238,14873.46
239,15144.71
240,15014.52
241,14327.85
242,13305.86
243,12373.91
244,11968.96
245,11685.45
246,11406.94
247,11014.89
248,11344.4
249,10051.87
250,8104.23
251,6596.13
252,5764.57
253,5372.56
254,5147.13
255,4879.02
256,4787.46
257,5020.25
258,5416.67
259,7202.21
260,9476.06
261,10628.1
262,10636.74
263,10123.41
264,10120.95
265,9732.98
266,8288.34
267,7442.42
268,7230.89
269,7191.39
270,8016.8
271,8554.88
272,8587.42
273,8504.6
274,8545.42
275,8626.08
276,8714.33
277,8871.74
278,9111.41
279,9406.43
280,9782.34
281,10299.84
282,10924.89
283,11553.38
284,11938.31
285,11996.25
286,11229.83
287,11967.66
288,12780.62
289,13437.28
290,13909.16
291,14515.96
292,14433.77
293,14487.36
294,14751.39
295,14689.66
296,14150.33
297,12368.8
298,10760.97
299,9699.41
300,9208.98
301,9203.58
302,9570.52
303,10238.54
304,11079.52
305,11818.51
306,12608.52
307,13808.59
308,14826.2
309,15736.02
310,15471.63
311,15983.61
312,15535
313,14336.96
314,13379.08
315,12630.38
316,12661.09
317,13324.1
318,13988.25
319,14597.79
320,14773.52
321,13423.41
322,11179.62
323,9019.03
324,7687.34
325,6954.13
326,6730.22
327,6802.87
