Hour,Nordeste
1,0
2,0
3,0
4,0
5,0
6,0
7,1021.27
8,4768.29
9,6719.27
10,7495.4
11,7687.43
12,7796.23
13,7571.5
14,7288.78
15,7018.45
16,6576.8
17,5273.16
18,3109.36
19,338.67
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,887.53
32,4150.22
33,6594.27
34,7421.52
35,7570.41
36,7503.69
37,7411.15
38,6953.85
39,6461.68
40,5753.11
41,5281.29
42,4502.68
43,650.13
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,748.25
56,3952.08
57,5934.03
58,6718.13
59,6842.45
60,6720.74
61,6470.26
62,6314.76
63,6061.24
64,6051.61
65,5014.13
66,2654.19
67,353.71
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,673.12
80,3992.45
81,6362.86
82,6427.78
83,6737.48
84,7121.02
85,7116.94
86,7341.11
87,7062.69
88,6769.1
89,5397.37
90,3378.4
91,401.85
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,951.19
104,4579.18
105,6659.68
106,7788.02
107,8052.89
108,8085.03
109,7726.55
110,7600.6
111,7305.37
112,7050.2
113,5684.7
114,3425.66
115,487.57
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,667.83
128,4128.53
129,6343.08
130,7434.03
131,7529.2
132,7483.37
133,7483.27
134,7513.62
135,7330.58
136,6534.64
137,5340.15
138,3174.71
139,481.92
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1101.67
152,5343.23
153,7257.21
154,8145.42
155,8364.77
156,8176.69
157,7782.6
158,7343.17
159,7067.75
160,6637.76
161,5940.68
162,3644.88
163,574.83
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1033.49
176,4819.1
177,6840.92
178,7841.02
179,8107.54
180,8077.21
181,7618.33
182,7180.65
183,6485.07
184,6567.97
185,5835.3
186,3699.08
187,574.87
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,919.91
200,4208.83
201,6196.02
