*Hour,LargeHydro
1,2138
2,2138
3,2138
4,2138
5,2138
6,2138
7,2138
8,2138
9,2138
10,2138
11,2138
12,2138
13,2138
14,2138
15,2138
16,2138
17,2138
18,2138
19,2138
20,2138
21,2138
22,2138
23,2138
24,2138
25,2138
26,2138
27,2138
28,2138
29,2138
30,2138
31,2138
32,2138
33,2138
34,2138
35,2138
36,2138
37,2138
38,2138
39,2138
40,2138
41,2138
42,2138
43,2138
44,2138
45,2138
46,2138
47,2138
48,2138
49,2138
50,2138
51,2138
52,2138
53,2138
54,2138
55,2138
56,2138
57,2138
58,2138
59,2138
60,2138
61,2138
62,2138
63,2138
64,2138
65,2138
66,2138
67,2138
68,2138
69,2138
70,2138
71,2138
72,2138
73,2138
74,2138
75,2138
76,2138
77,2138
78,2138
79,2138
80,2138
81,2138
82,2138
83,2138
84,2138
85,2138
86,2138
87,2138
88,2138
89,2138
90,2138
91,2138
92,2138
93,2138
94,2138
95,2138
96,2138
97,2138
98,2138
99,2138
100,2138
101,2138
102,2138
103,2138
104,2138
105,2138
106,2138
107,2138
108,2138
109,2138
110,2138
111,2138
112,2138
113,2138
114,2138
115,2138
116,2138
117,2138
118,2138
119,2138
120,2138
121,2138
122,2138
123,2138
124,2138
125,2138
126,2138
127,2138
128,2138
129,2138
130,2138
131,2138
132,2138
133,2138
134,2138
135,2138
136,2138
137,2138
138,2138
139,2138
140,2138
141,2138
142,2138
143,2138
144,2138
145,2138
146,2138
147,2138
148,2138
149,2138
150,2138
151,2138
152,2138
153,2138
154,2138
155,2138
156,2138
157,2138
158,2138
159,2138
160,2138
161,2138
162,2138
163,2138
164,2138
165,2138
166,2138
167,2138
168,2138
169,2138
170,2138
171,2138
172,2138
173,2138
174,2138
175,2138
176,2138
177,2138
178,2138
179,2138
180,2138
181,2138
182,2138
183,2138
184,2138
185,2138
186,2138
187,2138
188,2138
189,2138
190,2138
191,2138
192,2138
193,2138
194,2138
195,2138
196,2138
197,2138
198,2138
199,2138
200,2138
201,2138
202,2138
203,2138
204,2138
205,2138
206,2138
207,2138
208,2138
209,2138
210,2138
211,2138
212,2138
213,2138
214,2138
215,2138
216,2138
217,2138
218,2138
219,2138
220,2138
221,2138
222,2138
223,2138
224,2138
225,2138
226,2138
227,2138
228,2138
229,2138
230,2138
231,2138
232,2138
233,2138
234,2138
235,2138
236,2138
237,2138
238,2138
239,2138
240,2138
241,2138
242,2138
243,2138
244,2138
245,2138
246,2138
247,2138
248,2138
249,2138
250,2138
251,2138
252,2138
253,2138
254,2138
255,2138
256,2138
257,2138
258,2138
259,2138
260,2138
261,2138
262,2138
263,2138
264,2138
265,2138
266,2138
267,2138
268,2138
269,2138
270,2138
271,2138
272,2138
273,2138
274,2138
275,2138
276,2138
277,2138
278,2138
279,2138
280,2138
281,2138
282,2138
283,2138
