Parameter,Value
FCR_VRE,0
LifeTimeVRE,30
FCR_GasCC,0
LifeTimeGasCC,30
GenMix_Target,0
AlphaNuclear,12
AlphaLargHy,1
AlphaOtheRe,1
r,0.06
EUE_max,0
