*Hour,Exports
1,14500
2,14500
3,14500
4,14500
5,14500
6,14500
7,14500
8,14500
9,14500
10,14500
11,14500
12,14500
13,14500
14,14500
15,14500
16,14500
17,14500
18,14500
19,14500
20,14500
21,14500
22,14500
23,14500
24,14500
25,14500
26,14500
27,14500
28,14500
29,14500
30,14500
31,14500
32,14500
33,14500
34,14500
35,14500
36,14500
37,14500
38,14500
39,14500
40,14500
41,14500
42,14500
43,14500
44,14500
45,14500
46,14500
47,14500
48,14500
49,14500
50,14500
51,14500
52,14500
53,14500
54,14500
55,14500
56,14500
57,14500
58,14500
59,14500
60,14500
61,14500
62,14500
63,14500
64,14500
65,14500
66,14500
67,14500
68,14500
69,14500
70,14500
71,14500
72,14500
73,14500
74,14500
75,14500
76,14500
77,14500
78,14500
79,14500
80,14500
81,14500
82,14500
83,14500
84,14500
85,14500
86,14500
87,14500
88,14500
89,14500
90,14500
91,14500
92,14500
93,14500
94,14500
95,14500
96,14500
97,14500
98,14500
99,14500
100,14500
101,14500
102,14500
103,14500
104,14500
105,14500
106,14500
107,14500
108,14500
109,14500
110,14500
111,14500
112,14500
113,14500
114,14500
115,14500
116,14500
117,14500
118,14500
119,14500
120,14500
121,14500
122,14500
123,14500
124,14500
125,14500
126,14500
127,14500
128,14500
129,14500
130,14500
131,14500
132,14500
133,14500
134,14500
135,14500
136,14500
137,14500
138,14500
139,14500
140,14500
141,14500
142,14500
143,14500
144,14500
145,14500
146,14500
147,14500
148,14500
149,14500
150,14500
151,14500
152,14500
153,14500
154,14500
155,14500
156,14500
157,14500
158,14500
159,14500
160,14500
161,14500
162,14500
163,14500
164,14500
165,14500
166,14500
167,14500
168,14500
169,14500
170,14500
171,14500
172,14500
173,14500
174,14500
175,14500
176,14500
177,14500
178,14500
179,14500
180,14500
181,14500
182,14500
183,14500
184,14500
185,14500
186,14500
187,14500
188,14500
189,14500
190,14500
191,14500
192,14500
193,14500
194,14500
195,14500
196,14500
197,14500
198,14500
199,14500
200,14500
201,14500
202,14500
203,14500
204,14500
205,14500
206,14500
207,14500
208,14500
209,14500
210,14500
211,14500
212,14500
213,14500
214,14500
215,14500
216,14500
217,14500
218,14500
219,14500
220,14500
221,14500
222,14500
223,14500
224,14500
225,14500
226,14500
227,14500
228,14500
229,14500
230,14500
231,14500
232,14500
233,14500
234,14500
235,14500
236,14500
237,14500
238,14500
239,14500
240,14500
241,14500
242,14500
243,14500
244,14500
245,14500
246,14500
247,14500
248,14500
249,14500
250,14500
251,14500
252,14500
253,14500
254,14500
255,14500
256,14500
257,14500
258,14500
259,14500
260,14500
261,14500
262,14500
263,14500
264,14500
265,14500
266,14500
267,14500
268,14500
269,14500
270,14500
271,14500
272,14500
273,14500
274,14500
275,14500
276,14500
277,14500
278,14500
279,14500
280,14500
281,14500
282,14500
283,14500
284,14500
285,14500
286,14500
287,14500
288,14500
289,14500
290,14500
291,14500
292,14500
293,14500
294,14500
295,14500
296,14500
297,14500
298,14500
299,14500
300,14500
301,14500
302,14500
303,14500
304,14500
305,14500
306,14500
307,14500
308,14500
309,14500
310,14500
311,14500
312,14500
313,14500
314,14500
315,14500
316,14500
317,14500
318,14500
319,14500
320,14500
321,14500
322,14500
323,14500
324,14500
325,14500
326,14500
327,14500
328,14500
329,14500
330,14500
331,14500
332,14500
333,14500
334,14500
335,14500
336,14500
337,14500
338,14500
339,14500
340,14500
341,14500
342,14500
343,14500
344,14500
345,14500
346,14500
347,14500
348,14500
349,14500
350,14500
351,14500
352,14500
353,14500
354,14500
355,14500
356,14500
357,14500
358,14500
359,14500
360,14500
361,14500
362,14500
363,14500
364,14500
365,14500
366,14500
367,14500
368,14500
369,14500
370,14500
371,14500
372,14500
373,14500
374,14500
375,14500
376,14500
377,14500
378,14500
379,14500
380,14500
381,14500
382,14500
383,14500
384,14500
385,14500
386,14500
387,14500
388,14500
389,14500
390,14500
391,14500
392,14500
393,14500
394,14500
395,14500
396,14500
397,14500
398,14500
399,14500
400,14500
401,14500
402,14500
403,14500
404,14500
405,14500
406,14500
407,14500
408,14500
409,14500
410,14500
411,14500
412,14500
413,14500
414,14500
415,14500
416,14500
417,14500
418,14500
419,14500
420,14500
421,14500
422,14500
423,14500
424,14500
425,14500
426,14500
427,14500
428,14500
429,14500
430,14500
431,14500
432,14500
433,14500
434,14500
435,14500
436,14500
437,14500
438,14500
439,14500
440,14500
441,14500
442,14500
443,14500
444,14500
445,14500
446,14500
447,14500
448,14500
449,14500
450,14500
451,14500
452,14500
453,14500
454,14500
455,14500
456,14500
457,14500
458,14500
459,14500
460,14500
461,14500
462,14500
463,14500
464,14500
465,14500
466,14500
467,14500
468,14500
469,14500
470,14500
471,14500
472,14500
473,14500
474,14500
475,14500
476,14500
477,14500
478,14500
479,14500
480,14500
481,14500
482,14500
483,14500
484,14500
485,14500
486,14500
487,14500
488,14500
489,14500
490,14500
491,14500
492,14500
493,14500
494,14500
495,14500
496,14500
497,14500
498,14500
499,14500
500,14500
501,14500
502,14500
503,14500
504,14500
505,14500
506,14500
507,14500
508,14500
509,14500
510,14500
511,14500
512,14500
513,14500
514,14500
515,14500
516,14500
517,14500
518,14500
519,14500
520,14500
521,14500
522,14500
523,14500
524,14500
525,14500
526,14500
527,14500
528,14500
529,14500
530,14500
531,14500
532,14500
533,14500
534,14500
535,14500
536,14500
537,14500
538,14500
539,14500
540,14500
541,14500
542,14500
543,14500
544,14500
545,14500
546,14500
547,14500
548,14500
549,14500
550,14500
551,14500
552,14500
553,14500
554,14500
555,14500
556,14500
557,14500
558,14500
559,14500
560,14500
561,14500
562,14500
563,14500
564,14500
565,14500
566,14500
567,14500
568,14500
569,14500
570,14500
571,14500
572,14500
573,14500
574,14500
575,14500
576,14500
577,14500
578,14500
579,14500
580,14500
581,14500
582,14500
583,14500
584,14500
585,14500
586,14500
587,14500
588,14500
589,14500
590,14500
591,14500
592,14500
593,14500
594,14500
595,14500
596,14500
597,14500
598,14500
599,14500
600,14500
601,14500
602,14500
603,14500
604,14500
605,14500
606,14500
607,14500
608,14500
609,14500
610,14500
611,14500
612,14500
613,14500
614,14500
615,14500
616,14500
617,14500
618,14500
619,14500
620,14500
621,14500
622,14500
623,14500
624,14500
625,14500
626,14500
627,14500
