* Conditionele overschrijdingskans zeewaterstand Maasmond 1985, per windrichting, voor 12-uursperioden.
*
* Door:    C.P.M. Geerse van HKV lijn in water
* Datum:   5 juli 2016
* Project: PR 3341.10
*
* Zie voor achtergronden het rapport:
* Werkwijze uitintegreren onzekerheden basisstochasten voor Hydra-NL. Update februari 2016
* Afvoeren, meerpeilen, zeewaterstanden en windsnelheden. 
* Chris Geerse. HKV Lijn in Water, februari 2016.
*
* N.B. Vermoedelijk zijn de figuren 4-15 en 4-16 uit dat rapport niet correct (mogelijk bevatten ze zeespiegelstijging).
* Onderstaande getallen zijn opnieuw uitgerekend, met de onzekerheidsgegevens uit Tabel 4-27 van dat rapport.
*
* 
* Tijdsperiode: 12 uur.
*
* Richt.NNO         NO          ONO         O           OZO         ZO          ZZO         Z           ZZW         ZW          WZW         W           WNW         NW          NNW         N
3.40    4.331E-08   2.980E-08   1.814E-08   2.093E-08   2.434E-08   2.133E-08   1.654E-08   1.204E-08   8.943E-09   2.509E-08   2.125E-06   6.356E-05   2.256E-04   5.156E-04   2.301E-04   3.106E-05
3.50    2.541E-08   1.749E-08   1.065E-08   1.228E-08   1.428E-08   1.252E-08   9.703E-09   7.065E-09   5.247E-09   1.190E-08   1.207E-06   4.134E-05   1.544E-04   3.778E-04   1.637E-04   2.072E-05
3.60    1.493E-08   1.027E-08   6.255E-09   7.215E-09   8.391E-09   7.352E-09   5.700E-09   4.151E-09   3.083E-09   5.671E-09   6.866E-07   2.690E-05   1.057E-04   2.769E-04   1.165E-04   1.383E-05
3.70    8.780E-09   6.042E-09   3.678E-09   4.243E-09   4.935E-09   4.324E-09   3.353E-09   2.441E-09   1.813E-09   2.752E-09   3.950E-07   1.765E-05   7.286E-05   2.041E-04   8.346E-05   9.304E-06
3.80    5.168E-09   3.557E-09   2.165E-09   2.498E-09   2.905E-09   2.546E-09   1.974E-09   1.437E-09   1.067E-09   1.357E-09   2.295E-07   1.166E-05   5.053E-05   1.512E-04   6.011E-05   6.299E-06
3.90    3.045E-09   2.096E-09   1.276E-09   1.472E-09   1.712E-09   1.500E-09   1.163E-09   8.467E-10   6.289E-10   6.761E-10   1.340E-07   7.738E-06   3.517E-05   1.124E-04   4.344E-05   4.282E-06
4.00    1.796E-09   1.236E-09   7.524E-10   8.679E-10   1.009E-09   8.845E-10   6.857E-10   4.993E-10   3.708E-10   3.398E-10   7.869E-08   5.153E-06   2.456E-05   8.371E-05   3.147E-05   2.921E-06
4.10    1.060E-09   7.294E-10   4.441E-10   5.122E-10   5.957E-10   5.220E-10   4.047E-10   2.947E-10   2.189E-10   1.721E-10   4.638E-08   3.440E-06   1.719E-05   6.247E-05   2.285E-05   1.997E-06
4.20    6.260E-10   4.308E-10   2.623E-10   3.025E-10   3.519E-10   3.083E-10   2.390E-10   1.740E-10   1.293E-10   8.774E-11   2.743E-08   2.302E-06   1.205E-05   4.668E-05   1.661E-05   1.368E-06
4.30    3.700E-10   2.546E-10   1.550E-10   1.788E-10   2.080E-10   1.822E-10   1.413E-10   1.029E-10   7.641E-11   4.508E-11   1.629E-08   1.545E-06   8.471E-06   3.496E-05   1.211E-05   9.404E-07
4.40    2.189E-10   1.506E-10   9.170E-11   1.058E-10   1.230E-10   1.078E-10   8.358E-11   6.085E-11   4.520E-11   2.343E-11   9.751E-09   1.043E-06   5.986E-06   2.629E-05   8.870E-06   6.498E-07
4.50    1.296E-10   8.916E-11   5.428E-11   6.262E-11   7.283E-11   6.381E-11   4.947E-11   3.602E-11   2.675E-11   1.237E-11   5.895E-09   7.096E-07   4.257E-06   1.987E-05   6.531E-06   4.521E-07
4.60    7.674E-11   5.282E-11   3.215E-11   3.709E-11   4.314E-11   3.780E-11   2.930E-11   2.134E-11   1.585E-11   6.628E-12   3.597E-09   4.857E-07   3.044E-06   1.508E-05   4.832E-06   3.164E-07
4.70    4.549E-11   3.131E-11   1.906E-11   2.199E-11   2.557E-11   2.240E-11   1.737E-11   1.265E-11   9.394E-12   3.599E-12   2.210E-09   3.339E-07   2.185E-06   1.148E-05   3.586E-06   2.223E-07
4.80    2.698E-11   1.857E-11   1.131E-11   1.304E-11   1.517E-11   1.329E-11   1.030E-11   7.502E-12   5.572E-12   1.978E-12   1.365E-09   2.304E-07   1.573E-06   8.758E-06   2.669E-06   1.567E-07
4.90    1.601E-11   1.102E-11   6.710E-12   7.740E-12   9.002E-12   7.888E-12   6.115E-12   4.453E-12   3.307E-12   1.103E-12   8.464E-10   1.595E-07   1.135E-06   6.696E-06   1.991E-06   1.108E-07
5.00    9.512E-12   6.546E-12   3.985E-12   4.597E-12   5.347E-12   4.685E-12   3.632E-12   2.645E-12   1.964E-12   6.256E-13   5.274E-10   1.108E-07   8.221E-07   5.132E-06   1.489E-06   7.861E-08
5.10    5.653E-12   3.890E-12   2.368E-12   2.732E-12   3.177E-12   2.784E-12   2.158E-12   1.572E-12   1.167E-12   3.640E-13   3.302E-10   7.724E-08   5.974E-07   3.944E-06   1.117E-06   5.596E-08
5.20    3.361E-12   2.313E-12   1.408E-12   1.625E-12   1.889E-12   1.655E-12   1.284E-12   9.346E-13   6.941E-13   2.194E-13   2.079E-10   5.411E-08   4.359E-07   3.042E-06   8.415E-07   4.001E-08
5.30    2.000E-12   1.376E-12   8.380E-13   9.666E-13   1.124E-12   9.850E-13   7.637E-13   5.560E-13   4.130E-13   1.387E-13   1.318E-10   3.810E-08   3.196E-07   2.355E-06   6.365E-07   2.876E-08
5.40    1.191E-12   8.195E-13   4.988E-13   5.754E-13   6.692E-13   5.864E-13   4.546E-13   3.311E-13   2.459E-13   9.310E-14   8.420E-11   2.699E-08   2.355E-07   1.830E-06   4.835E-07   2.077E-08
5.50    7.093E-13   4.882E-13   2.972E-13   3.428E-13   3.987E-13   3.493E-13   2.709E-13   1.972E-13   1.464E-13   6.683E-14   5.420E-11   1.922E-08   1.743E-07   1.428E-06   3.688E-07   1.508E-08
5.60    4.228E-13   2.910E-13   1.771E-13   2.043E-13   2.376E-13   2.082E-13   1.614E-13   1.176E-13   8.726E-14   5.129E-14   3.513E-11   1.375E-08   1.296E-07   1.117E-06   2.823E-07   1.100E-08
5.70    2.521E-13   1.735E-13   1.056E-13   1.218E-13   1.417E-13   1.241E-13   9.626E-14   7.006E-14   5.207E-14   4.176E-14   2.292E-11   9.881E-09   9.669E-08   8.767E-07   2.168E-07   8.052E-09
5.80    1.504E-13   1.035E-13   6.306E-14   7.272E-14   8.460E-14   7.405E-14   5.740E-14   4.186E-14   3.109E-14   3.562E-14   1.503E-11   7.127E-09   7.237E-08   6.896E-07   1.669E-07   5.915E-09
5.90    8.982E-14   6.184E-14   3.764E-14   4.341E-14   5.052E-14   4.419E-14   3.431E-14   2.498E-14   1.854E-14   3.145E-14   9.900E-12   5.156E-09   5.432E-08   5.436E-07   1.288E-07   4.358E-09
6.00    5.362E-14   3.697E-14   2.243E-14   2.598E-14   3.020E-14   2.642E-14   2.043E-14   1.488E-14   1.110E-14   2.841E-14   6.550E-12   3.742E-09   4.087E-08   4.294E-07   9.966E-08   3.219E-09
6.10    3.209E-14   2.209E-14   1.343E-14   1.554E-14   1.799E-14   1.577E-14   1.221E-14   8.882E-15   6.661E-15   2.604E-14   4.352E-12   2.723E-09   3.083E-08   3.397E-07   7.726E-08   2.384E-09
6.20    1.921E-14   1.321E-14   7.994E-15   9.215E-15   1.077E-14   9.437E-15   7.327E-15   5.329E-15   3.997E-15   2.407E-14   2.903E-12   1.987E-09   2.331E-08   2.693E-07   6.001E-08   1.770E-09
6.30    1.144E-14   7.883E-15   4.774E-15   5.551E-15   6.439E-15   5.662E-15   4.330E-15   3.220E-15   2.331E-15   2.235E-14   1.945E-12   1.453E-09   1.767E-08   2.138E-07   4.670E-08   1.317E-09
6.40    6.883E-15   4.774E-15   2.887E-15   3.331E-15   3.886E-15   3.331E-15   2.665E-15   1.887E-15   1.443E-15   2.078E-14   1.309E-12   1.066E-09   1.342E-08   1.700E-07   3.641E-08   9.823E-10
6.50    4.108E-15   2.776E-15   1.776E-15   1.998E-15   2.331E-15   1.998E-15   1.554E-15   1.110E-15   8.882E-16   1.931E-14   8.847E-13   7.832E-10   1.021E-08   1.353E-07   2.843E-08   7.342E-10
6.60    2.442E-15   1.665E-15   9.992E-16   1.221E-15   1.332E-15   1.221E-15   8.882E-16   6.661E-16   5.551E-16   1.791E-14   6.011E-13   5.769E-10   7.784E-09   1.079E-07   2.224E-08   5.499E-10
6.70    1.443E-15   9.992E-16   6.661E-16   6.661E-16   7.772E-16   7.772E-16   5.551E-16   4.441E-16   3.331E-16   1.657E-14   4.108E-13   4.259E-10   5.945E-09   8.609E-08   1.742E-08   4.126E-10
6.80    8.882E-16   5.551E-16   3.331E-16   4.441E-16   4.441E-16   4.441E-16   3.331E-16   2.220E-16   2.220E-16   1.528E-14   2.825E-13   3.150E-10   4.548E-09   6.876E-08   1.366E-08   3.102E-10
6.90    5.551E-16   3.331E-16   2.220E-16   2.220E-16   3.331E-16   2.220E-16   2.220E-16   1.110E-16   1.110E-16   1.403E-14   1.956E-13   2.335E-10   3.485E-09   5.496E-08   1.072E-08   2.336E-10
7.00    3.331E-16   2.220E-16   1.110E-16   1.110E-16   2.220E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   1.283E-14   1.366E-13   1.734E-10   2.674E-09   4.395E-08   8.424E-09   1.762E-10
7.10    2.220E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   0.000E+00   0.000E+00   1.167E-14   9.619E-14   1.290E-10   2.054E-09   3.515E-08   6.623E-09   1.330E-10
7.20    1.110E-16   1.110E-16   0.000E+00   1.110E-16   1.110E-16   1.110E-16   0.000E+00   0.000E+00   0.000E+00   1.057E-14   6.845E-14   9.605E-11   1.579E-09   2.812E-08   5.210E-09   1.006E-10
7.30    1.110E-16   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   9.511E-15   4.924E-14   7.165E-11   1.216E-09   2.248E-08   4.099E-09   7.616E-11
7.40    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   8.512E-15   3.585E-14   5.351E-11   9.360E-10   1.797E-08   3.225E-09   5.771E-11
7.50    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   7.571E-15   2.642E-14   4.001E-11   7.210E-10   1.435E-08   2.537E-09   4.376E-11
7.60    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   6.691E-15   1.972E-14   2.993E-11   5.554E-10   1.145E-08   1.994E-09   3.319E-11
7.70    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   5.874E-15   1.490E-14   2.241E-11   4.278E-10   9.116E-09   1.566E-09   2.518E-11
7.80    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   5.120E-15   1.138E-14   1.678E-11   3.292E-10   7.246E-09   1.228E-09   1.910E-11
7.90    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   4.431E-15   8.783E-15   1.257E-11   2.532E-10   5.747E-09   9.615E-10   1.448E-11
8.00    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   3.806E-15   6.837E-15   9.406E-12   1.945E-10   4.546E-09   7.513E-10   1.097E-11
