* Conditionele overschrijdingskans zeewaterstand Maasmond 1985, per windrichting, voor 12-uursperioden.
*
* Door:    M.T. Duits van HKV lijn in water
* Datum:   15 juli 2016
* Project: PR3341.10
*
* Zie voor beschrijving het rapport:
* Werkwijze uitintegreren onzekerheden basisstochasten voor Hydra-NL.
* Afvoeren, meerpeilen, zeewaterstanden en windsnelheden. 
* Chris Geerse. HKV Lijn in Water, december 2015.
* 
* Tijdsperiode: 12 uur.
*
* Richt.NNO         NO          ONO         O           OZO         ZO          ZZO         Z           ZZW         ZW          WZW         W           WNW         NW          NNW         N
1.60    1.741E-02   1.414E-02   1.223E-02   1.370E-02   1.901E-02   1.773E-02   1.353E-02   1.057E-02   8.688E-03   6.027E-02   1.343E-01   2.830E-01   3.216E-01   1.873E-01   1.384E-01   5.525E-02
1.70    5.973E-03   4.849E-03   4.195E-03   4.698E-03   6.520E-03   6.081E-03   4.641E-03   3.627E-03   2.980E-03   2.605E-02   7.022E-02   1.705E-01   2.060E-01   1.286E-01   9.213E-02   3.435E-02
1.80    2.069E-03   1.680E-03   1.453E-03   1.627E-03   2.258E-03   2.106E-03   1.608E-03   1.256E-03   1.032E-03   1.129E-02   3.691E-02   1.034E-01   1.327E-01   8.874E-02   6.166E-02   2.146E-02
1.90    7.291E-04   5.919E-04   5.120E-04   5.734E-04   7.958E-04   7.422E-04   5.665E-04   4.427E-04   3.637E-04   4.900E-03   1.950E-02   6.300E-02   8.587E-02   6.156E-02   4.148E-02   1.348E-02
2.00    2.642E-04   2.145E-04   1.856E-04   2.078E-04   2.884E-04   2.690E-04   2.053E-04   1.604E-04   1.318E-04   2.133E-03   1.035E-02   3.860E-02   5.583E-02   4.291E-02   2.804E-02   8.503E-03
2.10    9.989E-05   8.109E-05   7.015E-05   7.856E-05   1.090E-04   1.017E-04   7.761E-05   6.066E-05   4.983E-05   9.308E-04   5.523E-03   2.377E-02   3.646E-02   3.005E-02   1.904E-02   5.389E-03
2.20    4.003E-05   3.250E-05   2.811E-05   3.148E-05   4.370E-05   4.075E-05   3.110E-05   2.431E-05   1.997E-05   4.074E-04   2.961E-03   1.470E-02   2.391E-02   2.113E-02   1.298E-02   3.431E-03
2.30    1.722E-05   1.398E-05   1.210E-05   1.355E-05   1.880E-05   1.753E-05   1.338E-05   1.046E-05   8.593E-06   1.789E-04   1.595E-03   9.139E-03   1.574E-02   1.492E-02   8.891E-03   2.193E-03
2.40    7.989E-06   6.486E-06   5.611E-06   6.283E-06   8.720E-06   8.133E-06   6.207E-06   4.851E-06   3.986E-06   7.886E-05   8.628E-04   5.706E-03   1.040E-02   1.058E-02   6.112E-03   1.408E-03
2.50    3.970E-06   3.223E-06   2.788E-06   3.122E-06   4.333E-06   4.041E-06   3.085E-06   2.411E-06   1.980E-06   3.489E-05   4.689E-04   3.577E-03   6.897E-03   7.524E-03   4.217E-03   9.070E-04
2.60    2.084E-06   1.692E-06   1.464E-06   1.639E-06   2.275E-06   2.122E-06   1.620E-06   1.266E-06   1.040E-06   1.550E-05   2.559E-04   2.252E-03   4.589E-03   5.371E-03   2.919E-03   5.867E-04
2.70    1.139E-06   9.245E-07   7.998E-07   8.956E-07   1.243E-06   1.159E-06   8.849E-07   6.915E-07   5.682E-07   6.919E-06   1.402E-04   1.423E-03   3.064E-03   3.847E-03   2.028E-03   3.808E-04
2.80    6.389E-07   5.187E-07   4.487E-07   5.025E-07   6.974E-07   6.504E-07   4.965E-07   3.880E-07   3.188E-07   3.103E-06   7.716E-05   9.023E-04   2.052E-03   2.764E-03   1.414E-03   2.481E-04
2.90    3.646E-07   2.960E-07   2.561E-07   2.867E-07   3.980E-07   3.711E-07   2.833E-07   2.214E-07   1.819E-07   1.399E-06   4.262E-05   5.743E-04   1.379E-03   1.992E-03   9.882E-04   1.622E-04
3.00    2.103E-07   1.707E-07   1.477E-07   1.654E-07   2.295E-07   2.140E-07   1.634E-07   1.277E-07   1.049E-07   6.343E-07   2.363E-05   3.667E-04   9.291E-04   1.440E-03   6.930E-04   1.063E-04
3.10    1.221E-07   9.910E-08   8.573E-08   9.600E-08   1.332E-07   1.243E-07   9.485E-08   7.412E-08   6.090E-08   2.892E-07   1.315E-05   2.350E-04   6.278E-04   1.044E-03   4.873E-04   6.995E-05
3.20    7.117E-08   5.777E-08   4.998E-08   5.597E-08   7.768E-08   7.245E-08   5.530E-08   4.321E-08   3.550E-08   1.326E-07   7.341E-06   1.510E-04   4.254E-04   7.585E-04   3.436E-04   4.615E-05
3.30    4.161E-08   3.378E-08   2.922E-08   3.272E-08   4.542E-08   4.236E-08   3.233E-08   2.527E-08   2.076E-08   6.118E-08   4.113E-06   9.734E-05   2.890E-04   5.526E-04   2.430E-04   3.054E-05
3.40    2.438E-08   1.979E-08   1.712E-08   1.917E-08   2.661E-08   2.482E-08   1.894E-08   1.480E-08   1.216E-08   2.840E-08   2.312E-06   6.292E-05   1.969E-04   4.037E-04   1.722E-04   2.027E-05
3.50    1.430E-08   1.161E-08   1.005E-08   1.125E-08   1.561E-08   1.456E-08   1.111E-08   8.686E-09   7.136E-09   1.326E-08   1.303E-06   4.079E-05   1.344E-04   2.956E-04   1.224E-04   1.349E-05
3.60    8.403E-09   6.822E-09   5.902E-09   6.609E-09   9.172E-09   8.554E-09   6.529E-09   5.103E-09   4.192E-09   6.230E-09   7.369E-07   2.651E-05   9.204E-05   2.169E-04   8.718E-05   8.997E-06
3.70    4.942E-09   4.012E-09   3.471E-09   3.887E-09   5.394E-09   5.031E-09   3.840E-09   3.001E-09   2.466E-09   2.944E-09   4.179E-07   1.728E-05   6.315E-05   1.595E-04   6.225E-05   6.018E-06
3.80    2.909E-09   2.362E-09   2.043E-09   2.288E-09   3.176E-09   2.962E-09   2.261E-09   1.767E-09   1.451E-09   1.399E-09   2.376E-07   1.129E-05   4.343E-05   1.176E-04   4.454E-05   4.035E-06
3.90    1.714E-09   1.392E-09   1.204E-09   1.348E-09   1.871E-09   1.745E-09   1.332E-09   1.041E-09   8.552E-10   6.683E-10   1.355E-07   7.390E-06   2.994E-05   8.686E-05   3.194E-05   2.712E-06
4.00    1.011E-09   8.206E-10   7.099E-10   7.950E-10   1.103E-09   1.029E-09   7.854E-10   6.138E-10   5.043E-10   3.209E-10   7.742E-08   4.851E-06   2.068E-05   6.429E-05   2.296E-05   1.827E-06
4.10    5.966E-10   4.843E-10   4.190E-10   4.692E-10   6.512E-10   6.073E-10   4.636E-10   3.623E-10   2.976E-10   1.549E-10   4.436E-08   3.191E-06   1.432E-05   4.768E-05   1.653E-05   1.233E-06
4.20    3.524E-10   2.861E-10   2.475E-10   2.771E-10   3.846E-10   3.587E-10   2.738E-10   2.140E-10   1.758E-10   7.507E-11   2.547E-08   2.103E-06   9.930E-06   3.542E-05   1.193E-05   8.344E-07
4.30    2.083E-10   1.691E-10   1.463E-10   1.638E-10   2.273E-10   2.120E-10   1.618E-10   1.265E-10   1.039E-10   3.654E-11   1.466E-08   1.389E-06   6.902E-06   2.637E-05   8.625E-06   5.657E-07
4.40    1.232E-10   1.000E-10   8.653E-11   9.689E-11   1.345E-10   1.254E-10   9.573E-11   7.481E-11   6.146E-11   1.785E-11   8.458E-09   9.196E-07   4.807E-06   1.966E-05   6.247E-06   3.843E-07
4.50    7.293E-11   5.920E-11   5.122E-11   5.735E-11   7.960E-11   7.424E-11   5.667E-11   4.428E-11   3.638E-11   8.755E-12   4.889E-09   6.099E-07   3.354E-06   1.469E-05   4.533E-06   2.615E-07
4.60    4.320E-11   3.507E-11   3.034E-11   3.397E-11   4.715E-11   4.397E-11   3.357E-11   2.623E-11   2.155E-11   4.307E-12   2.832E-09   4.053E-07   2.345E-06   1.099E-05   3.296E-06   1.783E-07
4.70    2.561E-11   2.079E-11   1.798E-11   2.014E-11   2.795E-11   2.607E-11   1.990E-11   1.555E-11   1.277E-11   2.125E-12   1.643E-09   2.698E-07   1.642E-06   8.238E-06   2.400E-06   1.218E-07
4.80    1.519E-11   1.233E-11   1.067E-11   1.194E-11   1.658E-11   1.546E-11   1.180E-11   9.223E-12   7.577E-12   1.051E-12   9.553E-10   1.799E-07   1.152E-06   6.185E-06   1.751E-06   8.337E-08
4.90    9.015E-12   7.318E-12   6.331E-12   7.090E-12   9.840E-12   9.177E-12   7.005E-12   5.474E-12   4.498E-12   5.212E-13   5.564E-10   1.202E-07   8.099E-07   4.650E-06   1.279E-06   5.715E-08
5.00    5.354E-12   4.347E-12   3.760E-12   4.211E-12   5.844E-12   5.450E-12   4.160E-12   3.251E-12   2.671E-12   2.590E-13   3.246E-10   8.045E-08   5.702E-07   3.502E-06   9.360E-07   3.924E-08
5.10    3.182E-12   2.583E-12   2.235E-12   2.502E-12   3.473E-12   3.239E-12   2.472E-12   1.932E-12   1.587E-12   1.290E-13   1.897E-10   5.393E-08   4.021E-07   2.641E-06   6.861E-07   2.699E-08
5.20    1.892E-12   1.536E-12   1.329E-12   1.488E-12   2.065E-12   1.926E-12   1.470E-12   1.149E-12   9.439E-13   6.428E-14   1.110E-10   3.621E-08   2.841E-07   1.994E-06   5.037E-07   1.859E-08
5.30    1.126E-12   9.139E-13   7.907E-13   8.854E-13   1.229E-12   1.146E-12   8.747E-13   6.836E-13   5.617E-13   3.209E-14   6.509E-11   2.435E-08   2.010E-07   1.508E-06   3.703E-07   1.283E-08
5.40    6.702E-13   5.441E-13   4.707E-13   5.271E-13   7.316E-13   6.822E-13   5.208E-13   4.070E-13   3.344E-13   1.610E-14   3.822E-11   1.640E-08   1.424E-07   1.142E-06   2.726E-07   8.861E-09
5.50    3.992E-13   3.241E-13   2.804E-13   3.140E-13   4.358E-13   4.065E-13   3.102E-13   2.425E-13   1.992E-13   8.105E-15   2.247E-11   1.106E-08   1.011E-07   8.664E-07   2.010E-07   6.130E-09
5.60    2.379E-13   1.932E-13   1.671E-13   1.872E-13   2.598E-13   2.423E-13   1.849E-13   1.446E-13   1.187E-13   3.997E-15   1.323E-11   7.475E-09   7.186E-08   6.580E-07   1.484E-07   4.247E-09
5.70    1.419E-13   1.152E-13   9.970E-14   1.116E-13   1.549E-13   1.444E-13   1.102E-13   8.615E-14   7.083E-14   1.998E-15   7.800E-12   5.057E-09   5.116E-08   5.003E-07   1.097E-07   2.947E-09
5.80    8.471E-14   6.872E-14   5.951E-14   6.661E-14   9.248E-14   8.615E-14   6.584E-14   5.140E-14   4.230E-14   9.992E-16   4.605E-12   3.426E-09   3.647E-08   3.809E-07   8.123E-08   2.047E-09
5.90    5.052E-14   4.108E-14   3.553E-14   3.975E-14   5.518E-14   5.151E-14   3.930E-14   3.064E-14   2.520E-14   5.551E-16   2.722E-12   2.324E-09   2.604E-08   2.903E-07   6.021E-08   1.424E-09
6.00    3.020E-14   2.454E-14   2.121E-14   2.376E-14   3.297E-14   3.075E-14   2.343E-14   1.832E-14   1.510E-14   2.220E-16   1.611E-12   1.579E-09   1.861E-08   2.216E-07   4.469E-08   9.915E-10
6.10    1.810E-14   1.465E-14   1.266E-14   1.421E-14   1.965E-14   1.832E-14   1.399E-14   1.099E-14   8.993E-15   1.110E-16   9.543E-13   1.074E-09   1.333E-08   1.693E-07   3.321E-08   6.914E-10
6.20    1.077E-14   8.771E-15   7.550E-15   8.438E-15   1.177E-14   1.099E-14   8.438E-15   6.550E-15   5.329E-15   1.110E-16   5.661E-13   7.318E-10   9.554E-09   1.295E-07   2.471E-08   4.826E-10
6.30    6.439E-15   5.218E-15   4.552E-15   5.107E-15   6.994E-15   6.550E-15   4.996E-15   3.886E-15   3.220E-15   0.000E+00   3.362E-13   4.991E-10   6.858E-09   9.920E-08   1.841E-08   3.373E-10
6.40    3.886E-15   3.109E-15   2.665E-15   2.998E-15   4.219E-15   3.886E-15   2.998E-15   2.331E-15   1.887E-15   0.000E+00   1.998E-13   3.408E-10   4.929E-09   7.605E-08   1.373E-08   2.360E-10
6.50    2.331E-15   1.887E-15   1.665E-15   1.776E-15   2.554E-15   2.331E-15   1.776E-15   1.443E-15   1.110E-15   0.000E+00   1.189E-13   2.330E-10   3.548E-09   5.838E-08   1.025E-08   1.653E-10
6.60    1.332E-15   1.110E-15   9.992E-16   1.110E-15   1.554E-15   1.443E-15   1.110E-15   8.882E-16   6.661E-16   0.000E+00   7.083E-14   1.595E-10   2.556E-09   4.485E-08   7.663E-09   1.159E-10
6.70    7.772E-16   6.661E-16   5.551E-16   6.661E-16   8.882E-16   8.882E-16   6.661E-16   5.551E-16   4.441E-16   0.000E+00   4.219E-14   1.093E-10   1.844E-09   3.450E-08   5.735E-09   8.137E-11
6.80    4.441E-16   4.441E-16   3.331E-16   4.441E-16   5.551E-16   5.551E-16   3.331E-16   3.331E-16   2.220E-16   0.000E+00   2.520E-14   7.503E-11   1.332E-09   2.656E-08   4.296E-09   5.717E-11
6.90    3.331E-16   2.220E-16   2.220E-16   2.220E-16   3.331E-16   3.331E-16   2.220E-16   2.220E-16   1.110E-16   0.000E+00   1.510E-14   5.154E-11   9.635E-10   2.047E-08   3.222E-09   4.021E-11
7.00    2.220E-16   1.110E-16   1.110E-16   1.110E-16   2.220E-16   2.220E-16   1.110E-16   1.110E-16   1.110E-16   0.000E+00   8.993E-15   3.545E-11   6.976E-10   1.580E-08   2.419E-09   2.831E-11
7.10    1.110E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   0.000E+00   0.000E+00   5.440E-15   2.441E-11   5.057E-10   1.220E-08   1.818E-09   1.995E-11
7.20    1.110E-16   0.000E+00   0.000E+00   0.000E+00   1.110E-16   1.110E-16   0.000E+00   0.000E+00   0.000E+00   0.000E+00   3.220E-15   1.682E-11   3.670E-10   9.430E-09   1.368E-09   1.407E-11
7.30    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   1.887E-15   1.161E-11   2.666E-10   7.297E-09   1.030E-09   9.936E-12
7.40    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   1.110E-15   8.017E-12   1.939E-10   5.651E-09   7.762E-10   7.021E-12
7.50    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   6.661E-16   5.543E-12   1.412E-10   4.380E-09   5.856E-10   4.966E-12
7.60    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   4.441E-16   3.836E-12   1.029E-10   3.399E-09   4.422E-10   3.515E-12
7.70    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   2.220E-16   2.658E-12   7.507E-11   2.639E-09   3.343E-10   2.491E-12
7.80    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   1.110E-16   1.843E-12   5.483E-11   2.051E-09   2.529E-10   1.766E-12
7.90    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   1.110E-16   1.280E-12   4.008E-11   1.596E-09   1.915E-10   1.253E-12
8.00    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   8.890E-13   2.933E-11   1.242E-09   1.451E-10   8.901E-13
