* Conditionele overschrijdingskans zeewaterstand Maasmond 1985, per windrichting, voor 12-uursperioden.
*
* Door:    C.P.M. Geerse van HKV lijn in water
* Datum:   18 december 2015 
* Project: PR3216.10
*
* Zie voor beschrijving het rapport:
* Werkwijze uitintegreren onzekerheden basisstochasten voor Hydra-NL.
* Afvoeren, meerpeilen, zeewaterstanden en windsnelheden. 
* Chris Geerse. HKV Lijn in Water, december 2015.
* 
* Tijdsperiode: 12 uur.
*
* Richt.NNO         NO          ONO         O           OZO         ZO          ZZO         Z           ZZW         ZW          WZW         W           WNW         NW          NNW         N
3.50    2.541E-08   1.749E-08   1.065E-08   1.228E-08   1.428E-08   1.252E-08   9.703E-09   7.065E-09   5.247E-09   1.129E-08   1.183E-06   4.117E-05   1.544E-04   3.794E-04   1.641E-04   2.068E-05
3.60    1.493E-08   1.027E-08   6.255E-09   7.215E-09   8.391E-09   7.352E-09   5.700E-09   4.151E-09   3.083E-09   5.302E-09   6.690E-07   2.676E-05   1.057E-04   2.784E-04   1.169E-04   1.380E-05
3.70    8.780E-09   6.042E-09   3.678E-09   4.243E-09   4.935E-09   4.324E-09   3.353E-09   2.441E-09   1.813E-09   2.505E-09   3.794E-07   1.744E-05   7.253E-05   2.048E-04   8.349E-05   9.227E-06
3.80    5.168E-09   3.557E-09   2.165E-09   2.498E-09   2.905E-09   2.546E-09   1.974E-09   1.437E-09   1.067E-09   1.190E-09   2.157E-07   1.139E-05   4.988E-05   1.509E-04   5.974E-05   6.187E-06
3.90    3.045E-09   2.096E-09   1.276E-09   1.472E-09   1.712E-09   1.500E-09   1.163E-09   8.467E-10   6.289E-10   5.688E-10   1.230E-07   7.459E-06   3.438E-05   1.115E-04   4.284E-05   4.158E-06
4.00    1.796E-09   1.236E-09   7.524E-10   8.679E-10   1.009E-09   8.845E-10   6.857E-10   4.993E-10   3.708E-10   2.731E-10   7.029E-08   4.896E-06   2.375E-05   8.252E-05   3.079E-05   2.801E-06
4.10    1.060E-09   7.294E-10   4.441E-10   5.122E-10   5.957E-10   5.220E-10   4.047E-10   2.947E-10   2.189E-10   1.318E-10   4.027E-08   3.220E-06   1.644E-05   6.119E-05   2.217E-05   1.891E-06
4.20    6.260E-10   4.308E-10   2.623E-10   3.025E-10   3.519E-10   3.083E-10   2.390E-10   1.740E-10   1.293E-10   6.389E-11   2.313E-08   2.123E-06   1.140E-05   4.547E-05   1.600E-05   1.279E-06
4.30    3.700E-10   2.546E-10   1.550E-10   1.788E-10   2.080E-10   1.822E-10   1.413E-10   1.029E-10   7.641E-11   3.110E-11   1.331E-08   1.402E-06   7.927E-06   3.384E-05   1.157E-05   8.673E-07
4.40    2.189E-10   1.506E-10   9.170E-11   1.058E-10   1.230E-10   1.078E-10   8.358E-11   6.085E-11   4.520E-11   1.520E-11   7.679E-09   9.282E-07   5.521E-06   2.524E-05   8.379E-06   5.892E-07
4.50    1.296E-10   8.916E-11   5.428E-11   6.262E-11   7.283E-11   6.381E-11   4.947E-11   3.602E-11   2.675E-11   7.451E-12   4.438E-09   6.156E-07   3.852E-06   1.885E-05   6.080E-06   4.010E-07
4.60    7.674E-11   5.282E-11   3.215E-11   3.709E-11   4.314E-11   3.780E-11   2.930E-11   2.134E-11   1.585E-11   3.666E-12   2.571E-09   4.091E-07   2.693E-06   1.411E-05   4.420E-06   2.735E-07
4.70    4.549E-11   3.131E-11   1.906E-11   2.199E-11   2.557E-11   2.240E-11   1.737E-11   1.265E-11   9.394E-12   1.809E-12   1.492E-09   2.723E-07   1.886E-06   1.057E-05   3.219E-06   1.868E-07
4.80    2.698E-11   1.857E-11   1.131E-11   1.304E-11   1.517E-11   1.329E-11   1.030E-11   7.502E-12   5.572E-12   8.946E-13   8.673E-10   1.816E-07   1.323E-06   7.938E-06   2.348E-06   1.278E-07
4.90    1.601E-11   1.102E-11   6.710E-12   7.740E-12   9.002E-12   7.888E-12   6.115E-12   4.453E-12   3.307E-12   4.436E-13   5.051E-10   1.213E-07   9.301E-07   5.968E-06   1.716E-06   8.764E-08
5.00    9.512E-12   6.546E-12   3.985E-12   4.597E-12   5.347E-12   4.685E-12   3.632E-12   2.645E-12   1.964E-12   2.205E-13   2.947E-10   8.120E-08   6.549E-07   4.494E-06   1.255E-06   6.018E-08
5.10    5.653E-12   3.890E-12   2.368E-12   2.732E-12   3.177E-12   2.784E-12   2.158E-12   1.572E-12   1.167E-12   1.098E-13   1.722E-10   5.443E-08   4.618E-07   3.389E-06   9.202E-07   4.139E-08
5.20    3.361E-12   2.313E-12   1.408E-12   1.625E-12   1.889E-12   1.655E-12   1.284E-12   9.346E-13   6.941E-13   5.473E-14   1.008E-10   3.655E-08   3.262E-07   2.560E-06   6.755E-07   2.851E-08
5.30    2.000E-12   1.376E-12   8.380E-13   9.666E-13   1.124E-12   9.850E-13   7.637E-13   5.560E-13   4.130E-13   2.731E-14   5.910E-11   2.458E-08   2.308E-07   1.936E-06   4.966E-07   1.967E-08
5.40    1.191E-12   8.195E-13   4.988E-13   5.754E-13   6.692E-13   5.864E-13   4.546E-13   3.311E-13   2.459E-13   1.366E-14   3.470E-11   1.655E-08   1.636E-07   1.466E-06   3.656E-07   1.359E-08
5.50    7.093E-13   4.882E-13   2.972E-13   3.428E-13   3.987E-13   3.493E-13   2.709E-13   1.972E-13   1.464E-13   6.883E-15   2.040E-11   1.117E-08   1.161E-07   1.112E-06   2.696E-07   9.400E-09
5.60    4.228E-13   2.910E-13   1.771E-13   2.043E-13   2.376E-13   2.082E-13   1.614E-13   1.176E-13   8.726E-14   3.442E-15   1.201E-11   7.544E-09   8.253E-08   8.445E-07   1.990E-07   6.513E-09
5.70    2.521E-13   1.735E-13   1.056E-13   1.218E-13   1.417E-13   1.241E-13   9.626E-14   7.006E-14   5.207E-14   1.776E-15   7.081E-12   5.104E-09   5.875E-08   6.421E-07   1.472E-07   4.518E-09
5.80    1.504E-13   1.035E-13   6.306E-14   7.272E-14   8.460E-14   7.405E-14   5.740E-14   4.186E-14   3.109E-14   8.882E-16   4.180E-12   3.458E-09   4.188E-08   4.889E-07   1.089E-07   3.139E-09
5.90    8.982E-14   6.184E-14   3.764E-14   4.341E-14   5.052E-14   4.419E-14   3.431E-14   2.498E-14   1.854E-14   4.441E-16   2.471E-12   2.346E-09   2.990E-08   3.727E-07   8.076E-08   2.183E-09
6.00    5.362E-14   3.697E-14   2.243E-14   2.598E-14   3.020E-14   2.642E-14   2.043E-14   1.488E-14   1.110E-14   2.220E-16   1.462E-12   1.594E-09   2.138E-08   2.844E-07   5.994E-08   1.520E-09
6.10    3.209E-14   2.209E-14   1.343E-14   1.554E-14   1.799E-14   1.577E-14   1.221E-14   8.882E-15   6.661E-15   1.110E-16   8.664E-13   1.084E-09   1.531E-08   2.173E-07   4.455E-08   1.060E-09
6.20    1.921E-14   1.321E-14   7.994E-15   9.215E-15   1.077E-14   9.437E-15   7.327E-15   5.329E-15   3.997E-15   1.110E-16   5.139E-13   7.386E-10   1.097E-08   1.662E-07   3.314E-08   7.400E-10
6.30    1.144E-14   7.883E-15   4.774E-15   5.551E-15   6.439E-15   5.662E-15   4.330E-15   3.220E-15   2.331E-15   0.000E+00   3.052E-13   5.037E-10   7.876E-09   1.273E-07   2.469E-08   5.172E-10
6.40    6.883E-15   4.774E-15   2.887E-15   3.331E-15   3.886E-15   3.331E-15   2.665E-15   1.887E-15   1.443E-15   0.000E+00   1.814E-13   3.440E-10   5.661E-09   9.762E-08   1.841E-08   3.619E-10
6.50    4.108E-15   2.776E-15   1.776E-15   1.998E-15   2.331E-15   1.998E-15   1.554E-15   1.110E-15   8.882E-16   0.000E+00   1.079E-13   2.352E-10   4.074E-09   7.492E-08   1.375E-08   2.535E-10
6.60    2.442E-15   1.665E-15   9.992E-16   1.221E-15   1.332E-15   1.221E-15   8.882E-16   6.661E-16   5.551E-16   0.000E+00   6.428E-14   1.610E-10   2.936E-09   5.757E-08   1.028E-08   1.777E-10
6.70    1.443E-15   9.992E-16   6.661E-16   6.661E-16   7.772E-16   7.772E-16   5.551E-16   4.441E-16   3.331E-16   0.000E+00   3.830E-14   1.104E-10   2.118E-09   4.428E-08   7.692E-09   1.248E-10
6.80    8.882E-16   5.551E-16   3.331E-16   4.441E-16   4.441E-16   4.441E-16   3.331E-16   2.220E-16   2.220E-16   0.000E+00   2.287E-14   7.573E-11   1.530E-09   3.410E-08   5.762E-09   8.767E-11
6.90    5.551E-16   3.331E-16   2.220E-16   2.220E-16   3.331E-16   2.220E-16   2.220E-16   1.110E-16   1.110E-16   0.000E+00   1.366E-14   5.202E-11   1.107E-09   2.628E-08   4.322E-09   6.166E-11
7.00    3.331E-16   2.220E-16   1.110E-16   1.110E-16   2.220E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   0.000E+00   8.216E-15   3.578E-11   8.012E-10   2.027E-08   3.244E-09   4.341E-11
7.10    2.220E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   1.110E-16   0.000E+00   0.000E+00   0.000E+00   4.885E-15   2.463E-11   5.808E-10   1.566E-08   2.438E-09   3.059E-11
7.20    1.110E-16   1.110E-16   0.000E+00   1.110E-16   1.110E-16   1.110E-16   0.000E+00   0.000E+00   0.000E+00   0.000E+00   2.887E-15   1.698E-11   4.215E-10   1.210E-08   1.834E-09   2.158E-11
7.30    1.110E-16   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   1.776E-15   1.171E-11   3.062E-10   9.365E-09   1.381E-09   1.524E-11
7.40    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   9.992E-16   8.092E-12   2.227E-10   7.253E-09   1.041E-09   1.077E-11
7.50    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   6.661E-16   5.595E-12   1.621E-10   5.622E-09   7.854E-10   7.615E-12
7.60    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   3.331E-16   3.872E-12   1.182E-10   4.362E-09   5.931E-10   5.390E-12
7.70    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   2.220E-16   2.683E-12   8.622E-11   3.387E-09   4.483E-10   3.819E-12
7.80    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   1.110E-16   1.860E-12   6.297E-11   2.633E-09   3.392E-10   2.708E-12
7.90    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   1.110E-16   1.291E-12   4.604E-11   2.048E-09   2.569E-10   1.922E-12
8.00    0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   8.973E-13   3.369E-11   1.594E-09   1.947E-10   1.365E-12
