* Conditionele overschrijdingskans zeewaterstand Maasmond 1985, per windrichting, voor 12-uursperioden.
*
* Door:    C.P.M. Geerse van HKV lijn in water
* Datum:   18 december 2015 
* Project: PR3216.10
*
* Zie voor beschrijving het rapport:
* Werkwijze uitintegreren onzekerheden basisstochasten voor Hydra-NL.
* Afvoeren, meerpeilen, zeewaterstanden en windsnelheden. 
* Chris Geerse. HKV Lijn in Water, december 2015.
* 
* Tijdsperiode: 12 uur.
*
* Richt.NNO         NO          ONO         O           OZO         ZO          ZZO         Z           ZZW         ZW          WZW         W           WNW         NW          NNW         N
* P(r)  0.025466    0.037003    0.060781    0.052691    0.045304    0.051706    0.066690    0.091593    0.123320    0.112768    0.100106    0.075202    0.050088    0.039606    0.036933    0.030742
* m+NAP
0.80    1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00
0.90    1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00
1.00    1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00
1.10    1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   9.938E-01
1.20    1.000E+00   1.000E+00   9.603E-01   1.000E+00   1.000E+00   1.000E+00   8.752E-01   6.373E-01   4.733E-01   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   1.000E+00   5.998E-01
1.30    7.814E-01   5.377E-01   3.274E-01   3.776E-01   4.392E-01   3.848E-01   2.984E-01   2.172E-01   1.614E-01   6.424E-01   8.811E-01   1.000E+00   1.000E+00   7.721E-01   6.528E-01   3.644E-01
1.40    2.661E-01   1.831E-01   1.115E-01   1.286E-01   1.496E-01   1.311E-01   1.016E-01   7.399E-02   5.495E-02   2.761E-01   4.532E-01   8.010E-01   9.153E-01   5.198E-01   4.264E-01   2.228E-01
1.50    9.064E-02   6.238E-02   3.798E-02   4.381E-02   5.095E-02   4.464E-02   3.461E-02   2.520E-02   1.872E-02   1.189E-01   2.344E-01   4.768E-01   5.797E-01   3.524E-01   2.805E-01   1.370E-01
1.60    3.094E-02   2.129E-02   1.296E-02   1.495E-02   1.739E-02   1.524E-02   1.181E-02   8.601E-03   6.389E-03   5.129E-02   1.219E-01   2.856E-01   3.693E-01   2.405E-01   1.856E-01   8.471E-02
1.70    1.061E-02   7.303E-03   4.446E-03   5.129E-03   5.965E-03   5.227E-03   4.052E-03   2.950E-03   2.191E-03   2.217E-02   6.375E-02   1.721E-01   2.366E-01   1.650E-01   1.236E-01   5.266E-02
1.80    3.676E-03   2.530E-03   1.540E-03   1.777E-03   2.066E-03   1.810E-03   1.404E-03   1.022E-03   7.590E-04   9.605E-03   3.350E-02   1.043E-01   1.524E-01   1.139E-01   8.270E-02   3.291E-02
1.90    1.295E-03   8.914E-04   5.427E-04   6.260E-04   7.280E-04   6.379E-04   4.946E-04   3.601E-04   2.675E-04   4.170E-03   1.770E-02   6.358E-02   9.862E-02   7.902E-02   5.564E-02   2.067E-02
2.00    4.694E-04   3.230E-04   1.967E-04   2.268E-04   2.638E-04   2.312E-04   1.792E-04   1.305E-04   9.692E-05   1.815E-03   9.397E-03   3.895E-02   6.412E-02   5.508E-02   3.761E-02   1.304E-02
2.10    1.775E-04   1.221E-04   7.435E-05   8.577E-05   9.975E-05   8.740E-05   6.776E-05   4.934E-05   3.664E-05   7.922E-04   5.014E-03   2.399E-02   4.187E-02   3.857E-02   2.554E-02   8.264E-03
2.20    7.112E-05   4.894E-05   2.980E-05   3.437E-05   3.998E-05   3.503E-05   2.716E-05   1.977E-05   1.469E-05   3.468E-04   2.688E-03   1.484E-02   2.746E-02   2.712E-02   1.742E-02   5.261E-03
2.30    3.060E-05   2.106E-05   1.282E-05   1.479E-05   1.720E-05   1.507E-05   1.168E-05   8.507E-06   6.318E-06   1.523E-04   1.448E-03   9.224E-03   1.807E-02   1.915E-02   1.192E-02   3.363E-03
2.40    1.419E-05   9.767E-06   5.946E-06   6.859E-06   7.978E-06   6.990E-06   5.420E-06   3.946E-06   2.931E-06   6.711E-05   7.833E-04   5.759E-03   1.194E-02   1.357E-02   8.197E-03   2.158E-03
2.50    7.052E-06   4.853E-06   2.955E-06   3.408E-06   3.964E-06   3.473E-06   2.693E-06   1.961E-06   1.456E-06   2.969E-05   4.257E-04   3.610E-03   7.921E-03   9.657E-03   5.655E-03   1.391E-03
2.60    3.703E-06   2.548E-06   1.551E-06   1.790E-06   2.082E-06   1.824E-06   1.414E-06   1.030E-06   7.647E-07   1.319E-05   2.323E-04   2.272E-03   5.271E-03   6.894E-03   3.916E-03   8.996E-04
2.70    2.023E-06   1.392E-06   8.477E-07   9.778E-07   1.137E-06   9.964E-07   7.726E-07   5.625E-07   4.178E-07   5.889E-06   1.273E-04   1.436E-03   3.519E-03   4.938E-03   2.720E-03   5.840E-04
2.80    1.135E-06   7.812E-07   4.756E-07   5.486E-07   6.380E-07   5.591E-07   4.334E-07   3.156E-07   2.344E-07   2.641E-06   7.005E-05   9.107E-04   2.357E-03   3.548E-03   1.896E-03   3.804E-04
2.90    6.477E-07   4.458E-07   2.714E-07   3.130E-07   3.641E-07   3.190E-07   2.473E-07   1.801E-07   1.338E-07   1.191E-06   3.869E-05   5.796E-04   1.584E-03   2.557E-03   1.325E-03   2.486E-04
3.00    3.735E-07   2.571E-07   1.565E-07   1.805E-07   2.100E-07   1.840E-07   1.426E-07   1.039E-07   7.714E-08   5.398E-07   2.145E-05   3.701E-04   1.067E-03   1.848E-03   9.294E-04   1.630E-04
3.10    2.169E-07   1.492E-07   9.086E-08   1.048E-07   1.219E-07   1.068E-07   8.281E-08   6.029E-08   4.478E-08   2.461E-07   1.194E-05   2.371E-04   7.211E-04   1.340E-03   6.536E-04   1.073E-04
3.20    1.264E-07   8.701E-08   5.297E-08   6.110E-08   7.107E-08   6.227E-08   4.828E-08   3.515E-08   2.611E-08   1.129E-07   6.665E-06   1.524E-04   4.886E-04   9.735E-04   4.609E-04   7.077E-05
3.30    7.392E-08   5.087E-08   3.097E-08   3.573E-08   4.155E-08   3.641E-08   2.823E-08   2.055E-08   1.526E-08   5.207E-08   3.734E-06   9.824E-05   3.320E-04   7.093E-04   3.259E-04   4.683E-05
3.40    4.331E-08   2.980E-08   1.814E-08   2.093E-08   2.434E-08   2.133E-08   1.654E-08   1.204E-08   8.943E-09   2.417E-08   2.099E-06   6.351E-05   2.261E-04   5.181E-04   2.310E-04   3.108E-05
