windrichting;afvoer;windsnelheid;zeewaterstand;Rotterdam;Dordrecht
225;600;0;3.39;3;2.9
225;600;10;3.37;3;2.9
225;600;20;3.279;3;2.9
225;600;30;3.085;3;2.9
225;600;42;2.766;3;2.9
225;600;46;2.579;3;2.9
225;2000;0;3.26;3;2.9
225;2000;10;3.239;3;2.9
225;2000;20;3.146;3;2.9
225;2000;30;2.96;3;2.9
225;2000;42;2.627;3;2.9
225;2000;46;2.457;3;2.9
225;4000;0;3.16;3;2.9
225;4000;10;3.143;3;2.9
225;4000;20;3.057;3;2.9
225;4000;30;2.874;3;2.9
225;4000;42;2.528;3;2.9
225;4000;46;2.362;3;2.9
225;6000;0;3.049;3;2.9
225;6000;10;3.031;3;2.9
225;6000;20;2.949;3;2.9
225;6000;30;2.765;3;2.9
225;6000;42;2.412;3;2.9
225;6000;46;2.236;3;2.9
225;8000;0;2.91;3;2.9
225;8000;10;2.892;3;2.9
225;8000;20;2.814;3;2.9
225;8000;30;2.651;3;2.9
225;8000;42;2.237;3;2.9
225;8000;46;1.958;3;2.9
225;10000;0;2.785;3;2.9
225;10000;10;2.763;3;2.9
225;10000;20;2.669;3;2.9
225;10000;30;2.485;3;2.9
225;10000;42;1.941;3;2.9
225;10000;46;1.663;3;2.9
225;13000;0;2.596;3;2.9
225;13000;10;2.572;3;2.9
225;13000;20;2.479;3;2.9
225;13000;30;2.198;3;2.9
225;13000;42;1.584;3;2.9
225;13000;46;1.289;3;2.9
225;16000;0;2.359;3;2.9
225;16000;10;2.316;3;2.9
225;16000;20;2.13;3;2.9
225;16000;30;1.85;3;2.9
225;16000;42;1.125;3;2.9
225;16000;46;0.784;3;2.9
225;16500;0;2.334;3;2.9
225;16500;10;2.292;3;2.9
225;16500;20;2.106;3;2.9
225;16500;30;1.827;3;2.9
225;16500;42;1.088;3;2.9
225;16500;46;0.746;3;2.9
225;17000;0;2.281;3;2.9
225;17000;10;2.239;3;2.9
225;17000;20;2.058;3;2.9
225;17000;30;1.783;3;2.9
225;17000;42;1.01;3;2.9
225;17000;46;0.669;3;2.9
225;18000;0;2.168;3;2.9
225;18000;10;2.119;3;2.9
225;18000;20;1.943;3;2.9
225;18000;30;1.66;3;2.9
225;18000;42;0.745;3;2.9
225;18000;46;0.439;3;2.9
225;20000;0;1.944;3;2.9
225;20000;10;1.901;3;2.9
225;20000;20;1.714;3;2.9
225;20000;30;1.378;3;2.9
225;20000;42;0.148;3;2.9
225;20000;46;-0.183;3;2.9
225;22000;0;1.729;3;2.9
225;22000;10;1.687;3;2.9
225;22000;20;1.494;3;2.9
225;22000;30;1.045;3;2.9
225;22000;42;-0.189;3;2.9
225;22000;46;-0.758;3;2.9
225;24000;0;1.505;3;2.9
225;24000;10;1.458;3;2.9
225;24000;20;1.251;3;2.9
225;24000;30;0.794;3;2.9
225;24000;42;-0.712;3;2.9
225;24000;46;-1.02;3;2.9
225;26000;0;1.199;3;2.9
225;26000;10;1.146;3;2.9
225;26000;20;0.923;3;2.9
225;26000;30;0.468;3;2.9
225;26000;42;-0.767;3;2.9
