"","drySoil","wetSoil"
"1",0.2377,0.03208
"2",0.2373,0.03195
"3",0.2369,0.03181
"4",0.2365,0.03168
"5",0.236,0.03154
"6",0.2356,0.03141
"7",0.2352,0.03125
"8",0.2348,0.03108
"9",0.2344,0.03092
"10",0.234,0.03076
"11",0.2336,0.03059
"12",0.2332,0.03044
"13",0.2328,0.03028
"14",0.2324,0.03012
"15",0.232,0.02996
"16",0.2316,0.0298
"17",0.2312,0.02969
"18",0.2308,0.02957
"19",0.2304,0.02946
"20",0.2299,0.02934
"21",0.2295,0.02923
"22",0.229,0.02911
"23",0.2284,0.029
"24",0.2278,0.02888
"25",0.2272,0.02877
"26",0.2267,0.02865
"27",0.2263,0.02854
"28",0.2259,0.02842
"29",0.2254,0.02831
"30",0.225,0.02819
"31",0.2246,0.02808
"32",0.2243,0.02793
"33",0.224,0.02779
"34",0.2237,0.02764
"35",0.2234,0.0275
"36",0.2231,0.02735
"37",0.2228,0.0272
"38",0.2224,0.02705
"39",0.2221,0.0269
"40",0.2218,0.02675
"41",0.2215,0.0266
"42",0.2215,0.02646
"43",0.2215,0.02632
"44",0.2215,0.02618
"45",0.2215,0.02604
"46",0.2214,0.0259
"47",0.2215,0.02578
"48",0.2215,0.02566
"49",0.2216,0.02553
"50",0.2217,0.02541
"51",0.2217,0.02529
"52",0.2218,0.02523
"53",0.2219,0.02518
"54",0.2219,0.02513
"55",0.222,0.02508
"56",0.2221,0.02502
"57",0.2222,0.02502
"58",0.2224,0.02502
"59",0.2225,0.02502
"60",0.2227,0.02501
"61",0.2228,0.02501
"62",0.223,0.02501
"63",0.2231,0.02501
"64",0.2233,0.025
"65",0.2234,0.025
"66",0.2236,0.025
"67",0.2238,0.025
"68",0.224,0.02499
"69",0.2241,0.02499
"70",0.2243,0.02499
"71",0.2245,0.02499
"72",0.2247,0.02498
"73",0.2249,0.02498
"74",0.2251,0.02498
"75",0.2253,0.02498
"76",0.2256,0.02497
"77",0.2258,0.02483
"78",0.226,0.02468
"79",0.2262,0.02453
"80",0.2264,0.02438
"81",0.2266,0.02423
"82",0.2269,0.02423
"83",0.2271,0.02423
"84",0.2273,0.02423
"85",0.2276,0.02422
"86",0.2278,0.02422
"87",0.228,0.02422
"88",0.2283,0.02422
"89",0.2285,0.02421
"90",0.2287,0.02421
"91",0.2289,0.02421
"92",0.2293,0.0245
"93",0.2297,0.02479
"94",0.2302,0.02508
"95",0.2306,0.02537
"96",0.231,0.02566
"97",0.2314,0.02565
"98",0.2319,0.02565
"99",0.2324,0.02565
"100",0.2329,0.02565
"101",0.2333,0.02564
"102",0.234,0.02564
"103",0.2346,0.02564
"104",0.2353,0.02564
"105",0.2359,0.02563
"106",0.2366,0.02563
"107",0.2371,0.0257
"108",0.2376,0.02577
"109",0.2381,0.02584
"110",0.2387,0.02591
"111",0.2392,0.02598
"112",0.2396,0.02598
"113",0.24,0.02598
"114",0.2405,0.02598
"115",0.2409,0.02597
"116",0.2413,0.02597
"117",0.2418,0.02597
"118",0.2422,0.02597
"119",0.2427,0.02596
"120",0.2431,0.02596
"121",0.2436,0.02596
"122",0.2441,0.02596
"123",0.2446,0.02595
"124",0.2452,0.02595
"125",0.2457,0.02595
"126",0.2462,0.02595
"127",0.2467,0.02594
"128",0.2472,0.02594
"129",0.2477,0.02594
"130",0.2482,0.02594
"131",0.2487,0.02593
"132",0.2492,0.02593
"133",0.2497,0.02593
"134",0.2502,0.02593
"135",0.2507,0.02592
"136",0.2512,0.02592
"137",0.2517,0.02614
"138",0.2522,0.02635
"139",0.2527,0.02657
"140",0.2532,0.02679
"141",0.2537,0.027
"142",0.2542,0.027
"143",0.2546,0.027
"144",0.2551,0.027
"145",0.2556,0.02699
"146",0.2561,0.02699
"147",0.2566,0.02735
"148",0.2571,0.02772
"149",0.2576,0.02808
"150",0.2582,0.02844
"151",0.2587,0.0288
"152",0.2592,0.0288
"153",0.2598,0.0288
"154",0.2603,0.02879
"155",0.2609,0.02879
"156",0.2614,0.02879
"157",0.262,0.02879
"158",0.2626,0.02878
"159",0.2631,0.02878
"160",0.2637,0.02878
"161",0.2642,0.02878
"162",0.2647,0.02877
"163",0.2651,0.02877
"164",0.2655,0.02877
"165",0.2659,0.02877
"166",0.2664,0.02877
"167",0.2667,0.02884
"168",0.2671,0.02891
"169",0.2675,0.02898
"170",0.2679,0.02905
"171",0.2683,0.02912
"172",0.2686,0.02912
"173",0.269,0.02911
"174",0.2694,0.02911
"175",0.2698,0.02911
"176",0.2702,0.02911
"177",0.2707,0.02918
"178",0.2712,0.02926
"179",0.2717,0.02934
"180",0.2722,0.02942
"181",0.2727,0.0295
"182",0.2732,0.02978
"183",0.2737,0.03006
"184",0.2742,0.03034
"185",0.2747,0.03062
"186",0.2752,0.0309
"187",0.2757,0.0309
"188",0.2762,0.0309
"189",0.2767,0.0309
"190",0.2772,0.03089
"191",0.2777,0.03089
"192",0.2782,0.03089
"193",0.2787,0.03089
"194",0.2792,0.03088
"195",0.2797,0.03088
"196",0.2802,0.03088
"197",0.2807,0.03088
"198",0.2812,0.03087
"199",0.2818,0.03087
"200",0.2823,0.03087
"201",0.2828,0.03087
"202",0.2833,0.03098
"203",0.2838,0.0311
"204",0.2844,0.03122
"205",0.2849,0.03133
"206",0.2855,0.03145
"207",0.2861,0.03147
"208",0.2866,0.0315
"209",0.2872,0.03152
"210",0.2878,0.03155
"211",0.2884,0.03157
"212",0.289,0.03157
"213",0.2896,0.03157
"214",0.2902,0.03156
"215",0.2908,0.03156
"216",0.2913,0.03156
"217",0.2919,0.03163
"218",0.2924,0.0317
"219",0.2929,0.03177
"220",0.2934,0.03184
"221",0.2939,0.03191
"222",0.2944,0.03198
"223",0.295,0.03205
"224",0.2955,0.03212
"225",0.296,0.03219
"226",0.2965,0.03227
"227",0.297,0.03263
"228",0.2975,0.03299
"229",0.298,0.03335
"230",0.2985,0.03371
"231",0.299,0.03408
"232",0.2995,0.03407
"233",0.2999,0.03407
"234",0.3004,0.03407
"235",0.3008,0.03407
"236",0.3013,0.03406
"237",0.3017,0.03425
"238",0.3022,0.03443
"239",0.3026,0.03461
"240",0.303,0.03479
"241",0.3035,0.03498
"242",0.3039,0.03515
"243",0.3044,0.03533
"244",0.3048,0.03551
"245",0.3053,0.03568
"246",0.3057,0.03586
"247",0.3062,0.03593
"248",0.3066,0.036
"249",0.3071,0.03607
"250",0.3075,0.03614
"251",0.308,0.03621
"252",0.3086,0.03636
"253",0.3092,0.0365
"254",0.3097,0.03664
"255",0.3103,0.03679
"256",0.3109,0.03693
"257",0.3117,0.0371
"258",0.3125,0.03727
"259",0.3133,0.03743
"260",0.3141,0.0376
"261",0.3149,0.03777
"262",0.3156,0.03782
"263",0.3162,0.03786
"264",0.3169,0.03791
"265",0.3176,0.03795
"266",0.3182,0.038
"267",0.3188,0.03829
"268",0.3193,0.03858
"269",0.3199,0.03887
"270",0.3204,0.03916
"271",0.321,0.03945
"272",0.3216,0.03944
"273",0.3221,0.03944
"274",0.3227,0.03944
"275",0.3232,0.03944
"276",0.3238,0.03943
"277",0.3244,0.0398
"278",0.325,0.04016
"279",0.3257,0.04052
"280",0.3263,0.04088
"281",0.3269,0.04124
"282",0.3275,0.04131
"283",0.3281,0.04138
"284",0.3288,0.04146
"285",0.3294,0.04153
"286",0.33,0.0416
"287",0.3304,0.04167
"288",0.3309,0.04174
"289",0.3313,0.04181
"290",0.3317,0.04188
"291",0.3322,0.04195
"292",0.3325,0.04195
"293",0.3328,0.04194
"294",0.3332,0.04194
"295",0.3335,0.04194
"296",0.3338,0.04194
"297",0.3341,0.04193
"298",0.3345,0.04193
"299",0.3348,0.04193
"300",0.3351,0.04193
"301",0.3355,0.04193
"302",0.3361,0.04214
"303",0.3367,0.04236
"304",0.3373,0.04257
"305",0.3379,0.04279
"306",0.3385,0.04301
"307",0.3392,0.04332
"308",0.3398,0.04363
"309",0.3405,0.04394
"310",0.3412,0.04426
"311",0.3418,0.04457
"312",0.3424,0.04462
"313",0.3429,0.04466
"314",0.3434,0.04471
"315",0.3439,0.04476
"316",0.3444,0.0448
"317",0.3449,0.04495
"318",0.3454,0.04509
"319",0.3459,0.04523
"320",0.3464,0.04538
"321",0.3469,0.04552
"322",0.3476,0.04566
"323",0.3483,0.04581
"324",0.349,0.04595
"325",0.3497,0.04609
"326",0.3504,0.04624
"327",0.3512,0.04653
"328",0.352,0.04682
"329",0.3529,0.04711
"330",0.3537,0.04739
"331",0.3545,0.04768
"332",0.3549,0.04805
"333",0.3553,0.04841
"334",0.3557,0.04877
"335",0.356,0.04913
"336",0.3564,0.04949
"337",0.3568,0.04971
"338",0.3572,0.04993
"339",0.3575,0.05014
"340",0.3579,0.05036
"341",0.3583,0.05058
"342",0.3587,0.05073
"343",0.3591,0.05089
