Version,File,MD5,MinVersion,MaxVersion,Reason
1.5,wp-includes/js/tinymce/langs/en.js,da427e0fb506e2e403dde16612f4f7ca,2.0,2.0.1,nearest
1.5.1,wp-includes/js/tinymce/langs/en.js,da427e0fb506e2e403dde16612f4f7ca,2.0,2.0.1,nearest
1.5.1.1,wp-includes/js/tinymce/langs/en.js,da427e0fb506e2e403dde16612f4f7ca,2.0,2.0.1,nearest
1.5.1.2,wp-includes/js/tinymce/langs/en.js,da427e0fb506e2e403dde16612f4f7ca,2.0,2.0.1,nearest
1.5.1.3,wp-includes/js/tinymce/langs/en.js,da427e0fb506e2e403dde16612f4f7ca,2.0,2.0.1,nearest
1.5.2,wp-includes/js/tinymce/langs/en.js,da427e0fb506e2e403dde16612f4f7ca,2.0,2.0.1,nearest
2.0,wp-includes/js/tinymce/langs/en.js,da427e0fb506e2e403dde16612f4f7ca,2.0,2.0.1,contained
2.0.1,wp-includes/js/tinymce/langs/en.js,da427e0fb506e2e403dde16612f4f7ca,2.0,2.0.1,contained
2.0.10,wp-includes/js/tinymce/tiny_mce_gzip.php,316b04a11b3aa94cb575e88718f14eac,2.0.9,2.0.11,contained
2.0.11,wp-includes/js/tinymce/tiny_mce_gzip.php,316b04a11b3aa94cb575e88718f14eac,2.0.9,2.0.11,contained
2.0.2,wp-includes/js/tinymce/tiny_mce_gzip.php,98b3d809a1c33e75dc5e86b14525b16f,2.0.2,2.0.8,contained
2.0.3,wp-includes/js/tinymce/tiny_mce_gzip.php,98b3d809a1c33e75dc5e86b14525b16f,2.0.2,2.0.8,contained
2.0.4,wp-includes/js/tinymce/tiny_mce_gzip.php,98b3d809a1c33e75dc5e86b14525b16f,2.0.2,2.0.8,contained
2.0.5,wp-includes/js/tinymce/tiny_mce_gzip.php,98b3d809a1c33e75dc5e86b14525b16f,2.0.2,2.0.8,contained
2.0.6,wp-includes/js/tinymce/tiny_mce_gzip.php,98b3d809a1c33e75dc5e86b14525b16f,2.0.2,2.0.8,contained
2.0.7,wp-includes/js/tinymce/tiny_mce_gzip.php,98b3d809a1c33e75dc5e86b14525b16f,2.0.2,2.0.8,contained
2.0.8,wp-includes/js/tinymce/tiny_mce_gzip.php,98b3d809a1c33e75dc5e86b14525b16f,2.0.2,2.0.8,contained
2.0.9,wp-includes/js/tinymce/tiny_mce_gzip.php,316b04a11b3aa94cb575e88718f14eac,2.0.9,2.0.11,contained
2.1,wp-includes/js/tinymce/tiny_mce_config.php,d26bc5d068ad5d4c7d0f6c83291b7dff,2.1,2.1,contained
2.1.1,wp-includes/js/tinymce/tiny_mce_config.php,d805c9150e391a2b580484e0bc8558fc,2.1.1,2.1.1,contained
2.1.2,wp-includes/js/tinymce/tiny_mce_config.php,8815f47c96c53cc77da66b68611aa761,2.1.2,2.1.3,contained
2.1.3,wp-includes/js/tinymce/tiny_mce_config.php,8815f47c96c53cc77da66b68611aa761,2.1.2,2.1.3,contained
2.2,wp-includes/js/wp-ajax.js,c5dbce0c3232c477033e0ce486c62755,2.2,2.2,contained
2.2.1,wp-includes/js/jquery/jquery.js,290a21c83be5e11f93b86ff1bf8d4cd2,2.2,2.2.3,contained
2.2.2,wp-includes/js/jquery/jquery.js,290a21c83be5e11f93b86ff1bf8d4cd2,2.2,2.2.3,contained
2.2.3,wp-includes/js/jquery/jquery.js,290a21c83be5e11f93b86ff1bf8d4cd2,2.2,2.2.3,contained
2.3,wp-admin/css/install-rtl.css,77b94469c0536617ccf3f128e82629e7,2.3,2.3.3,contained
2.3.1,wp-admin/css/install-rtl.css,77b94469c0536617ccf3f128e82629e7,2.3,2.3.3,contained
2.3.2,wp-admin/css/install-rtl.css,77b94469c0536617ccf3f128e82629e7,2.3,2.3.3,contained
2.3.3,wp-admin/css/install-rtl.css,77b94469c0536617ccf3f128e82629e7,2.3,2.3.3,contained
2.5,wp-admin/css/colors-classic.css,50ecea581a41faceafa8e3af5116545a,2.5,2.5,contained
