Amplicon_ID,Num_SNP_covered
A3-ns,999
A10-ns,655
A2-ns,352
A19-ns,266
A24-ns,252
-,251
A12-ns,172
A1-ns,159
A9-ns,136
A4-ns,88
A28-ns,71
A35-ns,49
A8-ns,41
"A2-ns,A24-ns",40
"A2-ns,A28-ns",35
A27-ns,34
A40-ns,31
A34-ns,30
A37-ns,26
"A10-ns,A12-ns",25
A32-ns,22
A7-ns,21
A21-ns,19
A39-ns,17
A16-ns,16
A6-ns,16
A15-ns,15
A26-ns,15
A25-ns,12
A5-ns,11
A11-ns,10
A22-ns,10
A36-ns,8
A13-ns,8
A1-sp,6
A14-ns,5
"A4-ns,A33-ns",5
A17-ns,4
A23-ns,4
"A21-ns,A32-ns",4
A38-ns,4
A30-ns,3
A31-ns,3
A20-ns,3
"A32-ns,A37-ns",3
"A17-ns,A33-ns",2
A33-ns,1
A29-ns,1
A18-ns,1
