person_id,string,abr,dyn_id
3629,高祖,,
3631,太宗,,
3839,世宗,,
3634,中宗,,
3708,高宗,,
3723,統宗,,
3725,元宗,,
3643,世祖,,
3854,顯宗,,
3644,肅宗,,
3645,穆宗,,
3646,恭宗,,
3647,敬宗,,
3654,威宗,,
4113,高祖,,
263,烈祖,,
3641,世祖,,
3874,肅祖,,
3635,太祖,,
3998,烈宗,,
7866,高祖,,
4326,世祖,,
3680,太宗,,
3703,世祖,,
3672,烈宗,,
3673,中宗,,
4362,太祖,,
3901,高祖,,
7342,太祖,,
291,太祖,,
3856,高祖,,
3853,太祖,,
3860,世祖,,
3838,太宗,,
7605,太祖,,
4361,世祖,,
3695,高宗,,
3861,高祖,,
4358,世祖,,
4486,高祖,,
4485,世祖,,
4487,高宗,,
311,太祖,,
312,太宗,,
4051,世祖,,
315,高宗,,
316,顯祖,,
3819,高祖,,
3821,世宗,,
3825,肅宗,,
4519,顯祖,,
4520,世祖,,
3914,世宗,,
3918,高祖,,
4171,高祖,,
4134,高祖,,
4115,太宗,,
4132,高宗,,
3700,中宗,,
4128,睿宗,,
4151,玄宗,,
4117,肅宗,,
4144,代宗,,
4147,德宗,,
4143,順宗,,
4140,憲宗,,
4126,穆宗,,
4135,敬宗,,
4129,文宗,,
3638,武宗,,
4125,宣宗,,
4136,懿宗,,
3721,僖宗,,
4130,昭宗,,
4131,景宗,,
15283,高祖,,
15256,太祖,,
15257,烈宗,,
15258,高祖,,
15263,太祖,,
15264,世宗,,
15265,成宗,,
15243,太祖,,
15273,高祖,,
15274,殤帝,,
15275,中宗,,
15245,莊宗,,
15246,明宗,,
15249,高祖,,
15287,高祖,,
15285,高祖,,
15267,太祖,,
15268,惠宗,,
15269,太宗,,
15270,康宗,,
15271,景宗,,
15260,烈祖,,
15261,元宗,,
15296,太祖,,
15297,太宗,,
15298,世宗,,
15299,穆宗,,
15300,景宗,,
15301,聖宗,,
15302,興宗,,
15303,道宗,,
15251,高祖,,
15253,太祖,,
15254,世宗,,
15292,世祖,,
15293,睿宗,,
15305,太祖,,
15306,太宗,,
15308,仁宗,,
15309,英宗,,
15310,神宗,,
15311,哲宗,,
