Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Belize;BLZ;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,67;0,63;0,64;0,63;0,64;0,66;0,66;0,64;0,65;0,63;0,63;0,60;0,60;0,56;0,56;0,56;0,56;0,56;0,57;0,55;0,56;0,58;0,62;0,63;0,65;0,65;0,65;0,67;0,63;0,59;0,54;0,52;0,52;0,54;0,56
Bermuda;BMU;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,87;0,90;0,90;0,93;0,93;0,95;1,20;1,23;1,25;1,26;1,18;1,14;1,22;1,23;1,26;1,30;1,33;1,38;1,42;1,43;1,44;1,40;1,45;1,42;1,40;1,38;1,35;1,31;1,32;1,27;1,26;1,22;1,16;1,16;1,16
Bolivia;BOL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,30;0,30;0,31;0,29;0,28;0,30;0,31;0,31;0,31;0,30;0,29;0,27;0,25;0,25;0,25;0,25;0,28;0,30;0,35;0,35;0,38;0,43;0,44;0,44;0,43;0,42;0,40;0,39;0,39;0,38;0,37;0,36;0,35;0,34;0,36
Brazil;BRA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,39;0,33;0,31;0,32;0,43;0,59;0,62;0,62;0,59;0,40;0,41;0,34;0,30;0,32;0,35;0,44;0,51;0,58;0,66;0,65;0,79;0,88;0,82;0,79;0,78;0,60;0,62;0,69;0,60;0,56;0,44;0,44;0,47;0,49;0,46
Barbados;BRB;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,70;0,71;0,71;0,73;0,73;0,72;0,73;0,72;0,77;0,80;0,77;0,77;0,77;0,76;0,79;0,81;0,82;0,87;0,87;0,85;0,99;1,01;1,06;1,07;1,09;1,06;1,06;1,10;1,08;1,10;1,16;1,19;1,12;1,12;1,12
Brunei Darussalam;BRN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,34;0,33;0,33;0,32;0,33;0,38;0,37;0,34;0,26;0,28;0,28;0,25;0,24;0,26;0,30;0,36;0,40;0,43;0,52;0,40;0,44;0,56;0,54;0,53;0,51;0,49;0,47;0,45;0,48;0,44;0,38;0,40;0,45;0,39;0,37
Bhutan;BTN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,32;0,26;0,25;0,22;0,24;0,24;0,24;0,26;0,25;0,25;0,25;0,24;0,24;0,26;0,27;0,29;0,29;0,32;0,32;0,30;0,34;0,35;0,32;0,31;0,31;0,29;0,28;0,29;0,28;0,28;0,26;0,27;0,25;0,24;
Botswana;BWA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,47;0,44;0,44;0,42;0,40;0,41;0,39;0,37;0,35;0,36;0,36;0,33;0,31;0,40;0,45;0,46;0,42;0,41;0,40;0,43;0,49;0,53;0,52;0,49;0,47;0,43;0,42;0,45;0,47;0,45;0,41;0,43;0,42;0,37;0,37
Central African Republic;CAF;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,81;0,75;0,81;0,71;0,44;0,53;0,49;0,42;0,41;0,41;0,37;0,36;0,36;0,43;0,44;0,44;0,45;0,49;0,55;0,52;0,51;0,54;0,51;0,51;0,59;0,48;0,47;0,49;0,50;0,46;0,43;0,44;0,38;0,39;0,41
Canada;CAN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,06;1,08;1,02;0,94;0,88;0,88;0,89;0,87;0,80;0,80;0,83;0,79;0,78;0,87;0,95;1,00;1,06;1,13;1,16;1,05;1,19;1,25;1,25;1,19;1,11;0,98;0,91;0,93;0,93;0,92;0,90;0,93;0,88;0,84;0,83
Switzerland;CHE;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,39;1,37;1,40;1,33;1,42;1,63;1,53;1,27;1,26;1,20;1,06;1,05;1,10;1,27;1,36;1,35;1,28;1,28;1,38;1,35;1,41;1,57;1,44;1,42;1,40;1,28;1,22;1,21;1,21;1,14;1,18;1,16;1,03;1,11;1,11
Chile;CHL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,56;0,57;0,60;0,58;0,62;0,70;0,68;0,67;0,61;0,56;0,54;0,47;0,44;0,45;0,53;0,60;0,60;0,62;0,65;0,63;0,71;0,72;0,71;0,71;0,64;0,60;0,59;0,61;0,62;0,57;0,52;0,56;0,50;0,52;0,48
China;CHN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,32;0,30;0,29;0,26;0,28;0,33;0,34;0,34;0,34;0,33;0,33;0,33;0,32;0,33;0,34;0,35;0,36;0,39;0,46;0,46;0,49;0,55;0,56;0,58;0,60;0,61;0,58;0,60;0,62;0,59;0,58;0,62;0,56;0,51;0,49
Cote d'Ivoire;CIV;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,49;0,46;0,48;0,46;0,34;0,41;0,41;0,37;0,38;0,36;0,31;0,31;0,34;0,41;0,43;0,42;0,42;0,46;0,51;0,48;0,46;0,50;0,47;0,49;0,49;0,41;0,41;0,42;0,43;0,39;0,39;0,41;0,35;0,35;0,35
Cameroon;CMR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,60;0,58;0,60;0,77;0,42;0,48;0,46;0,42;0,42;0,39;0,34;0,33;0,35;0,42;0,45;0,44;0,44;0,47;0,52;0,51;0,48;0,51;0,47;0,49;0,48;0,40;0,40;0,40;0,40;0,37;0,36;0,35;0,31;0,32;0,32
Congo, Dem. Rep.;COD;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,31;0,33;0,31;0,46;0,25;0,24;0,24;0,27;0,27;0,21;0,91;0,35;0,40;0,38;0,40;0,42;0,47;0,50;0,54;0,49;0,53;0,58;0,63;0,61;0,57;0,54;0,48;0,44;0,49;0,48;0,45;0,42;0,43;0,39;0,38
Congo, Rep.;COG;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,37;0,34;0,35;0,32;0,22;0,24;0,28;0,25;0,20;0,24;0,31;0,25;0,25;0,29;0,36;0,42;0,46;0,52;0,64;0,47;0,57;0,66;0,62;0,63;0,63;0,52;0,52;0,50;0,48;0,44;0,42;0,40;0,39;0,36;0,35
Colombia;COL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,35;0,34;0,38;0,40;0,45;0,48;0,48;0,50;0,46;0,41;0,38;0,36;0,34;0,31;0,36;0,41;0,41;0,48;0,54;0,51;0,59;0,63;0,67;0,65;0,61;0,47;0,42;0,45;0,45;0,40;0,34;0,36;0,32;0,33;0,37
Comoros;COM;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,64;0,65;0,63;0,59;0,43;0,51;0,50;0,44;0,43;0,43;0,38;0,39;0,43;0,52;0,58;0,56;0,57;0,63;0,68;0,63;0,59;0,62;0,56;0,57;0,55;0,45;0,43;0,43;0,47;0,46;0,47;0,46;0,41;0,43;0,44
Cabo Verde;CPV;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,80;0,80;0,79;0,97;0,66;0,68;0,66;0,57;0,53;0,53;0,45;0,44;0,46;0,57;0,57;0,54;0,55;0,60;0,65;0,62;0,59;0,63;0,59;0,62;0,62;0,50;0,49;0,49;0,54;0,51;0,52;0,52;0,46;0,47;0,47
Costa Rica;CRI;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,36;0,44;0,46;0,47;0,48;0,50;0,49;0,49;0,50;0,49;0,48;0,49;0,48;0,47;0,47;0,48;0,49;0,52;0,56;0,56;0,64;0,68;0,70;0,71;0,67;0,67;0,63;0,60;0,59;0,55;0,56;0,54;0,53;0,60;0,62
Curacao;CUW;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;;;;;;;;;;0,72;0,72;0,71;0,71;0,70;0,71;0,71;0,71;0,74;0,75;0,76;0,74;0,79;0,79;0,81;0,81;0,80;0,78;0,78;0,76;0,75;0,71;0,69;0,69;
Cayman Islands;CYM;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;;;;;;;;;;;;;;;;1,16;1,16;1,18;1,17;1,16;1,13;1,16;1,18;1,19;1,19;1,18;1,18;1,17;1,21;1,25;1,17;1,13;1,13;
Cyprus;CYP;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,72;0,72;0,77;0,71;0,74;0,89;0,87;0,80;0,80;0,78;0,68;0,65;0,68;0,83;0,92;0,90;0,89;0,95;1,02;0,95;0,93;0,97;0,91;0,91;0,90;0,74;0,69;0,69;0,72;0,66;0,66;0,69;0,61;0,64;0,63
Czechia;CZE;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,31;0,25;0,28;0,33;0,36;0,42;0,44;0,41;0,43;0,41;0,37;0,38;0,44;0,50;0,56;0,61;0,64;0,70;0,82;0,72;0,72;0,75;0,68;0,65;0,61;0,53;0,51;0,53;0,57;0,53;0,52;0,58;0,55;0,59;0,56
Germany;DEU;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,15;1,11;1,22;1,17;1,19;1,34;1,27;1,10;1,08;1,02;0,87;0,83;0,86;1,01;1,09;1,09;1,06;1,15;1,21;1,13;1,07;1,10;1,01;1,03;1,02;0,86;0,83;0,84;0,87;0,80;0,81;0,84;0,74;0,79;0,77
Djibouti;DJI;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;;;;;;;;;;;;;;;;;;;;;0,53;0,55;0,55;0,56;0,56;0,57;0,56;0,53;0,53;0,51;0,51;0,47;0,47;0,45
Dominica;DMA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,69;0,72;0,73;0,73;0,77;0,76;0,77;0,77;0,78;0,79;0,76;0,76;0,77;0,71;0,70;0,67;0,66;0,65;0,64;0,69;0,69;0,69;0,69;0,69;0,67;0,68;0,68;0,65;0,61;0,59;0,55;0,53;0,50;0,49;0,49
Denmark;DNK;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,48;1,42;1,49;1,37;1,38;1,56;1,50;1,32;1,29;1,25;1,07;1,04;1,08;1,31;1,41;1,43;1,39;1,50;1,56;1,44;1,35;1,39;1,31;1,31;1,31;1,09;1,05;1,04;1,07;0,98;0,97;1,00;0,88;0,93;0,90
Dominican Republic;DOM;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,35;0,36;0,38;0,38;0,41;0,43;0,44;0,44;0,44;0,42;0,43;0,43;0,43;0,34;0,33;0,47;0,44;0,47;0,49;0,48;0,49;0,50;0,51;0,49;0,48;0,46;0,44;0,44;0,44;0,41;0,38;0,39;0,41;0,41;0,39
Algeria;DZA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,35;0,25;0,25;0,26;0,22;0,21;0,22;0,22;0,20;0,20;0,21;0,20;0,19;0,21;0,25;0,26;0,29;0,31;0,38;0,31;0,35;0,40;0,42;0,42;0,41;0,34;0,33;0,34;0,33;0,32;0,30;0,29;0,31;0,32;0,32
Ecuador;ECU;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,30;0,31;0,32;0,32;0,36;0,37;0,37;0,39;0,37;0,27;0,24;0,30;0,33;0,36;0,37;0,39;0,41;0,43;0,48;0,47;0,50;0,53;0,55;0,54;0,54;0,55;0,54;0,53;0,52;0,49;0,47;0,45;0,43;0,42;0,43
Egypt, Arab Rep.;EGY;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,21;0,17;0,18;0,19;0,20;0,22;0,23;0,25;0,25;0,25;0,25;0,23;0,19;0,17;0,16;0,17;0,18;0,20;0,23;0,26;0,28;0,29;0,29;0,29;0,31;0,30;0,31;0,22;0,20;0,22;0,23;0,25;0,24;0,19;0,17
Spain;ESP;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,01;1,02;1,08;0,89;0,86;0,95;0,95;0,82;0,81;0,79;0,68;0,67;0,70;0,86;0,95;0,96;0,92;1,00;1,07;1,00;0,96;0,99;0,89;0,90;0,88;0,74;0,71;0,71;0,75;0,68;0,69;0,70;0,60;0,63;0,62
Estonia;EST;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;;;0,46;0,47;0,48;0,49;0,46;0,48;0,49;0,43;0,44;0,46;0,55;0,61;0,63;0,65;0,75;0,80;0,72;0,68;0,71;0,67;0,69;0,70;0,60;0,58;0,60;0,64;0,59;0,59;0,63;0,60;0,64;0,63
Finland;FIN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,56;1,45;1,29;1,01;1,10;1,34;1,28;1,13;1,10;1,06;0,91;0,90;0,94;1,13;1,21;1,22;1,20;1,28;1,34;1,25;1,19;1,25;1,17;1,20;1,21;1,01;0,98;0,98;1,01;0,93;0,92;0,94;0,82;0,86;0,83
Fiji;FJI;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,44;0,45;0,46;0,47;0,49;0,50;0,51;0,50;0,39;0,41;0,35;0,34;0,35;0,43;0,47;0,50;0,49;0,53;0,54;0,44;0,46;0,53;0,52;0,51;0,49;0,43;0,45;0,45;0,46;0,45;0,43;0,44;0,40;0,39;0,39
France;FRA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,24;1,18;1,26;1,17;1,18;1,30;1,26;1,09;1,07;1,02;0,86;0,82;0,85;1,05;1,16;1,14;1,12;1,22;1,30;1,20;1,13;1,17;1,08;1,08;1,07;0,90;0,86;0,87;0,89;0,79;0,79;0,83;0,73;0,77;0,75
Faroe Islands;FRO;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;;;;;;;;;;;;;;;;;;1,25;1,20;1,21;1,23;1,09;1,12;1,13;0,98;1,05;1,05;1,06;1,01;1,01;1,01;0,89;0,92;
Micronesia, Fed. Sts.;FSM;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,86;0,88;0,88;0,89;0,89;0,90;0,90;0,89;0,90;0,88;0,87;0,86;0,85;0,83;0,82;0,81;0,80;0,80;0,82;0,86;0,88;0,88;0,92;0,92;0,93;0,87;0,88;0,95;1,01;0,96;0,91;0,89;0,91;0,93;0,96
Gabon;GAB;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,54;0,45;0,47;0,34;0,31;0,34;0,37;0,32;0,26;0,29;0,32;0,28;0,30;0,35;0,40;0,47;0,50;0,56;0,71;0,54;0,60;0,69;0,64;0,63;0,62;0,49;0,48;0,47;0,49;0,47;0,46;0,44;0,42;0,39;0,38
United Kingdom;GBR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,12;1,14;1,15;0,99;1,00;1,13;1,11;1,16;1,19;1,17;1,07;1,00;1,03;1,14;1,26;1,29;1,28;1,42;1,29;1,11;1,09;1,13;1,11;1,09;1,15;1,06;0,93;0,88;0,92;0,85;0,84;0,92;0,79;0,85;0,87
Georgia;GEO;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,28;0,28;0,29;0,29;0,30;0,31;0,31;0,31;0,31;0,23;0,24;0,24;0,23;0,24;0,29;0,32;0,34;0,38;0,46;0,40;0,43;0,48;0,45;0,44;0,41;0,33;0,32;0,32;0,32;0,28;0,26;0,27;0,30;0,33;0,32
Ghana;GHA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,53;0,54;0,50;0,43;0,37;0,42;0,42;0,39;0,40;0,39;0,24;0,24;0,26;0,30;0,32;0,36;0,39;0,43;0,45;0,39;0,44;0,46;0,42;0,44;0,35;0,33;0,38;0,39;0,40;0,36;0,36;0,37;0,31;0,32;0,30
Guinea;GIN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,69;0,74;0,76;0,71;0,69;0,70;0,69;0,63;0,57;0,52;0,43;0,39;0,38;0,43;0,43;0,33;0,31;0,42;0,44;0,42;0,41;0,37;0,39;0,41;0,41;0,39;0,32;0,31;0,33;0,33;0,32;0,33;0,35;0,36;0,37
Gambia, The;GMB;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,30;0,28;0,29;0,29;0,28;0,29;0,28;0,28;0,27;0,26;0,23;0,21;0,19;0,17;0,30;0,32;0,32;0,37;0,41;0,36;0,35;0,34;0,34;0,33;0,29;0,31;0,32;0,32;0,31;0,30;0,28;0,28;0,27;0,27;0,26
Guinea-Bissau;GNB;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,79;0,77;0,65;0,65;0,62;0,62;0,58;0,54;0,58;0,48;0,31;0,31;0,33;0,39;0,39;0,39;0,37;0,41;0,49;0,44;0,44;0,49;0,45;0,46;0,45;0,37;0,37;0,38;0,39;0,36;0,36;0,37;0,32;0,33;0,32
Equatorial Guinea;GNQ;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,51;0,50;0,44;0,39;0,24;0,28;0,27;0,21;0,14;0,18;0,22;0,19;0,19;0,23;0,28;0,39;0,43;0,47;0,60;0,45;0,52;0,63;0,58;0,58;0,57;0,47;0,45;0,42;0,44;0,41;0,42;0,41;0,42;0,38;0,38
Greece;GRC;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,72;0,73;0,78;0,73;0,75;0,84;0,85;0,78;0,75;0,72;0,62;0,60;0,63;0,77;0,86;0,88;0,87;0,98;1,04;0,98;0,96;0,99;0,88;0,84;0,81;0,68;0,65;0,65;0,67;0,61;0,61;0,62;0,54;0,57;0,56
Grenada;GRD;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,61;0,63;0,64;0,64;0,65;0,65;0,66;0,66;0,66;0,66;0,66;0,66;0,65;0,64;0,64;0,63;0,64;0,64;0,68;0,67;0,67;0,66;0,67;0,66;0,65;0,66;0,66;0,65;0,63;0,64;0,62;0,63;0,60;0,59;0,59
