Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,52;0,53;0,53;0,55;0,57;0,58;0,59;0,60;0,63;0,64;0,63;0,65;0,67;0,68;0,68;0,69;0,69;0,71;0,72;0,73;0,71;0,73;0,74;0,72;0,73;0,76;0,76;0,76;0,77;0,80;0,79;0,76;0,73;0,76;
Afghanistan;AFG;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;;;;;;;;;;;0,22;0,19;0,19;0,21;0,23;0,24;0,24;0,29;0,29;0,29;0,32;0,35;0,33;0,30;0,28;0,25;0,24;0,22;0,20;0,19;0,20;0,17;0,17;0,19;
Angola;AGO;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,35;0,32;0,26;0,23;0,17;0,18;0,22;0,20;0,16;0,15;0,21;0,19;0,23;0,26;0,30;0,39;0,48;0,52;0,62;0,48;0,54;0,69;0,69;0,67;0,63;0,45;0,26;0,35;0,35;0,29;0,22;0,26;0,37;0,29;0,25
Albania;ALB;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,28;0,21;0,13;0,21;0,30;0,33;0,33;0,26;0,27;0,30;0,29;0,30;0,31;0,37;0,44;0,46;0,45;0,49;0,53;0,47;0,43;0,43;0,40;0,42;0,41;0,34;0,34;0,35;0,39;0,37;0,37;0,40;0,35;0,40;0,43
Andorra;AND;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,79;0,80;0,84;0,69;0,67;0,74;0,72;0,63;0,62;0,60;0,65;0,64;0,68;0,83;0,91;0,92;0,93;1,02;1,10;1,03;0,97;1,00;0,91;0,93;0,91;0,76;0,76;0,77;0,78;0,72;0,72;0,72;0,62;0,65;0,66
United Arab Emirates;ARE;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,31;0,30;0,30;0,29;0,29;0,29;0,30;0,30;0,28;0,30;0,33;0,31;0,32;0,33;0,34;0,39;0,42;0,46;0,54;0,45;0,52;0,58;0,60;0,61;0,60;0,61;0,61;0,62;0,61;0,58;0,57;0,64;0,68;0,64;0,63
Argentina;ARG;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,60;0,72;0,78;0,73;0,74;0,74;0,73;0,71;0,69;0,67;0,66;0,64;0,26;0,30;0,35;0,38;0,40;0,44;0,52;0,50;0,57;0,66;0,67;0,65;0,63;0,69;0,63;0,62;0,48;0,42;0,38;0,41;0,47;0,47;0,46
Armenia;ARM;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,23;0,23;0,24;0,24;0,25;0,25;0,25;0,25;0,26;0,25;0,23;0,23;0,23;0,23;0,26;0,30;0,34;0,42;0,48;0,41;0,43;0,44;0,39;0,39;0,40;0,36;0,33;0,32;0,33;0,31;0,29;0,29;0,34;0,38;0,37
Antigua and Barbuda;ATG;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,58;0,58;0,59;0,59;0,59;0,60;0,61;0,61;0,62;0,63;0,62;0,62;0,62;0,60;0,60;0,61;0,60;0,61;0,63;0,63;0,63;0,63;0,68;0,69;0,72;0,77;0,78;0,79;0,75;0,71;0,69;0,67;0,67;0,68;0,71
Australia;AUS;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,05;1,06;1,02;0,92;0,90;0,97;1,00;1,02;0,88;0,81;0,82;0,71;0,70;0,79;0,97;1,04;1,05;1,12;1,32;1,06;1,32;1,49;1,59;1,48;1,33;1,23;1,06;1,11;1,14;1,04;0,96;1,04;0,99;0,92;0,90
Austria;AUT;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,11;1,09;1,17;1,11;1,13;1,28;1,21;1,05;1,03;0,98;0,84;0,83;0,85;1,00;1,09;1,10;1,08;1,19;1,26;1,18;1,12;1,16;1,05;1,06;1,06;0,89;0,86;0,88;0,90;0,83;0,83;0,85;0,74;0,80;0,79
Azerbaijan;AZE;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,23;0,14;0,01;0,06;0,06;0,13;0,17;0,20;0,20;0,19;0,19;0,18;0,18;0,19;0,20;0,23;0,26;0,32;0,42;0,35;0,39;0,49;0,47;0,46;0,45;0,36;0,27;0,29;0,31;0,29;0,28;0,27;0,34;0,30;0,29
Burundi;BDI;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,42;0,40;0,35;0,32;0,32;0,37;0,34;0,38;0,33;0,30;0,26;0,25;0,22;0,21;0,23;0,27;0,28;0,28;0,31;0,33;0,35;0,37;0,36;0,34;0,35;0,35;0,30;0,31;0,30;0,27;0,27;0,26;0,28;0,21;0,16
Belgium;BEL;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;1,10;1,07;1,15;1,09;1,13;1,27;1,21;1,05;1,04;0,99;0,83;0,80;0,83;0,99;1,10;1,11;1,10;1,20;1,28;1,19;1,11;1,16;1,06;1,07;1,06;0,89;0,86;0,88;0,91;0,82;0,82;0,85;0,75;0,79;0,78
Benin;BEN;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,43;0,41;0,33;0,41;0,27;0,34;0,35;0,31;0,32;0,33;0,29;0,28;0,30;0,37;0,40;0,40;0,40;0,43;0,48;0,46;0,44;0,47;0,46;0,47;0,45;0,37;0,36;0,37;0,39;0,36;0,37;0,38;0,33;0,34;0,33
Burkina Faso;BFA;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,60;0,54;0,56;0,50;0,29;0,34;0,32;0,28;0,30;0,33;0,28;0,27;0,29;0,35;0,37;0,38;0,37;0,40;0,46;0,44;0,43;0,47;0,47;0,46;0,46;0,37;0,35;0,35;0,37;0,34;0,35;0,36;0,32;0,32;0,34
Bangladesh;BGD;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,41;0,38;0,36;0,35;0,34;0,35;0,35;0,35;0,34;0,33;0,31;0,30;0,28;0,29;0,29;0,28;0,27;0,27;0,29;0,30;0,32;0,33;0,30;0,31;0,33;0,35;0,36;0,37;0,36;0,35;0,34;0,33;0,32;0,28;0,27
Bulgaria;BGR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,31;0,12;0,15;0,18;0,16;0,29;0,21;0,24;0,29;0,29;0,25;0,25;0,27;0,32;0,37;0,38;0,40;0,46;0,51;0,49;0,46;0,50;0,46;0,46;0,45;0,38;0,38;0,39;0,41;0,39;0,39;0,42;0,39;0,42;0,42
Bahrain;BHR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,35;0,33;0,31;0,29;0,31;0,31;0,30;0,30;0,27;0,28;0,31;0,29;0,30;0,32;0,34;0,38;0,40;0,42;0,46;0,40;0,44;0,48;0,47;0,48;0,49;0,49;0,50;0,49;0,51;0,48;0,46;0,49;0,49;0,46;0,45
Bahamas, The;BHS;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,98;0,97;0,99;0,96;0,96;0,95;0,94;0,94;0,96;0,99;0,98;0,96;0,98;0,98;0,96;0,98;0,96;0,96;0,96;0,94;0,93;0,90;0,92;0,91;0,92;0,96;0,95;0,93;0,93;0,93;0,96;0,98;0,95;0,98;0,96
Bosnia and Herzegovina;BIH;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;2,06;1,73;1,40;1,07;0,33;0,41;0,39;0,37;0,35;0,36;0,32;0,32;0,34;0,41;0,45;0,46;0,46;0,51;0,56;0,52;0,50;0,51;0,46;0,47;0,47;0,39;0,38;0,39;0,41;0,37;0,37;0,40;0,36;0,38;0,41
Belarus;BLR;Price level ratio of PPP conversion factor (GDP) to market exchange rate;PA.NUS.PPPC.RF;0,33;0,34;0,34;0,34;0,35;0,36;0,36;0,30;0,30;0,23;0,22;0,20;0,22;0,25;0,28;0,32;0,35;0,38;0,46;0,38;0,39;0,39;0,38;0,42;0,44;0,33;0,28;0,31;0,32;0,31;0,26;0,27;0,28;0,26;0,25
