#basename bytesize enc hash [url]
GW150914_GWTC-1.hdf5 7026464 md5 85b9a333d6cfdcedd8f2be8d784d94cc https://dcc.ligo.org/public/0157/P1800370/005/GW150914_GWTC-1.hdf5
GW190521.tar 175226880 sha256 2b9ea28c859c08c25e19425be11c3ca1a3dbfde39bb48fb7ace0fee4bfbecbfc
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5 303032432 sha256 9f653034e73683bdb1d1cea94eaaed171149ca1a6bedeb583a6147bb26bfeec9
IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_nocosmo.h5 433414064 sha256 517f8f1020a8467b783cfd03a33970c1057ac1e6c218c1f706d275477a2c06f8
GW150914_095045_NRSur7dq4.h5 237618640 sha256 7772df0d20c18879c915e05729bf762ca6051cc417dd6c1b36085e2fcbf0f34f
GW151012_GWTC-1.hdf5 4477824 sha256 a76bd0943e88c1f3c9ad1da89e90b0b08c4db835412a0c06fa807f83cd3a5d39 https://dcc.ligo.org/public/0157/P1800370/005/GW151012_GWTC-1.hdf5
GW151226_GWTC-1.hdf5 10603104 sha256 03aa4afaba1ce0de82d5f32b4f4e2f48129da797990cb5ae70fe98d09b3e4a23 https://dcc.ligo.org/public/0157/P1800370/005/GW151226_GWTC-1.hdf5
GW170104_GWTC-1.hdf5 10868864 sha256 f1f7d4f3bcf82d684d2d4726ae78f139338a4bbef883d542c6f7a907ca4b34d5 https://dcc.ligo.org/public/0157/P1800370/005/GW170104_GWTC-1.hdf5
GW170608_GWTC-1.hdf5 3051584 sha256 df0f40affbf6b47dcffebdd02378e6125c95d45427c559b74a31108f781e9e3e https://dcc.ligo.org/public/0157/P1800370/005/GW170608_GWTC-1.hdf5
GW170729_GWTC-1.hdf5 6724624 sha256 06e52554da4420628e99fb8ed4ccfa52cf9d155da4b33ea03010f623d4979392 https://dcc.ligo.org/public/0157/P1800370/005/GW170729_GWTC-1.hdf5
GW170809_GWTC-1.hdf5 7691264 sha256 81d52d26697a0b49e75d16e8fee2008f894b6f00fb60edf541604ba29c3322b5 https://dcc.ligo.org/public/0157/P1800370/005/GW170809_GWTC-1.hdf5
GW170814_GWTC-1.hdf5 10151504 sha256 bf83e69f19aa24cffbaaa3a543928a398e3952543bf01e710cda0a61564f98c2 https://dcc.ligo.org/public/0157/P1800370/005/GW170814_GWTC-1.hdf5
GW170817_GWTC-1.hdf5 2520704 sha256 eff59472991bb0f0fa8c1e58057093ce07b82eb4c112364e3578ba16fe54eca9 https://dcc.ligo.org/public/0157/P1800370/005/GW170817_GWTC-1.hdf5
GW170818_GWTC-1.hdf5 3470304 sha256 aac3405c296104525a879019c7e289089a3857a2e1468801fd4b60b243b05c3f https://dcc.ligo.org/public/0157/P1800370/005/GW170818_GWTC-1.hdf5
GW170823_GWTC-1.hdf5 5222784 sha256 a29e0a2c1cc7cf6fddf20519295e305dda69c7c187fc1c69e8175e7832895755 https://dcc.ligo.org/public/0157/P1800370/005/GW170823_GWTC-1.hdf5
GW190408_181802.tar 297891840 sha256 3140f87240c8bec062f51cc3da7b70104608895baef5baf7627aff2bbbac8ee0 https://dcc.ligo.org/public/0169/P2000223/007/GW190408_181802.tar
GW190412.tar 1592401920 sha256 46a36807f1177d2e1787fc53a3ea5f858321b98c688ce67e5000a4a014004025 https://dcc.ligo.org/public/0169/P2000223/007/GW190412.tar
GW190413_052954.tar 327720960 sha256 b3a1b7fe8c09fcbcebe8a9995796f8cbe0a7c490c4da3b0c0f57168d5cbd3aa7 https://dcc.ligo.org/public/0169/P2000223/007/GW190413_052954.tar
GW190413_134308.tar 216176640 sha256 dd948bc34f8b60154e7b919ddfe02e49945fa422bc8f8a3c6dfb3432c2c4a119 https://dcc.ligo.org/public/0169/P2000223/007/GW190413_134308.tar
GW190421_213856.tar 214077440 sha256 609b13262def4657648beac88b5cc31496478ce7a8127b9da42d9273b076f627 https://dcc.ligo.org/public/0169/P2000223/007/GW190421_213856.tar
GW190424_180648.tar 152094720 sha256 93ecfbde32b7940d1e6a45cda1195d4169f95d742cd4ac17171818e75cdf135c https://dcc.ligo.org/public/0169/P2000223/007/GW190424_180648.tar
GW190425.tar 1236602880 sha256 ac76b9daa4d5fcb2ab90d4569ce8a72a19681f78e2e72afdd433ad7f37e13a0a https://dcc.ligo.org/public/0169/P2000223/007/GW190425.tar
GW190426_152155.tar 261816320 sha256 6bcf7ae2e407181016ebc2eee6b56f42fa713a7f6c508825cbf6b23a4c8d566d https://dcc.ligo.org/public/0169/P2000223/007/GW190426_152155.tar
GW190503_185404.tar 240660480 sha256 7410adbfc67ca68e0e81e96cd84d607f60c0b201ca18ec5c05e50a482674d36b https://dcc.ligo.org/public/0169/P2000223/007/GW190503_185404.tar
GW190512_180714.tar 328611840 sha256 015c0212c82267be039b4127d16ce0c86d4c5dcf39d4dda451d3f5d2e929f247 https://dcc.ligo.org/public/0169/P2000223/007/GW190512_180714.tar
GW190513_205428.tar 254720000 sha256 439ec432802a12f32c922bb1590cc195f2284fe8ea7a494958a268ce59be61aa https://dcc.ligo.org/public/0169/P2000223/007/GW190513_205428.tar
GW190514_065416.tar 161021952 sha256 3af2614172c99ebe23d2b78bf8d586d79ee096841b180a9df511ba48230c105e https://dcc.ligo.org/public/0169/P2000223/007/GW190514_065416.tar
GW190517_055101.tar 288952320 sha256 812220d1b8bbb18618399ca5568a371428776f023c21b444536dae6a33c24e9e https://dcc.ligo.org/public/0169/P2000223/007/GW190517_055101.tar
GW190519_153544.tar 226334720 sha256 68c4a6e5d4e672c4f28df5bbdff3f8773162dd962a779649720c25200c93422e https://dcc.ligo.org/public/0169/P2000223/007/GW190519_153544.tar
GW190521_074359.tar 200273920 sha256 7f90fb82c7b8554ccfed37fcff97f9051e2e55200bf4ba761e7828879dd43d45 https://dcc.ligo.org/public/0169/P2000223/007/GW190521_074359.tar
GW190527_092055.tar 196403200 sha256 f2a63ff9917e380f78dd4f6cec34e2884e9586eb6f9e90a20e9215027161fb35 https://dcc.ligo.org/public/0169/P2000223/007/GW190527_092055.tar
GW190602_175927.tar 224583680 sha256 3f5164fa04bc21cf371205d78893ce86b58415b926702a46dc7fa91f8ea56a2e https://dcc.ligo.org/public/0169/P2000223/007/GW190602_175927.tar
GW190620_030421.tar 212531200 sha256 ad144b823cb2bbe880b81fc51eba7bc8c5a88cc4d3507a43f94bb12e87ee8372 https://dcc.ligo.org/public/0169/P2000223/007/GW190620_030421.tar
GW190630_185205.tar 250654720 sha256 df963322aabba0fe0e363f096a407871354e853c4ece80584891ad4fda69b5c1 https://dcc.ligo.org/public/0169/P2000223/007/GW190630_185205.tar
GW190701_203306.tar 256471040 sha256 b7a0cc5836043dd796d7fc4cdfcb22abcd95e6edf8ab99db412d485b37cd6b16 https://dcc.ligo.org/public/0169/P2000223/007/GW190701_203306.tar
GW190706_222641.tar 228044800 sha256 9902e5926add05fe10844f34a4a2a51cd78722591a8dd0d41079c9e50ddd0bc5 https://dcc.ligo.org/public/0169/P2000223/007/GW190706_222641.tar
GW190707_093326.tar 226426880 sha256 e949d6fa5dbe6dcc127d577534397d24c4544f59d213945f11ef5408b6da0f3c https://dcc.ligo.org/public/0169/P2000223/007/GW190707_093326.tar
GW190708_232457.tar 291061760 sha256 69310285fc8293b33b4b9b2ee69e5a50e72e37eb191b2991eb98fa402466525b https://dcc.ligo.org/public/0169/P2000223/007/GW190708_232457.tar
GW190719_215514.tar 195635200 sha256 da11f27a0f8cdf56c84823e265a739f56f4cf6dab2d293bd9796f00acebf4405 https://dcc.ligo.org/public/0169/P2000223/007/GW190719_215514.tar
