,Gene,SNP_coverage
0,lineage3,1/1 (100%)
1,lineage45,1/1 (100%)
2,lineage1,1/1 (100%)
3,lineage7,1/1 (100%)
4,lineage2,1/1 (100%)
5,lineage21,1/1 (100%)
6,lineage121,1/1 (100%)
7,lineage48,1/1 (100%)
8,lineage8,1/1 (100%)
9,lineage122,1/1 (100%)
10,lineage44,1/1 (100%)
