Analyzing examples/BigService.java...
Analysis 1 took 0.1997 seconds (Success: True)
Analysis 2 took 0.0014 seconds (Success: True)
Analysis 3 took 0.0012 seconds (Success: True)
Cache stats: {'hits': 2, 'misses': 1, 'l1_hits': 2, 'l2_hits': 0, 'l3_hits': 0, 'sets': 1, 'evictions': 0, 'hit_rate': 0.6666666666666666, 'total_requests': 3, 'l1_size': 1, 'l2_size': 1, 'l3_size': 1}
         192714 function calls (189166 primitive calls) in 0.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.001    0.000    0.656    0.024 __init__.py:1(<module>)
    399/1    0.014    0.000    0.573    0.573 {built-in method builtins.exec}
        1    0.000    0.000    0.573    0.573 profile_analysis.py:1(<module>)
   275/11    0.002    0.000    0.409    0.037 <frozen importlib._bootstrap>:1165(_find_and_load)
   274/10    0.001    0.000    0.409    0.041 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   265/11    0.001    0.000    0.404    0.037 <frozen importlib._bootstrap>:666(_load_unlocked)
   234/11    0.001    0.000    0.403    0.037 <frozen importlib._bootstrap_external>:934(exec_module)
   585/20    0.000    0.000    0.397    0.020 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    36/18    0.000    0.000    0.284    0.016 {built-in method builtins.__import__}
        1    0.000    0.000    0.243    0.243 runners.py:160(run)
        3    0.000    0.000    0.242    0.081 base_events.py:618(run_until_complete)
        3    0.000    0.000    0.242    0.081 windows_events.py:317(run_forever)
        3    0.000    0.000    0.242    0.081 base_events.py:594(run_forever)
       14    0.000    0.000    0.242    0.017 base_events.py:1859(_run_once)
        1    0.000    0.000    0.241    0.241 runners.py:86(run)
       22    0.000    0.000    0.216    0.010 events.py:82(_run)
    24/22    0.000    0.000    0.216    0.010 {method 'run' of '_contextvars.Context' objects}
        7    0.000    0.000    0.216    0.031 profile_analysis.py:6(profile_analysis)
      234    0.003    0.000    0.197    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        9    0.000    0.000    0.177    0.020 analysis_engine.py:105(analyze)
      236    0.001    0.000    0.141    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
      236    0.114    0.000    0.114    0.000 {built-in method io.open_code}
        3    0.000    0.000    0.101    0.034 validator.py:61(validate_file_path)
  162/105    0.000    0.000    0.095    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
       15    0.000    0.000    0.095    0.006 validator.py:341(_is_junction_or_reparse_point)
      269    0.002    0.000    0.095    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
       15    0.000    0.000    0.093    0.006 platform.py:914(system)
       15    0.000    0.000    0.093    0.006 platform.py:825(uname)
        1    0.000    0.000    0.093    0.093 platform.py:363(win32_ver)
        1    0.000    0.000    0.093    0.093 platform.py:263(_syscmd_ver)
        1    0.000    0.000    0.093    0.093 subprocess.py:417(check_output)
        1    0.000    0.000    0.093    0.093 subprocess.py:506(run)
      250    0.000    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
      250    0.001    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
        1    0.000    0.000    0.086    0.086 base_events.py:1(<module>)
     1132    0.084    0.000    0.084    0.000 {built-in method nt.stat}
      469    0.004    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
     1062    0.001    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.068    0.068 subprocess.py:807(__init__)
        1    0.000    0.000    0.068    0.068 subprocess.py:1436(_execute_child)
        1    0.068    0.068    0.068    0.068 {built-in method _winapi.CreateProcess}
        2    0.000    0.000    0.065    0.033 parser.py:1(<module>)
        5    0.000    0.000    0.063    0.013 __init__.py:108(import_module)
      6/5    0.000    0.000    0.063    0.013 <frozen importlib._bootstrap>:1192(_gcd_import)
