Amplicon_ID,Num_SNP_covered
A2-ns,985
-,411
A9-ns,313
"A3-sp,A35-ns",201
"A2-sp,A30-ns",195
A20-ns,168
A1-ns,160
A18-ns,156
"A12-ns,A18-ns",138
A8-ns,136
"A9-ns,A18-ns",124
A3-ns,89
A3-sp,85
"A1-sp,A40-ns",63
A12-ns,59
"A20-ns,A33-ns",57
A2-sp,54
A1-sp,53
"A2-sp,A40-ns",47
"A9-ns,A37-ns",46
A33-ns,41
A39-ns,29
A37-ns,26
A17-ns,24
"A3-sp,A30-ns",22
A28-ns,20
"A1-sp,A2-sp,A40-ns",19
A21-ns,19
A6-ns,17
A16-ns,16
A25-ns,15
A15-ns,14
A34-ns,14
A7-ns,14
A4-ns,11
A38-ns,11
A11-ns,11
"A2-sp,A3-sp,A30-ns",10
A23-ns,10
A10-ns,10
A5-ns,9
A36-ns,8
A14-ns,8
A13-ns,6
A26-ns,6
A4-sp,6
A19-ns,5
A31-ns,3
A22-ns,2
A32-ns,2
A24-ns,2
A29-ns,1
"A7-ns,A11-ns",1
A27-ns,1
