*
* Overschrijdingskansen potentiele windsnelheid Schiphol. Met statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
 11.00      4.949e-002      5.183e-002      4.144e-002      1.681e-002      9.292e-003      1.383e-002      3.072e-002      7.118e-002      1.560e-001      3.040e-001      3.241e-001      3.277e-001      2.248e-001      1.296e-001      1.091e-001      4.978e-002 
 11.50      3.841e-002      3.784e-002      2.807e-002      1.152e-002      6.219e-003      9.699e-003      2.186e-002      5.246e-002      1.260e-001      2.661e-001      2.828e-001      2.866e-001      1.892e-001      1.096e-001      8.757e-002      4.102e-002 
 12.00      2.952e-002      2.748e-002      1.940e-002      7.890e-003      4.101e-003      6.749e-003      1.549e-002      3.832e-002      1.010e-001      2.295e-001      2.430e-001      2.474e-001      1.538e-001      9.103e-002      7.004e-002      3.379e-002 
 12.50      2.231e-002      1.974e-002      1.354e-002      5.408e-003      2.689e-003      4.622e-003      1.087e-002      2.778e-002      7.952e-002      1.946e-001      2.046e-001      2.099e-001      1.222e-001      7.501e-002      5.599e-002      2.776e-002 
 13.00      1.660e-002      1.400e-002      9.469e-003      3.707e-003      1.762e-003      3.103e-003      7.565e-003      2.001e-002      6.178e-002      1.624e-001      1.690e-001      1.729e-001      9.728e-002      6.173e-002      4.477e-002      2.261e-002 
 13.50      1.224e-002      9.812e-003      6.627e-003      2.542e-003      1.157e-003      2.042e-003      5.245e-003      1.437e-002      4.763e-002      1.335e-001      1.376e-001      1.373e-001      7.853e-002      5.080e-002      3.579e-002      1.817e-002 
 14.00      8.940e-003      6.818e-003      4.638e-003      1.744e-003      7.607e-004      1.322e-003      3.633e-003      1.028e-002      3.661e-002      1.089e-001      1.110e-001      1.053e-001      6.398e-002      4.181e-002      2.861e-002      1.443e-002 
 14.50      6.446e-003      4.717e-003      3.248e-003      1.197e-003      5.011e-004      8.486e-004      2.515e-003      7.308e-003      2.812e-002      8.798e-002      8.841e-002      7.894e-002      5.224e-002      3.441e-002      2.284e-002      1.136e-002 
 15.00      4.589e-003      3.260e-003      2.275e-003      8.213e-004      3.306e-004      5.429e-004      1.739e-003      5.168e-003      2.160e-002      6.996e-002      6.936e-002      5.876e-002      4.266e-002      2.831e-002      1.818e-002      8.857e-003 
 15.50      3.244e-003      2.253e-003      1.594e-003      5.639e-004      2.186e-004      3.472e-004      1.199e-003      3.641e-003      1.661e-002      5.469e-002      5.400e-002      4.405e-002      3.483e-002      2.325e-002      1.441e-002      6.816e-003 
 16.00      2.292e-003      1.559e-003      1.117e-003      3.873e-004      1.447e-004      2.221e-004      8.240e-004      2.562e-003      1.277e-002      4.224e-002      4.226e-002      3.355e-002      2.842e-002      1.903e-002      1.136e-002      5.177e-003 
 16.50      1.622e-003      1.079e-003      7.828e-004      2.660e-004      9.599e-005      1.421e-004      5.657e-004      1.802e-003      9.820e-003      3.237e-002      3.344e-002      2.599e-002      2.312e-002      1.549e-002      8.921e-003      3.898e-003 
 17.00      1.152e-003      7.473e-004      5.489e-004      1.828e-004      6.378e-005      9.097e-005      3.886e-004      1.268e-003      7.555e-003      2.470e-002      2.666e-002      2.037e-002      1.872e-002      1.255e-002      6.978e-003      2.925e-003 
 17.50      8.202e-004      5.180e-004      3.850e-004      1.256e-004      4.245e-005      5.826e-005      2.673e-004      8.926e-004      5.815e-003      1.882e-002      2.132e-002      1.605e-002      1.505e-002      1.013e-002      5.433e-003      2.192e-003 
 18.00      5.859e-004      3.592e-004      2.701e-004      8.638e-005      2.830e-005      3.733e-005      1.842e-004      6.284e-004      4.477e-003      1.433e-002      1.704e-002      1.266e-002      1.198e-002      8.162e-003      4.210e-003      1.643e-003 
 18.50      4.198e-004      2.493e-004      1.895e-004      5.941e-005      1.889e-005      2.392e-005      1.272e-004      4.425e-004      3.447e-003      1.092e-002      1.362e-002      9.996e-003      9.461e-003      6.554e-003      3.251e-003      1.232e-003 
 19.00      3.017e-004      1.731e-004      1.330e-004      4.087e-005      1.264e-005      1.534e-005      8.797e-005      3.116e-004      2.656e-003      8.317e-003      1.088e-002      7.892e-003      7.423e-003      5.235e-003      2.507e-003      9.236e-004 
 19.50      2.175e-004      1.203e-004      9.340e-005      2.812e-005      8.466e-006      9.839e-006      6.093e-005      2.196e-004      2.046e-003      6.337e-003      8.675e-003      6.231e-003      5.806e-003      4.151e-003      1.932e-003      6.926e-004 
 20.00      1.572e-004      8.363e-005      6.560e-005      1.936e-005      5.680e-006      6.313e-006      4.227e-005      1.547e-004      1.577e-003      4.829e-003      6.888e-003      4.921e-003      4.536e-003      3.265e-003      1.488e-003      5.195e-004 
 20.50      1.139e-004      5.818e-005      4.608e-005      1.333e-005      3.817e-006      4.052e-006      2.936e-005      1.090e-004      1.216e-003      3.681e-003      5.439e-003      3.887e-003      3.543e-003      2.552e-003      1.147e-003      3.897e-004 
 21.00      8.279e-005      4.049e-005      3.238e-005      9.177e-006      2.568e-006      2.602e-006      2.043e-005      7.688e-005      9.372e-004      2.806e-003      4.266e-003      3.070e-003      2.768e-003      1.987e-003      8.840e-004      2.924e-004 
 21.50      6.032e-005      2.820e-005      2.276e-005      6.322e-006      1.731e-006      1.672e-006      1.423e-005      5.422e-005      7.228e-004      2.140e-003      3.323e-003      2.425e-003      2.162e-003      1.544e-003      6.815e-004      2.194e-004 
 22.00      4.405e-005      1.965e-005      1.600e-005      4.356e-006      1.168e-006      1.074e-006      9.923e-006      3.824e-005      5.575e-004      1.632e-003      2.573e-003      1.916e-003      1.690e-003      1.199e-003      5.255e-004      1.647e-004 
 22.50      3.224e-005      1.370e-005      1.125e-005      3.002e-006      7.894e-007      6.906e-007      6.928e-006      2.698e-005      4.302e-004      1.245e-003      1.982e-003      1.514e-003      1.320e-003      9.316e-004      4.052e-004      1.236e-004 
 23.00      2.365e-005      9.561e-006      7.914e-006      2.070e-006      5.342e-007      4.442e-007      4.842e-006      1.904e-005      3.319e-004      9.498e-004      1.521e-003      1.196e-003      1.032e-003      7.237e-004      3.125e-004      9.280e-005 
 23.50      1.739e-005      6.673e-006      5.569e-006      1.427e-006      3.619e-007      2.857e-007      3.388e-006      1.344e-005      2.562e-004      7.248e-004      1.164e-003      9.456e-004      8.069e-004      5.622e-004      2.411e-004      6.969e-005 
 24.00      1.280e-005      4.661e-006      3.919e-006      9.845e-007      2.455e-007      1.839e-007      2.373e-006      9.489e-006      1.978e-004      5.532e-004      8.895e-004      7.474e-004      6.310e-004      4.369e-004      1.860e-004      5.234e-005 
 24.50      9.447e-006      3.257e-006      2.759e-006      6.793e-007      1.668e-007      1.184e-007      1.663e-006      6.701e-006      1.527e-004      4.223e-004      6.796e-004      5.908e-004      4.935e-004      3.395e-004      1.435e-004      3.931e-005 
 25.00      6.982e-006      2.277e-006      1.942e-006      4.688e-007      1.134e-007      7.625e-008      1.167e-006      4.733e-006      1.179e-004      3.224e-004      5.193e-004      4.671e-004      3.860e-004      2.639e-004      1.108e-004      2.953e-005 
 25.50      5.168e-006      1.592e-006      1.368e-006      3.236e-007      7.720e-008      4.913e-008      8.192e-007      3.344e-006      9.109e-005      2.462e-004      3.968e-004      3.693e-004      3.020e-004      2.051e-004      8.552e-005      2.219e-005 
 26.00      3.831e-006      1.114e-006      9.638e-007      2.235e-007      5.261e-008      3.166e-008      5.756e-007      2.363e-006      7.037e-005      1.881e-004      3.033e-004      2.921e-004      2.363e-004      1.595e-004      6.603e-005      1.668e-005 
 26.50      2.844e-006      7.803e-007      6.791e-007      1.543e-007      3.589e-008      2.042e-008      4.047e-007      1.670e-006      5.437e-005      1.437e-004      2.320e-004      2.310e-004      1.849e-004      1.240e-004      5.098e-005      1.253e-005 
 27.00      2.114e-006      5.466e-007      4.787e-007      1.066e-007      2.451e-008      1.317e-008      2.848e-007      1.181e-006      4.201e-005      1.098e-004      1.774e-004      1.827e-004      1.447e-004      9.644e-005      3.937e-005      9.423e-006 
 27.50      1.573e-006      3.830e-007      3.375e-007      7.369e-008      1.675e-008      8.496e-009      2.005e-007      8.352e-007      3.247e-005      8.390e-005      1.357e-004      1.445e-004      1.133e-004      7.501e-005      3.041e-005      7.085e-006 
 28.00      1.172e-006      2.686e-007      2.380e-007      5.094e-008      1.146e-008      5.483e-009      1.412e-007      5.908e-007      2.510e-005      6.413e-005      1.039e-004      1.143e-004      8.873e-005      5.835e-005      2.350e-005      5.328e-006 
 28.50      8.740e-007      1.884e-007      1.679e-007      3.522e-008      7.849e-009      3.540e-009      9.956e-008      4.180e-007      1.941e-005      4.903e-005      7.954e-005      9.046e-005      6.949e-005      4.540e-005      1.815e-005      4.007e-006 
 29.00      6.524e-007      1.322e-007      1.184e-007      2.435e-008      5.379e-009      2.287e-009      7.021e-008      2.958e-007      1.501e-005      3.749e-005      6.092e-005      7.158e-005      5.443e-005      3.532e-005      1.403e-005      3.014e-006 
 29.50      4.874e-007      9.282e-008      8.357e-008      1.685e-008      3.690e-009      1.477e-009      4.954e-008      2.094e-007      1.161e-005      2.868e-005      4.667e-005      5.665e-005      4.264e-005      2.749e-005      1.084e-005      2.268e-006 
 30.00      3.645e-007      6.519e-008      5.899e-008      1.166e-008      2.533e-009      9.549e-010      3.498e-008      1.482e-007      8.977e-006      2.194e-005      3.576e-005      4.484e-005      3.341e-005      2.139e-005      8.382e-006      1.706e-006 
 30.50      2.727e-007      4.581e-008      4.165e-008      8.068e-009      1.740e-009      6.174e-010      2.470e-008      1.050e-007      6.944e-006      1.678e-005      2.742e-005      3.549e-005      2.618e-005      1.665e-005      6.480e-006      1.284e-006 
 31.00      2.042e-007      3.220e-008      2.941e-008      5.585e-009      1.196e-009      3.993e-010      1.746e-008      7.434e-008      5.373e-006      1.284e-005      2.102e-005      2.810e-005      2.052e-005      1.296e-005      5.011e-006      9.666e-007 
 31.50      1.530e-007      2.265e-008      2.077e-008      3.867e-009      8.228e-010      2.584e-010      1.234e-008      5.267e-008      4.158e-006      9.830e-006      1.613e-005      2.224e-005      1.609e-005      1.009e-005      3.875e-006      7.277e-007 
 32.00      1.147e-007      1.593e-008      1.468e-008      2.679e-009      5.664e-010      1.672e-010      8.727e-009      3.732e-008      3.218e-006      7.525e-006      1.238e-005      1.761e-005      1.261e-005      7.861e-006      2.997e-006      5.479e-007 
 32.50      8.605e-008      1.121e-008      1.037e-008      1.856e-009      3.902e-010      1.083e-010      6.174e-009      2.645e-008      2.491e-006      5.762e-006      9.500e-006      1.395e-005      9.891e-006      6.122e-006      2.319e-006      4.126e-007 
 33.00      6.459e-008      7.896e-009      7.332e-009      1.286e-009      2.689e-010      7.011e-011      4.369e-009      1.875e-008      1.928e-006      4.412e-006      7.295e-006      1.105e-005      7.758e-006      4.769e-006      1.794e-006      3.107e-007 
 33.50      4.850e-008      5.562e-009      5.184e-009      8.913e-010      1.855e-010      4.542e-011      3.094e-009      1.330e-008      1.493e-006      3.380e-006      5.604e-006      8.749e-006      6.086e-006      3.715e-006      1.388e-006      2.341e-007 
 34.00      3.644e-008      3.919e-009      3.666e-009      6.180e-010      1.280e-010      2.944e-011      2.191e-009      9.430e-009      1.156e-006      2.589e-006      4.307e-006      6.931e-006      4.775e-006      2.894e-006      1.074e-006      1.763e-007 
 34.50      2.738e-008      2.762e-009      2.593e-009      4.285e-010      8.837e-011      1.908e-011      1.552e-009      6.689e-009      8.952e-007      1.984e-006      3.311e-006      5.491e-006      3.747e-006      2.255e-006      8.316e-007      1.329e-007 
 35.00      2.059e-008      1.948e-009      1.835e-009      2.972e-010      6.104e-011      1.238e-011      1.100e-009      4.746e-009      6.934e-007      1.520e-006      2.546e-006      4.350e-006      2.941e-006      1.758e-006      6.438e-007      1.001e-007 
 35.50      1.549e-008      1.374e-009      1.298e-009      2.062e-010      4.219e-011      8.028e-012      7.799e-010      3.368e-009      5.371e-007      1.165e-006      1.959e-006      3.447e-006      2.308e-006      1.370e-006      4.985e-007      7.548e-008 
 36.00      1.165e-008      9.696e-010      9.190e-010      1.431e-010      2.917e-011      5.210e-012      5.531e-010      2.391e-009      4.162e-007      8.935e-007      1.507e-006      2.732e-006      1.812e-006      1.068e-006      3.860e-007      5.690e-008 
 36.50      8.771e-009      6.844e-010      6.506e-010      9.934e-011      2.018e-011      3.382e-012      3.923e-010      1.698e-009      3.225e-007      6.851e-007      1.160e-006      2.165e-006      1.423e-006      8.326e-007      2.989e-007      4.290e-008 
 37.00      6.604e-009      4.833e-010      4.607e-010      6.897e-011      1.397e-011      2.196e-012      2.784e-010      1.205e-009      2.499e-007      5.255e-007      8.938e-007      1.716e-006      1.118e-006      6.492e-007      2.316e-007      3.235e-008 
 37.50      4.973e-009      3.414e-010      3.263e-010      4.790e-011      9.673e-012      1.426e-012      1.976e-010      8.562e-010      1.937e-007      4.031e-007      6.887e-007      1.361e-006      8.779e-007      5.063e-007      1.794e-007      2.440e-008 
 38.00      3.747e-009      2.412e-010      2.312e-010      3.327e-011      6.701e-012      9.268e-013      1.403e-010      6.083e-010      1.501e-007      3.092e-007      5.308e-007      1.079e-006      6.897e-007      3.949e-007      1.390e-007      1.840e-008 
 38.50      2.823e-009      1.705e-010      1.638e-010      2.312e-011      4.644e-012      6.024e-013      9.961e-011      4.323e-010      1.164e-007      2.373e-007      4.093e-007      8.553e-007      5.419e-007      3.080e-007      1.077e-007      1.388e-008 
 39.00      2.128e-009      1.206e-010      1.161e-010      1.607e-011      3.220e-012      3.917e-013      7.076e-011      3.072e-010      9.024e-008      1.821e-007      3.157e-007      6.782e-007      4.259e-007      2.403e-007      8.347e-008      1.048e-008 
 39.50      1.604e-009      8.527e-011      8.232e-011      1.117e-011      2.233e-012      2.547e-013      5.027e-011      2.184e-010      6.998e-008      1.398e-007      2.437e-007      5.379e-007      3.348e-007      1.875e-007      6.470e-008      7.905e-009 
 40.00      1.210e-009      6.033e-011      5.837e-011      7.764e-012      1.549e-012      1.657e-013      3.573e-011      1.553e-010      5.427e-008      1.073e-007      1.881e-007      4.266e-007      2.632e-007      1.463e-007      5.015e-008      5.967e-009 
 40.50      9.126e-010      4.270e-011      4.140e-011      5.400e-012      1.075e-012      1.078e-013      2.540e-011      1.104e-010      4.210e-008      8.243e-008      1.453e-007      3.384e-007      2.069e-007      1.142e-007      3.889e-008      4.504e-009 
 41.00      6.885e-010      3.023e-011      2.937e-011      3.756e-012      7.467e-013      7.020e-014      1.806e-011      7.856e-011      3.266e-008      6.331e-008      1.123e-007      2.685e-007      1.627e-007      8.911e-008      3.015e-008      3.400e-009 
 41.50      5.196e-010      2.141e-011      2.084e-011      2.613e-012      5.187e-013      4.571e-014      1.284e-011      5.589e-011      2.533e-008      4.863e-008      8.676e-008      2.130e-007      1.280e-007      6.956e-008      2.338e-008      2.567e-009 
 42.00      3.921e-010      1.516e-011      1.479e-011      1.819e-012      3.604e-013      2.978e-014      9.137e-012      3.977e-011      1.966e-008      3.737e-008      6.709e-008      1.690e-007      1.007e-007      5.431e-008      1.814e-008      1.939e-009 
