* De conditionele kans op overschrijding van windsnelheid u gegeven de windrichting r.                                                                                
* voor 12-uursmaxima te Schiphol. 
*
* Onderstaande tabel is afkomstig uit bijlage G van:               
* Wind-waterstandstatistiek Hoek van Holland. C.P.M. Geerse (RIZA), M.T. Duits (HKV),
* H.J. Kalk (HKV), I.B.M. Lammers, (HKV). RIZA/HKV rapport, Lelystad, juli 2002.
*
* De tabel is gebaseerd op overschrijdingskansen op basis van KNMI data voor lage 
* windsnelheden en Rijkoort Weibull voor hoge windsnelheden 
*  
* De overgang tussen KNMI-uur data bij lage windsnelheden en Rijkoort Weibull verdelingen
* voor hoge windsnelheden is aangebracht bij een terugkeertijd van ongeveer eens in de 10 
* jaar en is in Excel gedaan. De overgangen zijn geleidelijk!
*
* Voor het klimaatscenario van dit bestand is vervolgens 10 procent meer wind verondersteld 
*
*u     NNO          NO           ONO          O            OZO          ZO           ZZO          Z            ZZW          ZW           WZW          W            WNW          NW           NNW          N
0      1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00
1      9.96E-01     9.97E-01     1.00E+00     1.00E+00     9.99E-01     9.99E-01     9.99E-01     1.00E+00     1.00E+00     1.00E+00     9.98E-01     9.98E-01     1.00E+00     9.99E-01     9.97E-01     9.69E-01
2      9.82E-01     9.87E-01     9.96E-01     9.89E-01     9.87E-01     9.88E-01     9.91E-01     9.89E-01     9.95E-01     9.96E-01     9.91E-01     9.94E-01     9.93E-01     9.90E-01     9.84E-01     9.52E-01
3      9.33E-01     9.59E-01     9.73E-01     9.45E-01     9.25E-01     9.48E-01     9.56E-01     9.58E-01     9.77E-01     9.79E-01     9.72E-01     9.77E-01     9.66E-01     9.62E-01     9.44E-01     8.80E-01
4      8.26E-01     8.99E-01     9.15E-01     8.56E-01     8.05E-01     8.32E-01     8.73E-01     8.89E-01     9.41E-01     9.40E-01     9.35E-01     9.42E-01     9.24E-01     9.06E-01     8.63E-01     7.49E-01
5      6.95E-01     8.07E-01     8.20E-01     7.27E-01     6.38E-01     6.70E-01     7.37E-01     7.78E-01     8.66E-01     8.77E-01     8.88E-01     8.94E-01     8.63E-01     8.27E-01     7.57E-01     6.14E-01
6      5.51E-01     6.92E-01     7.07E-01     5.89E-01     4.69E-01     5.03E-01     5.92E-01     6.51E-01     7.71E-01     8.03E-01     8.30E-01     8.30E-01     7.94E-01     7.45E-01     6.54E-01     4.89E-01
7      4.15E-01     5.64E-01     5.91E-01     4.52E-01     3.17E-01     3.54E-01     4.53E-01     5.15E-01     6.72E-01     7.23E-01     7.58E-01     7.55E-01     7.22E-01     6.52E-01     5.52E-01     3.78E-01
8      2.99E-01     4.37E-01     4.72E-01     3.17E-01     1.90E-01     2.29E-01     3.25E-01     3.80E-01     5.67E-01     6.39E-01     6.79E-01     6.74E-01     6.36E-01     5.47E-01     4.42E-01     2.83E-01
9      2.03E-01     3.22E-01     3.58E-01     2.03E-01     1.00E-01     1.34E-01     2.18E-01     2.74E-01     4.60E-01     5.61E-01     6.03E-01     5.81E-01     5.41E-01     4.51E-01     3.33E-01     1.99E-01
10     1.45E-01     2.26E-01     2.62E-01     1.23E-01     4.88E-02     7.55E-02     1.35E-01     2.03E-01     3.64E-01     4.79E-01     5.19E-01     4.90E-01     4.52E-01     3.67E-01     2.29E-01     1.38E-01
11     1.04E-01     1.52E-01     1.79E-01     7.71E-02     1.96E-02     3.89E-02     7.65E-02     1.38E-01     2.87E-01     4.10E-01     4.50E-01     4.16E-01     3.64E-01     2.90E-01     1.71E-01     1.01E-01
12     6.26E-02     8.54E-02     1.04E-01     4.94E-02     1.16E-02     1.78E-02     4.16E-02     9.47E-02     2.03E-01     3.35E-01     3.63E-01     3.44E-01     2.93E-01     2.23E-01     1.13E-01     7.70E-02
13     3.55E-02     4.98E-02     5.48E-02     2.82E-02     9.08E-03     1.13E-02     2.13E-02     6.31E-02     1.43E-01     2.72E-01     2.97E-01     2.81E-01     2.28E-01     1.62E-01     7.94E-02     5.49E-02
14     2.01E-02     2.31E-02     1.91E-02     1.37E-02     6.64E-03     7.73E-03     1.43E-02     3.83E-02     1.04E-01     2.02E-01     2.30E-01     2.16E-01     1.60E-01     1.15E-01     5.21E-02     3.37E-02
